[Normal Axes]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
item_type_claw|Claw|Kynnet|Garra|Коготь|爪|クロウ|클로|Klaue|Griffe|Garra|Pazur
item_type_chainsaw|Chainsaw|Moottorisaha|Motosserra|Бензопила|電鋸|チェーンソー|전기톱|Kettensäge|Tronçonneuse|Motosierra|Piła Łańcuchowa
item_type_staff|Staff|Sauva|Cajado |Посох|長杖|スタッフ|스테프|Stab|Bâton|Báculo|Kostur
item_type_cane|Cane|Keppi|Bastão Mágico|Трость|手杖|ケイン|케인|Gehstock|Canne|Bastón|Laska
item_type_wand|Wand|Taikasauva|Varinha |Жезл|魔杖|ワンド|완드|Zauberstab|Baguette|Vara|Różdżka
item_type_book|Book|Kirja|Livro|Книга|書本|ブック|책|Buch|Livre|Libro|Książka
item_type_spellblade|Spellblade|Loitsuveitsi|Espada Mágica|Клинок заклинаний|魔法短劍|スペルブレイド|마법검|Zauberklinge|Lame magique|Hoja de Hechizo|Spellblade
item_type_bow|Bow|Jousi|Arco|Лук|弓|ボウ|활|Bogen|Arc|Arco|Łuk
item_type_gun|Gun|Pyssy|Arma|Ружье|槍|ガン|총|Gewehr|Fusil|Pistola|Broń Palna
item_type_flask|Vial|Injektiopullo |Frasco |Флакон|魔瓶|ヴァイアル|유리병|Phiole|Fiole|Vial|Fiola
item_type_throwing|Throwing Weapon|Heittoase|Arma de Arremeso|Метательное оружие|投擲武器|投擲武器|투척 무기|Wurfwaffe|Arme de jet|Arma Arrojadiza|Broń Miotana
item_type_novelty|Novelty|Erikoisuus|Fantasia|Новинка|新奇物品|ノベルティ|참신함|Neuheit|Nouveauté|Novedad|Nowość
item_type_armor|Armor|Panssari|Armadura|Броня|盔甲|アーマー|갑옷|Rüstung|Armure|Armadura|Zbroja
item_type_weapon|Weapon|Ase|Arma|Оружие|武器|ウェポン|무기|Waffe|Arme||Broń
item_type_uber|Special|Erityinen|Especial|Специальный|特別|スペシャル|특수|Spezial|Spécial|Arma|Specjalny
item_type_glyph|Glyph|Glyyfi|Glifo|Глиф|雕紋|グリフ|글리프|Glyphe|Glyphe|Especial|Glyph
item_type_codex|Codex|Codex |Códice |Кодекс|法典|コデックス|코덱스|Kodex|Codex|Glifo|Kodeks
item_type_flasks|Flask|Pullo|Frasco |Фляга |藥劑瓶 |フラスク|플라스크|Flasche|Flacon |Códice|Flaszka
item_type_vault|Vault|Holvi|Cofre |Сейф |精華庫 |コンテナ|컨테이너|Gewölbe|Sauter |Frasco|Skarbiec
item_type_fish|Fish|Kala|Peixe |Рыба |魚 |魚 |물고기 |Fisch|Poisson |Pez |Ryba
|||||||||||
[Drop Locations]|||||||||||
act01bossDungeons|Act I Boss Dungeons|Act I Boss Dungeons|Masmorras de Chefe do Ato I|Акт I Босс Подземелий|第一章BOSS地下城|Act I ボスダンジョン|1막 보스 던전|Boss-Dungeons Akt I|Donjons de boss de l'acte I|Mazmorras de Jefe del Acto I|Lochy Bossów Aktu I
act02bossDungeons|Act II Boss Dungeons|Act II Boss Dungeons|Masmorras de Chefe do Ato II|Акт II Подземелья с боссами|第二章BOSS地下城|Act II ボスダンジョン|2막 보스 던전|Boss-Dungeons Akt II|Donjons de boss de l'acte II|Mazmorras de Jefe del Acto II|Lochy Bossów Aktu II
act03bossDungeons|Act III Boss Dungeons|Act III Boss Dungeons|Masmorras de Chefe do Ato III|Акт III Подземелья с боссами|第三章BOSS地下城|Act III ボスダンジョン|3막 보스 던전|Boss-Dungeons Akt III|Donjons de boss de l'acte III|Mazmorras de Jefe del Acto III|Lochy Bossów Aktu III
act04bossDungeons|Act IV Boss Dungeons|Act IV Boss Dungeons|Masmorras de Chefe do Ato IV|Акт IV Подземелья с Боссами|第四章BOSS地下城|Act IV ボスダンジョン|4막 보스 던전|Boss-Dungeons Akt IV|Donjons de boss de l'acte IV|Mazmorras de Jefe del Acto IV|Lochy Bossów Aktu IV
act05bossDungeons|Act V Boss Dungeons|Act V Boss Dungeons|Masmorras de Chefe do Ato V|Акт V Подземелья с боссами|第五章BOSS地下城|Act V ボスダンジョン|5막 보스 던전|Boss-Dungeons Akt V|Donjons de boss de l'acte V|Mazmorras de Jefe del Acto V|Lochy Bossów Aktu V
act06bossDungeons|Act VI Boss Dungeons|Act VI Boss Dungeons|Masmorras de Chefe do Ato VI|Акт VI Подземелья с боссами|第六章BOSS地下城|Act VI ボスダンジョン|6막 보스 던전|Boss-Dungeons Akt VI|Donjons de boss de l'acte VI|Mazmorras de Jefe del Acto VI|Lochy Bossów Aktu VI
act07bossDungeons|Act VII Boss Dungeons|Act VII Boss Dungeons|Masmorras de Chefe do Ato VII|Акт VII Подземелья с боссами|第七章BOSS地下城|Act VII ボスダンジョン|7막 보스 던전|Boss-Dungeons Akt VII|Donjons de boss de l'acte VII|Mazmorras de Jefe del Acto VII|Lochy Bossów Aktu VII
act08bossDungeons|Act VIII Boss Dungeons|Act VIII Boss Dungeons|Masmorras de Chefe do Ato VIII|Акт VIII Подземелья с боссами|第八章BOSS地下城|Act VIII ボスダンジョン|8막 보스 던전|Boss-Dungeons Akt VIII|Donjons de boss de l'acte VIII|Mazmorras de Jefe del Acto VIII|Lochy Bossów Aktu VIII
act01dungeons|Act I Dungeons|Näytelmä I Dungeons|Masmorras do Ato I|Акт I Подземелья|第一章地下城|Act I ダンジョン|1막 던전|Dungeons Akt I|Donjons de boss de l'acte I|Mazmorras del Acto I|Lochy Aktu I
act02dungeons|Act II Dungeons|Act II Dungeons|Masmorras do Ato II|Акт II Подземелья|第二章地下城|Act II ダンジョン|2막 던전|Dungeons Akt II|Donjons de l'acte II|Mazmorras del Acto II|Lochy Aktu II
act03dungeons|Act III Dungeons|Act III Dungeons|Masmorras do Ato III|Акт III Подземелья|第三章地下城|Act III ダンジョン|3막 던전|Dungeons Akt III|Donjons de l'acte III|Mazmorras del Acto III|Lochy Aktu III
act04dungeons|Act IV Dungeons|Act IV Dungeons|Masmorras do Ato IV|Акт IV Подземелья|第四章地下城|Act IV ダンジョン|4막 던전|Dungeons Akt IV|Donjons de l'acte IV|Mazmorras del Acto IV|Lochy Aktu IV
act05dungeons|Act V Dungeons|Act V Dungeons|Masmorras do Ato V|Акт V Подземелья|第五章地下城|Act V ダンジョン|5막 던전|Dungeons Akt V|Donjons de l'acte V|Mazmorras del Acto V|Lochy Aktu V
act06dungeons|Act VI Dungeons|Act VI Dungeons|Masmorras do Ato VI|Акт VI Подземелья|第六章地下城|Act VI ダンジョン|6막 던전|Dungeons Akt VI|Donjons de l'acte VI|Mazmorras del Acto VI|Lochy Aktu VI
act07dungeons|Act VII Dungeons|Act VII Dungeons|Masmorras do Ato VII|Акт VII Подземелья|第七章地下城|Act VII ダンジョン|7막 던전|Dungeons Akt VII|Donjons de l'acte VII|Mazmorras del Acto VII|Lochy Aktu VII
act08dungeons|Act VIII Dungeons|Act VIII Dungeons|Masmorras do Ato VIII|Акт VIII Подземелья|第八章地下城|Act VIII ダンジョン|8막 던전|Dungeons Akt VIII|Donjons de l'acte VIII|Mazmorras del Acto VIII|Lochy Aktu VIII
act01zones|Act I Zones|Act I vyöhykkeet|Zonas do Ato I|Зоны действия I|第一章區域|Act I ゾーン|1막 구역|Zonen Akt I|Zones de l'acte I|Zonas del Acto I|Strefy Aktu I
act02zones|Act II Zones|Act II vyöhykkeet|Zonas do Ato II|Зоны Действия II|第二章區域|Act II ゾーン|2막 구역|Zonen Akt II|Zones de l'acte II|Zonas del Acto II|Strefy Aktu II
act03zones|Act III Zones|Act III vyöhykkeet|Zonas do Ato III|Зоны Действия III|第三章區域|Act III ゾーン|3막 구역|Zonen Akt III|Zones de l'acte III|Zonas del Acto III|Strefy Aktu III
act04zones|Act IV Zones|Act IV vyöhykkeet|Zonas do Ato IV|Зоны Действия IV|第四章區域|Act IV ゾーン|4막 구역|Zonen Akt IV|Zones de l'acte IV|Zonas del Acto IV|Strefy Aktu IV
act05zones|Act V Zones|Act V vyöhykkeet|Zonas do Ato V|Зоны действия V|第五章區域|Act V ゾーン|5막 구역|Zonen Akt V|Zones de l'acte V|Zonas del Acto V|Strefy Aktu V
act06zones|Act VI Zones|Laki VI vyöhykkeet|Zonas do Ato VI|Зоны действия VI|第六章區域|Act VI ゾーン|6막 구역|Zonen Akt VI|Zones de l'acte VI|Zonas del Acto VI|Strefy Aktu VI
act07zones|Act VII Zones|Act VII vyöhykkeet|Zonas do Ato VII|Зоны Действия VII|第七章區域|Act VII ゾーン|7막 구역|Zonen Akt VII|Zones de l'acte VII|Zonas del Acto VII|Strefy Aktu VII
act08zones|Act VIII Zones|Act VIII vyöhykkeet|Zonas do Ato VIII|Зоны Действия VIII|第八章區域|Act VIII ゾーン|8막 구역|Zonen Akt VIII|Zones de l'acte VIII|Zonas del Acto VIII|Strefy Aktu VIII
specialShadowRealm|Shadow Realm|Shadow Realm|Reino das Sombras|Царство Теней|暗影領域|シャドウレルム|그림자 왕국|Schattenreich|Royaume des ombres|Reino de las Sombras|Shadow Realm
specialEternalBattleField|Eternal Battlefield|Ikuinen taistelukenttä|Campo de Batalha Eterno|Вечное Поле битвы|永恆戰場|永遠の戦場|영원한 전장|Ewiges Schlachtfeld|Champ de bataille éternel|Campo de Batalla Eterna|Eternal Battlefield
specialNiflhel|Niflhel|Niflhel |Niflhel|Нифльхель|尼夫海姆 |ニヴルヘル |니플헤임|Niflhel|Niflhel |Niflhel|Niflhel
|||||||||||
[Glyphs]|||||||||||
glyph_greed|Greed|Ahneus|Glifo da Precisão|Жадность|貪婪雕紋|強欲|탐욕|Gier|Cupidité|Glifo de la Codicia|Chciwość
glyph_goblin|Goblin|Goblin|Glifo da Precisão|Гоблин|哥布林雕紋|ゴブリン|고블린|Kobold|Gobelin|Glifo del Trasgo|Goblin
glyph_loot|Loot|Ryöstää|Glifo da Percepção Mística|Добыча|戰利品雕紋|戦利品|전리품|Beute|Butin|Glifo del Botín|Łup
glyph_gamba|Gamba|Gamba|Glifo dos Ataques da Tempestade|Гамба|拉霸雕紋|ガンバ|감바|Gamba|Gamba|Glifo de la Gamba|Gamba
glyph_treasure|Treasure|Aarre|Glifo da Corrosão|Сокровище|寶藏雕紋|宝物|보물|Schatz|Trésor|Glifo del Tesoro|Skarb
glyph_angel|Angel|Enkeli|Glifo da Singularidade|Ангел|天使雕紋|エンジェル|천사|Engel|Ange|Glifo del Ángel|Anioł
glyph_alchemist|Alchemist|Alkemisti|Glifo do Eco|Алхимик|煉金術士雕紋|錬金術師|연금술사|Alchemist|Alchimiste|Glifo del Alquimista|Alchemik
glyph_keymaster|Key Master|Avaimen mestari|Glifo do Escudo do Sobrevivente|Мастер ключей|鑰匙大師雕紋|キーマスター|키 마스터|Schlüsselmeister|Maître des clés|Glifo del Maestro de Llaves|Mistrz Kluczy
glyph_shadow|Shadow|Varjo|Glifo do Mago Lutador|Тень|暗影雕紋|シャドウ|섀도우|Schatten|Ombre|Glifo de la Sombra|Cień
glyph_tower|Tower|Torni|Glifo da Avareza|Башня|塔雕紋|タワー|타워|Turm|Tour|Glifo de la Torre|Wieża
glyph_battle|Battle|Taistelu|Glifo do Poder do Titã|Битва|戰鬥雕紋|バトル|배틀|Kampf|Bataille|Glifo de la Batalla|Bitwa
glyph_runemaster|Runemaster|Runemaster|Glifo do Sobrecarregado|Мастер рун|符文大師雕紋|ルーンマスター|룬마스터|Runenmeister|Maître des runes|Glifo del Maestro de Runas|Runemaster
glyph_jewelcrafter|Jewelcrafter|Jewelcrafter|Glifo do Inverno Nórdico|Ювелир|寶石匠雕紋|宝石職人|보석 장인|Juwelenschleifer|Joaillier|Glifo del Joyero|Jubiler
glyph_geras|Geras|Geras|Glifo do Bebum|Герас|行商雕紋|ゲラス|게라스|Geras|Geras|Glifo de Geras|Geras
glyph_rift|Rift|Rift|Glifo do Domínio de Lacaios|Рифт|裂縫雕紋|リフト|리프트|Rift|Faille|Glifo de la Grieta|Rift
glyph_bifrost|Bifröst |Bifröst |Glifo do Ardiloso Astuto|Бифрост|彩虹橋雕紋|ビフロスト|비프로스트|Bifröst|Bifröst|Glifo de Bifröst|Bifröst
glyph_alfather|Alfather|Alfather|Glifo da Longevidade|Алфатер|眾神之父雕紋|アルファザー|알파더|Alfather|Alfather|Glifo del Padre de Todo|Alfather
glyph_relic|Relic|Jäänne|Glifo da Monstruosidade|Реликвия|遺物雕紋|遺物|유물|Reliquie|Relique|Glifo de la Reliquia|Relikt
glyph_satanic_dice|Satanic Dice|Saatanallinen noppa|Glifo do Elementalista|Сатанинские кости|撒旦骰子雕紋|サタニックダイス|사탄 주사위|Satanische Würfel|Dés sataniques|Glifo de los Dados Satánicos|Sataniczna Kostka
glyph_prime_evil|Prime Evil|Prime Evil|Glifo do Artesão|Первобытное зло|邪惡之源雕紋|プライムイービル|프라임 이블|Prime Evil|Mal primordial|Glifo del Mal Primario|Prime Evil
glyph_artisan|Artisan|Käsityöläinen|Glifo da Mistura|Ремесленник|工匠雕紋|職人|장인|Handwerker|Artisan|Glifo del Artesano|Rzemieślnik
glyph_infinity|Deprecated|Käytöstä poistettu|Glifo do Infinito|Устаревшее|已弃用|非推奨|사용 중단|Veraltet|Obsolète|Glifo del Infinito (Obsoleto)|Przestarzałe
glyph_gravity|Deprecated|Käytöstä poistettu|Glifo da Gravidade|Устаревшее|已弃用|非推奨|사용 중단|Veraltet|Obsolète|Glifo de la Gravedad (Obsoleto)|Przestarzałe
glyph_zapper|Deprecated|Käytöstä poistettu |Glifo do Zapeador|Устаревшее |已弃用 |非推奨 |사용 중단 |Veraltet|Obsolète |Glifo del Fulminador (Obsoleto)|Przestarzałe
|||||||||||
[Shrines]|||||||||||
shrine_devil|Devil's Shrine|Paholaisen pyhäkkö|Altar do Diabo|Святилище Дьявола|惡魔神殿|悪魔の神殿|악마의 제단|Schrein des Teufels|Sanctuaire du Diable|Santuario del Diablo|Ołtarz Diabła
shrine_angel|Angel's Shrine|Enkelin pyhäkkö|Altar do Anjo|Святилище Ангела|天使神殿|天使の神殿|천사의 제단|Schrein des Engels|Sanctuaire de l'Ange|Santuario del Ángel|Ołtarz Anioła
shrine_reaper|Death's Shrine|Kuoleman pyhäkkö|Altar da Morte|Святилище Смерти|死亡神殿|死の神殿|죽음의 제단|Schrein des Todes|Sanctuaire de la Mort|Santuario de la Muerte|Ołtarz Śmierci
shrine_chaos|Chaos Shrine|Kaaoksen pyhäkkö|Altar do Caos|Святилище Хаоса|混亂神殿|混沌の神殿|카오스 제단|Schrein des Chaos|Sanctuaire du Chaos|Santuario del Caos|Ołtarz Chaosu
shrine_life|Shrine of Life|Elämän pyhäkkö|Altar da Vida|Святилище Жизни|生命神殿|生命の神殿|생명의 제단|Schrein des Lebens|Sanctuaire de la Vie|Santuario de la Vida|Ołtarz Życia
shrine_mana|Shrine of Mana|Manan pyhäkkö|Altar da Mana|Святилище Маны|法力神殿|マナの神殿|마나의 제단|Schrein des Mana|Sanctuaire du Mana|Santuario de Maná|Ołtarz Many
shrine_anubis|Shrine of Destruction|Tuhon pyhäkkö|Santuário da Destruição|Святилище Разрушения|毀滅神殿|破壊の神殿|파괴의 제단|Schrein der Zerstörung|Sanctuaire de la Destruction|Santuario de la Destrucción|Ołtarz Zniszczenia
shrine_justice|Angel of Justice|Oikeuden enkeli |Anjo da Justiça |Ангел Справедливости |正義天使神殿 |正義の天使 |정의의 천사 |Engel der Gerechtigkeit|Ange de la Justice |Ángel de la Justicia|Anioł Sprawiedliwości
|||||||||||
[Shrine Affixes]|||||||||||
shrine_devil_affix01|of Experience||de Experiência|Опыта|經驗|の経験値|의 경험치|Erfahrung|de l'expérience|de la Experiencia|Doświadczenia
shrine_devil_affix02|of Agility||da Agilidade|Ловкости|攻擊速度|の敏捷性|의 민첩성|Geschicklichkeit|de l'agilité|de la Agilidad|Zwinności
shrine_devil_affix03|of Haste||da Rapidez|Скорости|移動速度|のヘイスト|의 헤이스트|Schnelligkeit|de la hâte|de la Celeridad|Przyspieszenia
shrine_devil_affix04|of Damage||de Dano|Урона|傷害|のダメージ|의 데미지|Schaden|des dégâts|del Daño|Obrażeń
shrine_devil_affix05|of Fortune||da Fortuna|Удачи|財富|の運|의 행운|Glück|de la fortune|de la Fortuna|Fortuny
shrine_devil_affix11|of Relic||da Relíquia|Реликвии|遺物|の遺物|의 유물|Reliquie|de la relique|de la Reliquia|Reliktu
shrine_angel_affix01|of Experience||de Experiência|Опыта|經驗|の経験値|의 경험치|Erfahrung|de l'expérience|de la Experiencia|Doświadczenia
shrine_angel_affix02|of Agility||da Agilidade|Ловкости|攻擊速度|の敏捷性|의 민첩성|Geschicklichkeit|de l'agilité|de la Agilidad|Zwinności
shrine_angel_affix03|of Haste||da Rapidez|Скорости|移動速度|のヘイスト|의 헤이스트|Schnelligkeit|de la hâte|de la Celeridad|Przyspieszenia
shrine_angel_affix04|of Damage||de Dano|Урона|傷害|のダメージ|의 데미지|Schaden|des dégâts|del Daño|Obrażeń
shrine_angel_affix05|of Fortune||da Fortuna|Удачи|財富|の運|의 행운|Glück|de la fortune|de la Fortuna|Fortuny
shrine_angel_affix06|of Skill||da Habilidade|Мастерства|技能|のスキル|의 스킬|Fertigkeit|de l'habileté|de la Habilidad|Umiejętności
shrine_chaos_affix01|of Satanism||do Satanismo|Сатанизма|撒旦裝備|のサタニック崇拝|의 사탄숭배|Satanismus|du satanisme|del Satanismo|Satanizmu
shrine_chaos_affix02|of Runic Embrace||do Abraço Rúnico|Рунического Объятия|符文|のルニックエンブレム|의 루닉 엠블럼|Runenumarmung|de l'étreinte runique|del Abrazo Rúnico|Runicznego Uścisku
shrine_chaos_affix03|of Dimension||da Dimensão|Измерения|次元碎片|の次元|의 차원|Dimension|de la dimension|de la Dimensión|Wymiaru
shrine_chaos_affix04|of Treasure||do Tesouro|Сокровища|寶藏哥布林|の宝物|의 보물|Schatz|du trésor|del Tesoro|Skarbu
shrine_chaos_affix05|of the Ancients||dos Anciões|Древних|古代怪物|の古代|의 고대|der Alten|des Anciens|de los Antiguos|Pradawnych
shrine_chaos_affix06|of Greed||de Ganância|Жадности|貪婪|の強欲|의 탐욕|Gier|de l'avidité|de la Codicia|Chciwości
shrine_chaos_affix07|of the Champions||dos Campeões|Чемпионов|冠軍怪物|のチャンピオン|의 챔피언|der Champions|des Champions|de los Campeones|Championów
shrine_reaper_affix01|of the Fallen Ancient||do Ancião Caído|Падшего Древнего|墮落古代怪物|の堕落した古代|의 타락한 고대|des Gefallenen Alten|de l'Ancien déchu|del Anciano Caído|Upadłego Pradawnego
shrine_reaper_affix02|of the Fallen Champion||do Campeão Caído|Падшего Чемпиона|墮落冠軍怪物|の堕落したチャンピオン|의 타락한 챔피언|des Gefallenen Champions|du Champion déchu|del Campeón Caído|Upadłego Championa
shrine_reaper_affix03|of the Fallen Legion||da Legião Caída|Падшего Легиона |墮落軍團怪物 |の堕落した軍団|의 타락한 군단|der Gefallenen Legion|de la Légion déchue |de la Legión Caída|Upadłego Legionu
|||||||||||
[Prefixes]|||||||||||
prefix_battlescarred|Battlescarred||Marcado|Израненный в боях|T5經驗|バトルスカー|배틀스카|Kampfspuren|Marqué par les batailles|Cicatrizado en batalla|Bliznowaty Bitewnie
prefix_fieldtested|Fieldtested||Testada|Проверенный в полевых условиях|T4經驗|フィールドテスト済み|필드테스트|Einsatzerprobt|Éprouvé sur le terrain|Probado en el campo de batalla|Przetestowany w Polu
prefix_wartorned|Wartorned||Rasgado|Истерзанный войной|T3經驗|ウォートーンド|워톤|Kriegsgeschunden|Brisé par la verrue|Marcado por la guerra|Zniszczony Wojną
prefix_posttraumatic|Posttraumatic||Pós-traumático|Посттравматичный|T2經驗|ポストトラウマティック|포스트트라우마|Posttraumatisch|Traumatisé|Postraumático|Pourazowy
prefix_warlegend|Warlegend||Lenda|Легенда войны|●T1經驗● |ウォーレジェンド|워레전드|Kriegslegend|Légende de guerre|Leyenda de guerra|Legenda Wojny
prefix_savage|Savage||Selvagem|Дикий|T5附加物理傷害|サベージ|새비지|Wild|Sauvage|Salvaje|Dziki
prefix_brutal|Brutal||Brutalidade|Жестокий|T4附加物理傷害|ブルータル|브루탈|Brutal|Brutal|Brutal|Brutalny
prefix_feral|Feral||Feral|Дикий|T3附加物理傷害|フィアラル|페럴|Ungezähmt|Féroce|Feral|Dziki
prefix_merciless|Merciless||Impiedoso|Безжалостный|T2附加物理傷害|マーシレス|머시리스|Gnadenlos|Impétueux|Despiadado|Bezlitosny
prefix_ferocious|Ferocious||Feroz|Свирепый|●T1附加物理傷害● |フェロシャス|페로셔스|Grausam|Féroce|Feroz|Zaciekły
prefix_owls|Owl||Coruja|Сова|T5命中率|オウル|아울|Eule|Hibou|Búho|Sowa
prefix_crows|Crow||Corvo|Ворон|T4命中率|クロウ|클로|Krähe|Corbeau|Cuervo|Kruk
prefix_hawks|Hawk||Gavião|Ястреб|T3命中率|ホーク|호크|Habicht|Épervier|Faucon |Jastrząb
prefix_falcons|Falcon||Falcão|Сокол|T2命中率|ファルコン|팔콘|Falke|Faucon|Halcón|Sokół
prefix_eagles|Eagle||Águia|Орел|●T1命中率● |イーグル|이글|Adler|Aigle|Águila|Orzeł
prefix_cobras|Cobra||Cobra|Кобра|T5法力值|コブラ|코브라|Kobra|Cobra|Cobra|Kobra
prefix_basilisks|Basilisk||Basilisco|Василиск|T4法力值|バジリスク|바실리스크|Basilisk|Basilic|Basilisco|Bazyliszek
prefix_serpents|Serpent||Serpente|Змея|T3法力值|サーペント|서펀트|Schlange|Serpent|Serpiente|Wąż
prefix_dragons|Dragon||Dragão|Дракон|T2法力值|ドラゴン|드래곤|Drache|Dragon|Dragón|Smok
prefix_wyrms|Wyrm||Wyrm|Червь|●T1法力值● |ワーム|웜|Lindwurm|Wyrm|Gusano|Wurm
prefix_kingcobras|King Cobra||Rei Cobra|Королевская кобра|T5法力值（基於等級）|キングコブラ|킹 코브라|Königskobra|Roi Cobra|Cobra real|Królewska Kobra
prefix_kingbasilisks|King Basilisk||Rei Basilisco|Королевский василиск|T4法力值（基於等級）|キングバジリスク|킹 바실리스크|Königsbasilisk|Roi Basilic|Basilisco real|Królewski Bazyliszek
prefix_kingserpents|King Serpent||Rei Serpente|Королевский змей|T3法力值（基於等級）|キングサーペント|킹 서펀트|Königsschlange|Roi Serpent|Serpiente real|Królewski Wąż
prefix_kingdragons|King Dragon||Rei Dragão|Королевский дракон|T2法力值（基於等級）|キングドラゴン|킹 드래곤|Königsdrache|Roi Dragon|Dragón real|Królewski Smok
prefix_kingwyrms|King Wyrm||Rei Wyrm|Королевский червь|●T1法力值（基於等級）● |キングワーム|킹 웜|Königslindwurm|Roi Wyrm|Gusano real|Królewski Wurm
prefix_armorers|Armorer's||do Armeiro|Оружейник|T5增強防禦|アーマラーの|아머러|Rüstungsschmieds|Armurier|Armero|Zbrojmistrza
prefix_defenders|Defender's||do Defensor|Защитник|T4增強防禦|ディフェンダーの|디펜더|Verteidigers|Défenseur|Defensor|Obrońcy
prefix_bastions|Bastion's||do Bastião|Бастион|T3增強防禦|バスティオンの|배스천|Bollwerks|Bastionnaire|Bastión|Bastionu
prefix_sentinels|Sentinel's||do Sentinela|Страж|T2增強防禦|センティネルの|센티널|Wächters|Sentinelle|Centinela|Strażnika
prefix_guardians|Guardian's||do Guardião|Страж|●T1增強防禦●|ガーディアンの|가디언|Beschützers|Gardien|Guardián|Strażnika
prefix_bears|Bear||Urso|Медведь|T5生命值|ベア|베어|Bär|Ours|Oso|Niedźwiedź
prefix_rhinos|Rhino||Rinoceronte|Носорог|T4生命值|ライノ|라이노|Nashorn|Rhinocéros|Rinoceronte|Nosorożec
prefix_whales|Whale||Baleia|Кит|T3生命值|ホエール|웨일|Wal|Baleine |Ballena |Wieloryb
prefix_mammoths|Mammoth||Mamute|Мамонт|T2生命值|マモス|매머드|Mammut|Mammouth|Mamut|Mamut
prefix_mastodons|Mastodon||Mastodonte|Мастодонт|●T1生命值●|マストドン|마스토돈|Mastodon|Mastodonte|Mastodonte|Mastodont
prefix_apexbears|Apex Bear||Urso Alfa|Верховный медведь |T5生命值（基於等級）|エイペックスベア|에이펙스 베어|Apex-Bär|Ours superprédateur|Oso Alfa|Apex Niedźwiedź
prefix_apexrhinos|Apex Rhino||Rinoceronte Alfa|Вершина Носорога|T4生命值（基於等級）|エイペックスライノ|에이펙스 라이노|Apex-Nashorn|Rhinocéros superprédateur|Rinoceronte Alfa|Apex Nosorożec
prefix_apexwhales|Apex Whale||Baleia Alfa|Вершина Кита|T3生命值（基於等級）|エイペックスホエール|에이펙스 웨일|Apex-Wal|Baleine superprédatrice|Ballena Alfa|Apex Wieloryb
prefix_apexmammoths|Apex Mammoth||Mamute Alfa|Вершина Мамонта|T2生命值（基於等級）|エイペックスマモス|에이펙스 매머드|Apex-Mammut|Mammouth superprédateur|Mamut Alfa|Apex Mamut
prefix_apexmastodons|Apex Mastodon||Mastodonte Alfa|Вершина Мастодонта|●T1生命值（基於等級）● |エイペックスマストドン|에이펙스 마스토돈|Apex-Mastodon|Mastodonte superprédateur |Mastodonte Alfa|Apex Mastodont
prefix_fire_cloaking|Fire Cloaking||Fogo Camuflado|Огненная маскировка|T5火抗|ファイアクローク|파이어클록|Feuermantel|Camouflage ignifuge|Enmascaramiento Ígneo|Płaszcz Ognia
prefix_fire_proof|Fire Proof||Prova de Fogo|Огнеупорный|T4火抗|ファイアプルーフ|파이어프루프|Feuerfest|Ignifugé|Ignífugo|Odporny na Ogień
prefix_fire_resisting|Fire Resisting||Resistente a Fogo|Огнестойкость|T3火抗|ファイアレジスト|파이어레지스트|Feuerresistent|Résistant au feu|Resistente al Fuego|Odporny na Ogień
prefix_fire_shielding|Fire Shielding||Blindado de Fogo|Огнезащита|T2火抗|ファイアシールド|파이어실드|Feuerschützend|Protection contre le feu|Escudo de Fuego|Osłaniający Ogień
prefix_fire_immune|Fire Immune||Imune a Fogo|Огнеиммунитет|●T1火抗● |ファイアイミューン|파이어이뮨|Feuerimmun|Immunité au feu |Inmune al Fuego|Odporny na Ogień
prefix_cold_cloaking|Cold Cloaking||Gelo Camuflado|Холодовая маскировка|T5冰抗|コールドクローク|콜드클록|Kältemantel|Camouflage contre le froid|Enmascaramiento Gélido|Płaszcz Zimna
prefix_cold_proof|Cold Proof||Prova de Gelo|Холодостойкость|T4冰抗|コールドプルーフ|콜드프루프|Kältesicher|Protection contre le froid|A Prueba de Hielo|Odporny na Zimno
prefix_cold_resisting|Cold Resisting||Resistente a Gelo|Холодостойкость|T3冰抗|コールドレジスト|콜드레지스트|Kälteresistent|Résistance au froid|Resistente al Frío|Odporny na Zimno
prefix_cold_shielding|Cold Shielding||Blindado a Gelo|Холодозащита|T2冰抗|コールドシールド|콜드실드|Kälteschützend|Protection contre le froid|Escudo Gélido|Osłaniający Zimno
prefix_cold_immune|Cold Immune||Imune a Gelo|Холодоустойчивость|●T1冰抗● |コールドイミューン|콜드이뮨|Kälteimmun|Immunité au froid |Inmune al Frío|Odporny na Zimno
prefix_poison_cloaking|Poison Cloaking||Veneno Camuflado|Холодозащитные свойства|T5毒抗|ポイズンクローク|포이즌클록|Giftmantel|Camouflage anti-poison|Enmascaramiento Venenoso|Płaszcz Trucizny
prefix_poison_proof|Poison Proof||Prova de Veneno|Холодоустойчивость|T4毒抗|ポイズンプルーフ|포이즌프루프|Giftfest|Protection contre le poison|A Prueba de Veneno|Odporny na Truciznę
prefix_poison_resisting|Poison Resisting||Resistente a Veneno|Холодозащитные свойства|T3毒抗|ポイズンレジスト|포이즌레지스트|Giftresistent|Résistance au poison|Resistente al Veneno|Odporny na Truciznę
