[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
local_play|Play local|Paikallinen peli|Jogo Local|Играть локально|單機遊戲|ローカルプレイ|로컬 플레이|Lokal spielen|Partie locale
market_limit|Market buy limit reached. Please wait before buying more!||O limite de compra do mercado foi atingido. Por favor, aguarde antes de comprar mais!|Лимит покупок на рынке достигнут. Пожалуйста, подождите, прежде чем покупать еще!|市場購買限額已達到。請稍後再購買！|市場の購入制限に達しました。さらに購入する前にお待ちください!|마켓 구매 한도에 도달했습니다. 더 구매하려면 잠시 기다려주세요!|Marktkauflimit erreicht. Bitte warten Sie, bevor Sie mehr kaufen!|Êtes-vous sûr de vouloir acheter ?
xmas_ice_warning|[shake_letter][c_red]BEWARE OF THE WEAK ICE![shake_reset]||[shake_letter][c_red]CUIDADO COM O GELO FRÁGIL[shake_reset]|[shake_letter][c_red]ОСТЕРЕГАЙТЕСЬ СЛАБОГО ЛЬДА![shake_reset]|[shake_letter][c_red]小心薄冰![shake_reset]|[shake_letter][c_red]弱い氷にご注意ください![shake_reset]|[shake_letter][c_red]약한 얼음에 주의하세요![shake_reset]|[shake_letter][c_red]HÜTEN SIE SICH VOR DEM SCHWACHEN EIS![shake_reset]|
buy_item_confirm|Are you sure you want to buy?|Oletko varma että haluat ostaa?|Tem certeza de que quer comprar?|Вы уверены, что хотите купить?|您確定要購買嗎|購入してもよろしいですか?|정말 구매 하시겠습니까?|Möchten Sie wirklich kaufen?|Paramètres
inventory_main|Main|Oletus|Principal|Main|主要|メイン|메인|Haupt|Principal
inventory_extra|Extra|Lisä|Extra|Extra|額外|エクストラ|추가|Extra|Secondaire
discord_official|Official Discord|Virallinen Discord|Discord Oficial|Official Discord|官方 Discord|公式 Discord|공식 디스코드|Offizieller Discord|Discord officiel
bind_hint|Hint: You can bind multiple skills by hovering a skill and pressing a skill bind button (these can be found in the options)||Dica: Você pode vincular várias habilidades passando o mouse sobre uma habilidade e pressionando o botão de vinculação de habilidade (podem ser encontrados nas configurações)|Подсказка: вы можете привязать несколько навыков, наведя курсор на навык и нажав кнопку привязки навыка (их можно найти в настройках)|提示：您可以將多個技能綁定在一起，[nl]方法是將鼠標懸停在技能上並按下技能綁定按鈕（這些按鈕可以在選項中找到） |ヒント: スキルにカーソルを合わせてスキル バインド ボタンを押すと、複数のスキルをバインドできます (これらはオプションにあります)|힌트: 스킬 위에 마우스를 올리고 스킬 설정 버튼을 눌러 여러 스킬들을 설정할 수 있습니다(옵션에서 찾을 수 있습니다).|Tipp: Sie können mehrere Fähigkeiten binden, indem Sie mit der Maus über eine Fähigkeit fahren und eine Schaltfläche zum Binden von Fähigkeiten drücken (diese finden Sie in den Optionen)|Conseil : vous pouvez lier plusieurs compétences en survolant une compétence et en appuyant sur une touche de raccourci (Vous pouvez modifier ces dernières depuis Option > Contrôles).
server_level_req|Minimum Player Level|Pelaajan minimitaso|Nível Mínimo do Jogador|Минимальный уровень игрока |最低玩家等级|最小プレイヤー レベル |최소 플레이어 레벨|Mindestspielerlevel |Niveau min. requis
server_steam_friend_password|Steam friends can join without password|Steam kaverit voivat liittyä ilman salasanaa|Amigos da steam podem entrar sem uma senha|Друзья Steam могут присоединиться без пароля|Steam好友無需密碼即可加入|Steam フレンドはパスワードなしで参加できます|Steam 친구는 비밀번호 없이 참여할 수 있습니다|Steam-Freunde können ohne Passwort beitreten|Les amis Steam peuvent rejoindre sans mot de passe
steam_invite_character_not_compatible|This character is not compatible with the game invite. Do you want to dismiss the invite?|Tämä hahmo ei ole yhteensopiva pelikutsun kanssa. Haluatko hylätä kutsun?|Este personagem não é compatível com o convite para jogo. Deseja cancelar o convite?|Этот персонаж несовместим с приглашением в игру. Вы хотите отклонить приглашение?|此角色與遊戲邀請不相容。是否要拒絕邀請？|このキャラクターはゲーム招待と互換性がありません。招待を拒否しますか?|이 캐릭터는 게임 초대와 호환되지 않습니다. 초대를 취소하시겠습니까?|Dieser Charakter ist nicht mit der Spieleinladung kompatibel. Möchten Sie die Einladung ablehnen?|Ce personnage n'est pas compatible avec l'invitation de jeu. Voulez-vous rejeter l'invitation ?
steam_invite_ingame_exit|Do you want to exit current session to join game invite?|Haluatko lopettaa nykyisen pelin ja liittyä pelikutsuun?|Deseja sair da sessão atual para aceitar o convite de jogo?|Вы хотите выйти из текущего сеанса, чтобы присоединиться к приглашению в игру?|您想退出當前遊戲以加入遊戲邀請嗎？|ゲーム招待に参加するために現在のセッションを終了しますか?|현재 세션을 종료하고 게임 초대에 참여하시겠습니까?|Möchten Sie die aktuelle Sitzung beenden, um der Spieleinladung beizutreten?|Voulez-vous quitter la session en cours pour rejoindre l'invitation de jeu ?
augments|Augments|Lisävoimat|Aumentos|Улучшения|強化圖鑑|増強|강화|Erweiterungen|Augmentations
unspent_attribute|Attribute Points|Ominaisuuspisteet|Pontos de Atributo|Очки характеристик|屬性點|属性ポイント|능력치 포인트|Attributpunkte|Points d'attribut
unspent_skill|Skill Points|Taitopisteet|Pontos de Habilidade|Очки навыков|技能點|スキルポイント|스킬 포인트|Fertigkeitspunkte|Points de compétence
specialization_title|Skill Specialization|Taitojen erikoistuminen|Especialização de Habilidade|Специализация навыков|專精技能|スキル特化|스킬 전문화|Fertigkeitsspezialisierung|Spécialisation de compétence
specialization_description|Specialize, boost and change how this skill works!|Erikoistu, tehosta ja muuta tämän taidon toimintaa!|Escolha sua especialização e aumente o valor principal da habilidade escolhida! Você sempre pode mudar de especialização redefinindo seus pontos de habilidade.|Специализируйте, усиливайте и изменяйте работу этого навыка!|選擇你的專精技能並提升所選技能的主要能力! 您始終可以透過重置技能點數來更改專精！|このスキルを特化、強化、および動作方法を変更します!|전문화, 이 스킬을 강화하고 작동방식을 변경하세요!|Spezialisieren Sie sich, steigern Sie und ändern Sie die Funktionsweise dieser Fähigkeit!|Spécialisez, améliorez et modifiez le fonctionnement de cette compétence !
specialization_desc_short|Choose a skill to specialize in, boosting its strength!|Valitse taito, johon haluat erikoistua ja vahvista sen vahvuutta!|Escolha uma habilidade para se especializar, aumentando sua força!|Выберите навык, на котором хотите специализироваться, увеличивая его силу!|選擇一項專精技能，增強其力量！|特化するスキルを選択して、その強さを強化します!|전문화할 스킬을 선택하여 스킬을 강화하세요!|Wählen Sie eine Fähigkeit, auf die Sie sich spezialisieren möchten, und steigern Sie ihre Stärke!|Choisissez une compétence dans laquelle vous spécialiser, augmentant sa force !
speciality|Speciality|Erikoisuus|Especialidade|Специализация|專精|特化|전문화|Spezialität|Spécialité
exit|Exit|Poistu|Sair|Выйти|出口|終了|종료|Beenden|Quitter
assign_skill|Assign Skill Bind|Määritä Skill Bind|Atribuir Vínculo de Habilidade|Назначить привязку навыков|分配技能綁定|スキルバインドの割り当て|스킬 설정 할당|Fertigkeitsbindung zuweisen|Assigner un lien de compétence
hero_talent_board|Hero Skills|Sankaritaidot|Habilidades do Herói|Навыки героя|英雄技能|ヒーロースキル|영웅 스킬|Heldenfähigkeiten|Compétences de héros
mercenary_skills|Mercenary Skills|Palkkasoturitaidot|Habilidades do Mercenário|Навыки наемника|傭兵技能|傭兵スキル|용병 스킬|Söldnerfähigkeiten|Compétences de mercenaire
unlock_tower_chest|Unlocked in Inferno|Avattu Infernossa|Desbloqueado no Inferno|Открывается в Inferno|在煉獄解鎖|インフェルノでロック解除|인페르노에서 잠금 해제|In Inferno freigeschaltet|Débloqué dans Inferno
next_quest|Next Quest|Seuraava tehtävä|Próxima Quest|Следующий квест|下一個任務|次のクエスト|다음 퀘스트|Nächste Quest|Prochaine quête
convert_odyssey_to_normal|Convert to Normal|Muunna normaaliksi|Converter para Normal|Преобразовать в обычного|轉換為普通|通常に変換|일반으로 전환|In Normal umwandeln|Convertir en normal
convert_odyssey_to_normal_confirm|Are you sure you want to convert your Odyssey character to a normal character?|Oletko varma, että haluat muuntaa Odyssey-hahmosi tavalliseksi hahmoksi?|Você tem certeza de que quer converter seu personagem Odisseia para um personagem normal?|Вы уверены, что хотите преобразовать своего персонажа Odyssey в обычного персонажа?|您確定要將您的奧德賽角色轉換為普通角色嗎？|オデッセイキャラクターを通常のキャラクターに変換してもよろしいですか?|오디세이 캐릭터를 일반 캐릭터로 전환하시겠습니까?|Sind Sie sicher, dass Sie Ihren Odyssey-Charakter in einen normalen Charakter umwandeln möchten?|Êtes-vous sûr de vouloir convertir votre personnage Odyssey en personnage normal ?
dont_save|Don´t Save|Älä Tallenna|Não Salvar|Не сохранять|不保存|保存しない|저장 안 함|Nicht speichern|Ne pas sauvegarder
dungeon_rune_rate|Rune drop rates|Rune drop rates|Taxas de obtenção de runas|Вероятность выпадения рун|符文掉落率|ルーンのドロップ率|룬 드롭률|Runen-Droprate|Taux d'obtention des runes|Probabilidad de obtención de runas|Szanse na drop run
dungeon_craft_material_rate|Crafting material drop rates|Crafting material drop rates|Taxas de obtenção de materiais de criação|Вероятность выпадения материалов для крафта|製作材料掉落率|クラフト素材のドロップ率|제작 재료 드롭률|Droprate für Handwerksmaterialien|Taux d'obtention des matériaux d'artisanat|Probabilidad de obtención de materiales de artesanía|Szanse na drop materiałów rzemieślniczych
dungeon_heroic_rate|Heroic item drop rates|Heroic item drop rates|Taxas de obtenção de itens heroicos|Вероятность выпадения героических предметов|英雄級物品掉落率|英雄級アイテムのドロップ率|영웅 아이템 드롭률|Droprate für Heldengegenstände|Taux d'obtention des objets héroïques|Probabilidad de obtención de objetos heroicos|Szanse na drop przedmiotów Heroicznych
