[enemies]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
e_cultLeader_3|Cult Leader||Líder de Culto|Лидер культа|邪教領袖|カルト指導者|사이비 종교 지도자|Kultführer|Chef de secte|Líder de Culto |Przywódca Kultu
e_shroudedShade_3|Shrouded Shade||Sombra Velada|Укутанная тень|籠罩之影|覆われし影|장막의 그림자|Verhüllter Schatten|Ombre Voilée|Sombra Oculta|Okryty Całunem Cień
e_mechanicalMonstrosity_3|Mechanical Monstrosity||Monstruosidade Mecânica|Механический монстр|機械畸形體|機械仕掛けの怪物|기계 괴물|Mechanische Monstrosität|Monstruosité Mécanique|Monstruosidad Mecánica|Mechaniczna Monstrualność
e_primalSilverBack_3|Primal Silverback||Costas-de-Prata Primal|Первобытная горилла|遠古銀背猩猩|原始のシルバーバック|원시 실버백|Urzeitlicher Silberrücken|Dos-d'Argent Primal|Espalda Plateada Primigenia|Pierwotny Srebrnogrzbiety
e_abyssServant_3|Abyss Servant||Servo do Abismo|Слуга Бездны|深淵僕從|深淵の従者|심연의 하인|Diener des Abgrunds|Serviteur des Abysses|Sirviente del Abismo|Sługa Otchłani
e_colossalArmada_3|Colossal Armada||Armada Colossal|Колоссальная армада|巨型艦隊|巨大艦隊|거대한 함대|Kolossale Armada|Armada Colossale|Armada Colosal|Kolosalna Armada
e_plunderingApparation_3|Plundering Apparation||Aparição Saqueadora|Мародерствующее привидение|劫掠幽靈|略奪する亡霊|약탈하는 유령|Plündernde Erscheinung|Apparition Pilleuse|Espectro Saqueador|Łupieżcze Widmo
e_bloatingCorroder_3|Bloating Corroder||Corrosor Inchado|Раздувающийся корродирующий|腫脹腐蝕者|膨張する腐食体|부풀어 오른 부식자|Aufgedunsener Zersetzer|Corrodeur Boursouflé|Corrosor Hinchado|Pęczniejący Żrący Byt
e_giantBloodClot_3|Giant Blood Clot||Coágulo Sanguíneo Gigante|Гигантский сгусток крови|巨型血塊|巨大な血塊|거대한 혈액 응고체|Riesiges Blutgerinnsel|Caillot de Sang Géant|Coágulo de Sangre Gigante|Gigantyczny Skrzep Krwi
e_sungLeesHerald_3|Sung Lee’s Herald||Arauto de Sung Lee |Sung Lee’s Herald|李宋的使者|ソン・リーの使者 |성 리의 전령|Sung Lees Herold |Héraut de Sung Lee |Heraldo de Sung Lee|Herold Sung Lee
|||||||||||
[Bosses]|||||||||||
e_krampus_1|Krampus|Saatana Klaus|Klaus Satã|Крампус |坎普斯|クランプス |크람푸스 |Krampus|Krampus |Krampus|Krampus
e_valkyrie_1|Corrupted Valkyrie|Turmeltunut Valkyyria|Valquíria Corrompida|Оскверненная валькирия|墮落女武神|堕落したヴァルキリー|타락한 발키리|Korrupte Walküre|Valkyrie corrompue|Valquiria Corrupta|Skażona Walkiria
e_enragedOdin_1|Enraged Odin|Raivoitettu Odin|Odin Enfurecido|Разгневанный Один|奧丁之怒|激怒したオーディン|격노한 오딘|Enraged Odin|Odin enragé|Odín Enfurecido|Wściekły Odin
e_grimbone_1|Grimbone|Kuolemanvarjo|Grimbone|Гримбон|恐懼骸骨|グリムボーン|그림본|Grimbone|Grimbone|Grimbone|Grimbone
e_jadeStoneGazer_1|Jadestone Gazer|Jadekivinen Tietäjä|Observador de Pedra de Jade|Нефритовый зефир|玉石凝視者|ジェイドストーンの凝視者|자드스톤 게이저|Jadestein-Blicker|Chercheur de jade|Observador de Piedra de Jade|Jadestone Gazer
e_redBeard_1|Red Beard|Punaparta|Barba Ruiva|Рыжая борода|紅鬍子|赤髭|레드 비어드|Rotbart|Barbe rouge|Barba Roja|Czerwona Broda
e_akora_1|Akora|Akora|Akora|Акора|阿科拉|アコラ|아코라|Akora|Akora|Akora|Akora
e_demonZealot_1|Demon Zealot|Demonikiihkoilija|Fanático Demônio|Демон-фанатик|惡魔狂熱者|悪魔の狂信者|데몬 제로트|Dämonischer Zelot|Zélote démoniaque|Fanático Demonio|Demon Fanatyk
e_uberKingRakhul_1|King Rakhul|Kuningas Rakhul|Rei Rakhul|Король Рахул|拉庫爾之王|ラクル王|라쿨 왕|König Rakhul|Roi Rakhul|Rey Rakhul|Król Rakhul
e_uberSungLee_1|Sung Lee|Sung Lee|Sung Lee|Санг Ли|李·宋|Sung Lee|성 리|Sung Lee|Sung Lee|Sung Lee|Sung Lee
e_uberGabriel_1|Gabriel the Fallen Angel|Gabriel Langennut Enkeli|Gabriel, o Anjo Caído|Габриэль Падший ангел|堕落天使加百列|ガブリエル・ザ・堕天使|타락 천사 가브리엘|Gabriel, der gefallene Engel|Gabriel, l'ange déchu|Gabriel el Ángel Caído|Gabriel Upadły Anioł
e_sheep_king_1|The Sheep King|Lammaskuningas|O Rei Carneiro|Король овец|羊王|シープ・キング|양 왕|Der Schafskönig|Roi des moutons|El Rey Oveja|Król Owiec
e_uberChaosTower_1|Rogue Chaos Tower|Rogue Chaos Tower|Torre do Caos Rebelde|Башня разбойника Хаоса|異常混沌塔|ローグカオスタワー |로그 카오스 타워 |Schurken-Chaos-Turm|Tour du Chaos des Voleurs |Torre del Caos Rebelde|Rogue Chaos Tower
e_gaben_1|Lord Gaben|Lordi Gaben|Lorde Gaben|Лорд Габен|加本勳爵|ゲイブン卿|게이브 경|Lord Gaben|Seigneur Gaben|Lord Gaben|Lord Gaben
e_shadowreaper_1|Shade of Death|Kuoleman Varjo|Sombra da Morte|Тень смерти|死亡陰影|デスシェード|죽음의 장막|Schatten des Todes|Ombre de la Mort|Sombra de la Muerte|Cień Śmierci
e_mevius_1|Mevius|Mevius|Mevius|Мевиус|梅維烏斯|メビウス|메비우스|Mevius|Mevius|Mevius|Mevius
e_satan_1|Satan|Saatana|Katã|Сатана|撒旦|サタン|사탄|Satan|Satan|Satán|Satan
e_karp_king_1|The Karp King|Karppikuningas|Rei Karp|Король Карпов|卡普國王|カープキング|잉어 왕|Karp King|Roi Carpe|El Rey Carpa|Król Karp
e_reaper_1|Grim Reaper|Synkkä Viikatemies|Ceifador Sinistro|Мрачный жнец|死神|グリム・リーパー|사신|Sensenmann|Faucheuse sinister|Saqueador no muerto|Grim Reaper
e_damien_1|Damien|Damien|Damien|Дэмиен|達米安|ダミアン|데미언|Damien|Damien|La Parca|Damien
e_anubis_1|Anubis|Anubis|Anúbis|Анубис|阿努比斯|アヌビス|아누비스|Anubis|Anubis|Damien|Anubis
e_uberEndrixia_1|Endrixia|Endrixia|Endrixia|Эндриксия|恩德里西亞|エンドリクシア|엔드릭시아|Endrixia|Endrixia|Anubis|Endrixia
e_uberAnubis_1|Amun Ra|Amun Ra|Amun Ra|Амун Ра|阿蒙·拉|アムン・ラー|아문 라|Amun Ra|Amon Rê|Endrixia|Amun Ra
e_uberLuna_1|Possessed Luna|Riivattu Luna|Luna Possuída|Одержимая Луна|瘋狂的露娜|憑依されたルナ|포제스트 루나|Besessene Luna|Lune possédée|Amun Ra|Opętana Luna
e_gurag_1|Gurag the Fallen King|Gurag Langennut Kuningas|Gurag, o Rei Caído|Гураг Падший король|墮落之王古拉格|堕落王グラグ|타락한 왕 구라그|Gurag, der gefallene König|Gurag le Roi déchu|Luna Poseída|Gurag Upadły Król
e_horrorBranch_1|Horror Branch|Kauhun Oksa|Ramo do Horror|Ветвь ужаса|恐怖枝條|ホラー部門 |공포의 가지 |Horrorzweig|Branche Horreur|Gurag el Rey Caído|Gałąź Horroru
e_puppetQueen_1|Puppet Queen|Nukkekuningatar|Rainha Marionete|Королева марионеток|傀儡女王|パペットクイーン|퍼펫 퀸|Puppenkönigin|Reine marionnette|Rama del Horror|Królowa Marionetek
e_kingSteve_1|King Steve|Kuningas Steve|Rei Steve|Король Стив|國王史蒂夫|キング・スティーブ|킹 스티브|König Steve|Roi Steve|Reina Marioneta|Król Steve
e_mimicColossus_1|Mimic Colossus|Mimikkolossi|Colosso Mímico|Мимический колосс|巨型寶箱怪|ミミック・コロッサス |거상을 흉내내다 |Koloss-Imitator|Colosse mimique|Rey Steve|Kolosal Mimik
e_jormungandr_1|Jormungandr|Jormungandr |Jormungandr |Йормунганд |耶夢加得|ヨルムンガンド|요르문간드|Jormungandr|Jormungandr |Coloso Mímico|Jormungandr
e_uberArchitect_1|Architect of Ruin|Raunion arkkitehti|Arquiteto da Ruína|Архитектор руин|毀滅建築師|アーキテクト・オブ・ルイン|폐허의 건축가|Architekt des Ruins|Architecte de la Ruine|Jormungandr|Architekt Ruiny
e_uberArchitectClone_1|Mirror of Ruin|Raunion peili |Espelho da Ruína |Зеркало руин |毀滅之鏡|ミラー・オブ・ルイン|폐허의 거울|Spiegel des Ruins|Miroir de la Ruine |Arquitecto de la Ruina|Lustro Ruiny
e_uberPapaLegba_1|Papa Legba|Papa Legba|Papa Legba|Стадион Легба |勒格巴爸爸|レグバ スタジアム |레그바 경기장 |Papa Legba|Papa Legba|Papa Legba|Papa Legba
e_uberDamien_1|Fallen Damien|Fallen Damien|Damien Caído |Падший Дэмиен |墮落的達米安|堕落したダミアン |타락한 데미안 |Gefallener Damien |Damien déchu |Damián caído |Upadły Damien
e_cthulhu_1|Cthulhu||Cthulhu|Ктулху|克蘇魯|クトゥルフ|크툴루|Cthulhu|Cthulhu|Cthulhu|Cthulhu
e_uberCaptainGrimtide_1|Captain Grimtide||Capitão Grimtide|Капитан Гримтайд|恐怖潮汐船長|キャプテン・グリムタイド|캡틴 그림타이드|Captain Grimtide|Capitaine Grimtide|Capitán Mareagris|Kapitan Grimtide
e_uberBloodMaiden_1|Blood Maiden||Donzela de Sangue|Кровавая дева|鮮血少女|ブラッド・メイデン|블러드 메이든|Blood Maiden|Demoiselle de sang|Dama de Sangre|Krwawa Dziewica
e_uberPhantomLeviathan_1|Phantom Leviathan||Leviatã Fantasma|Призрачный Левиафан|幻影利維坦|ファントム・リヴァイアサン|팬텀 리바이어던|Phantom Leviathan|Léviathan fantôme|Leviatán Fantasma|Widmowy Lewiatan
e_kaelith_1|Kaelith||Kaelith |Каэлит|凱利斯|ケーリス |카엘리스|Kaelith |Kaelith |Kaelith|Kaelith
|||||||||||
[Boss Spells]|||||||||||
spell_sheepKing_01|Wooly Charge|Villainen hyökkäys|Investida Lanosa|Шерстяной натиск|毛茸茸衝鋒|ウーリーチャージ|양털 돌진|Wolliger Angriff|Charge laineuse|Carga Lanuda|Wełnisty Szarż
spell_sheepKing_02|Waves of Wool|Villan aallot|Ondas de Lã|Волны шерсти|羊毛波浪|ウールの波|양털의 파도|Wollwellen|Vagues de laine|Ondas de Lana|Fale Wełny
spell_sheepKing_03|Sheepacolypse|Sheepacolypse |Acoplipse de Ovelhas|Овечья колыбель|末日羊群|シープカリプス|양포칼립스|Schafkolypse|Sheepacolypse|Ovejacolipsis|Owcapokalipsa
spell_jormungandr_0|Serpent's Surge|Käärmeen Syöksy|Onda da Serpente|Змеиный прилив|巨蛇湧動|サーペントの猛進|뱀의 쇄도|Schlangenwoge|Déferlement du serpent|Oleada de la Serpiente|Szarża Węża
spell_jormungandr_1|Shadow Barrage|Varjovuodatus|Barragem Sombria|Теневой шквал|暗影彈幕|シャドウバラージ|섀도우 탄막|Schattenfeuer|Barrage d'ombres|Andanada de Sombras|Cienista Salwa
spell_jormungandr_2|Seismic Screech|Seisminen Kirskahdus|Grito Sísmico|Сейсмический визг|地震尖叫聲|地震の叫び|지각 포효|Seismisches Kreischen|Cri sismique|Chillido Sísmico|Sejsmiczny Krzyk
spell_jormungandr_3|Call of the World Serpent|Käärmeen Kutsu|Chamado da Serpente do Mundo|Зов мирового змея|召喚世界之蛇|世界蛇の呼び声|세계 뱀의 부름|Ruf der Weltenschlange|Appel du serpent du monde|Llamada de la Serpiente del Mundo|Wezwanie Światowego Węża
spell_jormungandr_4|Final Breath|Viimeinen Henkäys|Suspiro Final |Последний вздох |最後之息 |最後の息吹|마지막 숨결|Letzter Atemzug|Dernier souffle |Último Aliento|Ostatni Oddech
spell_valkyrie_0|Impale|Lävistys|Empalar|Пронзить|刺穿|串刺し|꿰뚫기|Aufspießen|Empaler|Empalar|Przebicie
spell_valkyrie_1|Unholy Blast|Epäpyhä räjähdys|Explosão Profana|Нечестивый Взрыв|邪惡衝擊|アンホーリーブラスト|불경한 폭발|Unheilige Explosion|Souffle impie|Explosión Profana|Nieświęty Wybuch
spell_valkyrie_2|Call of the Valkyrie|Valkyrien kutsu|Chamado das Valquírias|Зов валькирии|女武神召喚|ヴァルキリーの呼び声|발키리의 부름|Ruf der Walküre|Appel de la Valkyrie|Llamada de las Valquirias|Wezwanie Walkirii
spell_valkyrie_3|Rain of Spears|Keihäiden sade|Chuva de Lanças|Дождь из Копий|長矛之雨|槍雨|창비|Speerregen|Pluie de lances|Lluvia de Lanzas|Deszcz Włóczni
spell_grimbone_0|Summon Undead|Kuolleiden kutsuminen|Invocar Mortos|Призывать Нежить|召喚不死生物|アンデッド召喚|언데드 소환|Untote beschwören|Invocation de morts-vivants|Invocar No-muertos|Przyzwanie Nieumarłych
spell_grimbone_1|Pincer Charge|Pihtirynnäkö|Avanço de Pinça|Заряд клещей|巨鉗衝刺|ピンサー・チャージ|협공 돌진|Zangenangriff|Charge tenaille|Carga de Pinzas|Szarża Szczypcami
spell_grimbone_2|Shadow Cleave|Varjon halkaisu|Cutilação das Sombras|Расщепление Тени|暗影切割|シャドウクリーブ|섀도우 클리브|Schattenspalt|Purge de l'ombre|Tajo de Sombras|Cieniste Rozcięcie
spell_grimbone_3|Grim Fissure|Synkkä halkeama|Fissura Sombria|Мрачная Трещина|恐懼裂缝|グリムフィッシャー|그림 피셔|Grauer Riss|Fissure sinistre|Fisura Siniestra|Ponura Szczelina
spell_odin_phase_2_0|Ground Smash|Maan murskaaminen|Esmagamento|Удар о землю|地面粉碎|グラウンドスマッシュ|대지 분쇄|Bodenschlag|Impact|Golpe Terrestre|Uderzenie w Ziemię
spell_odin_phase_2_1|Meteor Shower|Meteorisade|Chuva de Meteoros|Метеоритный дождь|流星雨|流星群|유성우|Meteorschauer|Pluie de météorites|Lluvia de Meteoros|Deszcz Meteorów
spell_odin_phase_2_2|Shove|Työntäminen|Empurrão|Толкать|撞|押しのけ|밀쳐내기|Schub|Poussée|Empujón|Pchnięcie
spell_odin_phase_2_3|Engulfing Flames|Liekkien nielaiseminen|Engolir em Chamas|Всепоглощающее Пламя|吞噬烈焰|飲み込む炎|집어삼키는 불길|Verschlingende Flammen|Flammes dévorantes|Llamas Envolventes|Pochłaniające Płomienie
spell_odin_phase_2_4|Last Stand|Viimeinen taistelu|Última Posição|Последняя битва|最後一戰|最後の抵抗|최후의 항전|Letztes Gefecht|Dernier combat|Última Resistencia|Ostatni Bastion
spell_odin_phase_2_pillar_0|Repel Wave|Torjunta-aalto|Onda Repelente|Отталкивающая Волна|擊退波|波動反撃|반격 파동|Welle abwehren|Vague de répulsion|Onda Repelente|Fala Odbicia
spell_odin_phase_1_0|Lightning Burn|Salaman poltto|Queimadura Elétrica|Молния Горит|燃燒閃電|ライトニングバーン|번개 화상|Blitzbrand|Brûlure de foudre|Quemadura de Rayo|Płonące Błyskawice
spell_odin_phase_1_1|Shadow Orb|Varjopallo|Orbe das Sombras|Теневой Шар|暗影球|シャドウオーブ|섀도우 오브|Schattenkugel|Orbe d'ombre|Orbe de Sombras|Cienista Kula
spell_odin_phase_1_2|Storm Break|Myrskynmurto|Tempestade|Штормовой Перерыв|暴風雨|ストームブレイク|폭풍 분쇄|Sturmbruch|Brise-tempête|Ruptura de Tormenta|Przełamanie Burzy
spell_odin_phase_1_3|Summon Raven|Korpin kutsuminen|Invocar Corvo|Призови Ворона|召喚烏鴉|レイブン召喚|까마귀 소환|Rabe beschwören|Invocation du corbeau|Invocar Cuervo|Przyzwanie Kruka
spell_muninn_0|Corrupted Memories|Turmeltuneet muistot|Memórias Corrompidas|Искаженные Воспоминания|腐化記憶|堕落した記憶|타락한 기억|Verdorbene Erinnerungen|Souvenirs troublés|Memorias Corruptas|Skażone Wspomnienia
spell_huginn_0|Fearful Thoughts|Pelottavat ajatukset |Pensamentos de Medo|Страшные Мысли|恐懼思緒 |恐怖の思考|공포의 사념|Angstvolle Gedanken|Pensées effrayantes|Pensamientos de Miedo|Strachliwe Myśli
spell_anubis_0|Meteor Shower|Meteor Shower|Chuva de Meteoros|Метеоритный дождь|流星雨|流星群|유성우|Meteor Shower|Pluie de météores|Lluvia de Meteoros|Deszcz Meteorów
spell_anubis_1|Wall of Thunder|Wall of Thunder|Parede do Trovão|Стена грома|雷電之牆|雷の壁|천둥의 벽|Wall of Thunder|Mur de tonnerre|Muro del Trueno|Ściana Gromu
spell_anubis_2|Wrath of Anubis|Wrath of Anubis|Fúria de Anúbis|Гнев Анубиса|阿努比斯之怒|アヌビスの怒り|아누비스의 분노|Wrath of Anubis|Colère d'Anubis|Ira de Anubis|Gniew Anubisa
spell_end_game|End Game|End Game|Fim de Jogo|Окончание игры|結束遊戲|ゲーム終了|최종 단계|Spiel beenden|Assez jouer|Fin del Juego|Koniec Gry
spell_sung_lee_0|Lethal Smash|Lethal Smash|Choque Letal|Смертельный Удар|致命一擊|致命の一撃|치명타 강타|Lethal Smash|Fracas mortel|Golpe letal|Śmiertelne Uderzenie
spell_sung_lee_1|Earthquake|Earthquake|Terremoto|Землетрясение|地震|地震|지진|Earthquake|Tremblement de terre|Terremoto|Trzęsienie Ziemi
spell_sung_lee_2|Rain of Doom|Rain of Doom|Chuva de Ruína|Роковой дождь|末日之雨|破滅の雨|파멸의 비|Rain of Doom|Pluie de malheur|Lluvia de la perdición|Deszcz Zagłady
spell_sung_lee_3|Summon Weapon|Summon Weapon|Convocar Arma|Оружие Призыва|召喚武器 |武器召喚|무기 소환|Summon Weapon|Invocation d'arme|Invocar arma|Przyzwanie Broni
spell_king_rakhul_04|Raging Charge|Raivoisa Rynnäkkö|Carga Violenta|Яростный Заряд|狂怒衝鋒|荒れ狂うチャージ|성난 돌격|Rasende Ladung|Charge furieuse|Carga furiosa|Wściekła Szarża
spell_king_rakhul_02|Arena Traps|Areenan ansat|Armadilhas de Arena|Ловушки на Арене|競技場陷阱|アリーナトラップ|아레나 트랩|Arena-Fallen|Pièges d'arène|Trampas de arena|Pułapki Areny
spell_king_rakhul_01|Colossal Slam|Valtava Läimäys|Batida Colossal|Колоссальный Удар|巨大猛擊|巨大なスラム|어마 어마한 슬램|Kolossaler Slam|Coup de poing colossal|Golpe colosal|Kolosalne Uderzenie
spell_king_rakhul_03|Shockwave|Paineaalto|Onda de Choque|Ударная волна|衝擊波|衝撃波|충격파|Druckwelle|Onde de choc|Onda expansiva|Fala Uderzeniowa
spell_uber_reaper_1|Pentagram Slam|Pentagrammiläimäys|Golpe Pentagrama|Удар Пентаграммой|五芒星猛擊|五芒星スラム|오각형 슬램|Pentagramm Zuschlagen|Déchaînement du pentagramme|Golpe de pentagrama|Uderzenie Pentagramu
spell_uber_reaper_2|Scythe Strike|Viikateisku|Ataque com Foice|Удар Косой|鐮刀打擊|鎌ストライキ|낫 파업|Sense Streik|Frappe de la faux|Golpe de guadaña|Uderzenie Kosą
spell_uber_reaper_3|Shadow Skull|Varjokallo|Caveira das Sombras|Теневой Череп|暗影頭骨|影の頭蓋骨|그림자 두개골|Schatten Schädel|Crâne d'ombre|Calavera sombría|Cienista Czaszka
spell_uber_reaper_4|Execution|Teloitus|Execução|Исполнение|處刑|実行|실행|Ausführung|Exécution|Ejecución|Egzekucja
spell_uber_reaper_5|Shadow Lantern|Varjolyhty|Lanterna das Sombras|Теневой Фонарь|暗影燈籠|影のランタン|그림자 랜턴|Schatten Laterne|Lanterne d'ombre|Linterna sombría|Cienista Latarnia
spell_treasure_goblin_0|Vorpal Escape|Hätäpako|Fuga Vorpal|Побег Ворпала|倉促逃生|性急なエスケープ|성급한 탈출|Hastige Flucht|Fuite hâtive|Escape vorpal|Vorpalowa Ucieczka
spell_satan_0|Spawn Minions|Kätyreiden Kutsu|Convocar Lacaios|Порождать Миньонов|召喚僕從|召喚手下|소환 부하|Beschwörung Günstlinge|Invocation de minions|Generar esbirros|Przyzwanie Minionów
spell_satan_1|Lava Storm|Laavamyrsky|Tempestade de Lava|Лавовый Шторм|熔岩風暴|溶岩の嵐|용암 폭풍|Lava Sturm|Tempête de lave|Tormenta de lava|Burza Lawy
spell_satan_2|Wall of Agony|Tuskan muuri|Parede de Agonia|Стена Агонии|痛苦之牆|苦悶の壁|고통의 벽|Mauer der Qual|Mur d'agonie|Muro de agonía|Ściana Agonii
spell_gurag_0|Earthen Fury|Maan Raivo|Fúria Terrestre|Земная Ярость|大地之怒|土の怒り|흙 분노|Irdene Wut|Fureur terrestre|Furia terrenal|Ziemska Furia
spell_gurag_1|Avalanche|Lumivyöry|Avalanche|Лавина|崩落|雪崩|눈사태|Lawine|Avalanche|Avalancha |Lawina
spell_gurag_2|Totems|Toteemit|Totens|Тотемы|圖騰|トーテム|토템|Totems|Totems|Tótems|Totemy
spell_gurag_3|Grow|Kasvu|Crescer|Расти|生長|育ちます|성장|Wachsen|Croissance|Crecer|Wzrost
spell_reaper_01|Death Coil|Kuolemankäämi|Bobina da Morte |Лик Смерти |死亡纏繞 |デスコイル |데스 코일 |Todesspirale|Bobine de la mort |Espiral de Muerte|Spirala Śmierci
spell_reaper_02|Soul Eruption|Sielunpurkaus|Erupção da Alma|Извержение души|靈魂爆發|魂の噴火|영혼의 분화|Seele Eruption|Éruption de l'âme|Erupción del Alma|Erupcja Dusz
spell_reaper_03|Soul Pillar|Sielunpilari|Pilar da Alma|Столп души |靈魂之柱|魂の柱|소울 필러|Seelensäule|Pilier de l'Âme|Pilar del Alma|Filar Dusz
spell_horrorBranch_0|Conjured Forest|Loihtima metsä|Floresta Conjurada|Заколдованный лес|召唤森林|召喚された森|영혼의 기둥|Beschworener Wald|Forêt invoquée|Bosque Conjurado|Przyzwany Las
spell_horrorBranch_1|Living Forest|Elävä metsä|Floresta Viva|Живой лес|生命森林|生きている森|환상의 숲|Lebendiger Wald|Forêt vivante|Bosque Viviente|Żywy Las
spell_horrorBranch_2|Trunkade|Runko|Tronco|Транкейд|樹幹|トランクエイド|살아있는 숲|Trunkade|Tronc|Tronconazo|Trunkade
spell_horrorBranch_3|Crackling|Rätinää|Crepitante |Трескучий |劈啪聲 |パチパチ音 |트렁케이드|Knistern|Crâpeux |Crepitante|Trzaskanie
spell_jadeStoneGazer_0|Jadestone Roots|Jadekivijuuret|Raízes de Jade|Корни из Нефритового камня|玉石根蔓|ジェイドストーンの根|딱딱거리는 소리 |Jadesteinwurzeln|Racines de Jadestone|Raíces de Jade|Korzenie Jadestone
spell_jadeStoneGazer_1|Stone Guards|Kivivartijat|Guardas de Pedra|Каменные Стражи|石像守衛|石の守護者たち|스톤 가드|Steinwächter|Gardes de Pierre|Guardias de Piedra|Kamienne Straże
spell_jadeStoneGazer_2|Deadly Gaze|Tappava katse|Olhar Mortal|Смертоносный Взгляд|致命凝視|死の視線|데들리 게이즈|Tödlicher Blick|Regard Mortel|Mirada Mortal|Śmiertelne Spojrzenie
spell_puppetQueen_0|Rain of Judgement|Tuomion sade|Chuva do Julgamento|Дождь Суда|審判之雨|裁きの雨|레인 오브 저지먼트|Regen des Gerichts|Pluie du Jugement|Lluvia del Juicio|Deszcz Sądu
spell_puppetQueen_1|Time of Reckoning|Tilanneajan aika|Hora do Acerto de Contas|Время Расплаты|清算時刻|清算の時|타임 오브 레커닝|Zeit der Abrechnung|Heure du Jugement|Hora del Juicio Final|Czas Rozliczenia
spell_puppetQueen_2|Showtime|Näytöhetki|Hora do Show|Время Шоу|開演時間|ショータイム|쇼타임|Showtime|Spectacle|Hora del Espectáculo|Showtime
spell_redBeard_0|Anchor Strike|Ankkurin isku|Ataque da Âncora|Удар Якоря|錨擊|アンカーストライク|앵커 스트라이크|Ankerschlag|Frappe d'Ancre|Golpe de Ancla|Uderzenie Kotwicą
spell_redBeard_1|Bomb Barrage|Pommitulessa|Barragem de Bombas|Бомбовый шквал|炸彈彈幕|爆弾の一斉射撃|봄 바레이지|Bombenhagel|Barrage de Bombes|Andanada de Bombas|Salwa Bomb
spell_redBeard_2|Shiver Me Timbers|Väristävät puut|Me Trema de Madeira|Трещины, дрожь|顫慄之木|シバーミーティンバーズ|쉬버 미 팀버스|Zitternder Balken|Shiver Me Timbers|Mil Rayos|Drżące Deski
gabriel_spell_01|Gabriel’s Shadow|Gabrielin varjo|Sombra de Gabriel|Тень Габриэля|加百列之影（被命中後降低100%所有抗性）|ガブリエルの影|가브리엘 섀도우|Gabriels Schatten|Ombre de Gabriel|Sombra de Gabriel|Cień Gabriela
gabriel_spell_02|Defile|Saastuminen|Profanar|Осквернение|褻瀆（黑圈，玩家身上出現5秒倒數計時，被命中後降低100%生命回覆）|汚辱|디파일|Schändung|Profanation|Profanar|Profanacja
gabriel_spell_03|Fallen Heretic|Langennut harhaoppinen|Herege Caído|Падший Еретик|墮落異端|堕ちた異端者|폴른 헤레틱|Gefallener Ketzer|Hérétique Déchu|Hereje Caído|Upadły Heretyk
gabriel_spell_04|Annihilation|Tuho|Aniquilação|Уничтожение|湮滅（死亡之指，鎖定技，可躲在BOSS房內兩根柱子後面抵擋）|殲滅|어나힐레이션|Vernichtung|Annihilation|Aniquilación|Anihilacja
gabriel_spell_05|Leap Strike||Golpe Saltado |Удар в прыжке|躍擊 |リープストライク |도약 강타|Sprungangriff |Frappe bondissante |Embestida Aérea|Skokowy atak 
uberLuna_spell_01|Crystal Ball|Kristallipallo|Bola de Cristal|Хрустальный Шар|水晶球（技能落地後朝8個方向擴散水晶球）|水晶玉|크리스탈 볼|Kristallkugel|Boule de Cristal|Bola de Cristal|Kryształowa Kula
uberLuna_spell_02|Black Hole|Musta aukko|Buraco Negro|Черная Дыра|黑洞（小範圍傷害）|ブラックホール|블랙 홀|Schwarzes Loch|Trou Noir|Agujero Negro|Czarna Dziura
uberLuna_spell_03|Starstruck|Tähtien isku|Atordoado pelas Estrelas|Звездный Порыв|星光閃耀（被命中后降低150%所有抗性）|スターストラック|스타스트럭|Sternenbegeistert|Éclat d'Étoiles|Deslumbrado por Estrellas|Oszołomiony Gwiazdami
uberLuna_spell_04|Cosmic Winds|Kosmiset tuulet|Ventos Cósmicos|Космические Ветры|宇宙之風|宇宙の風|코스믹 윈즈|Kosmische Winde|Vents Cosmiques|Vientos Cósmicos|Kosmiczne Wiatry
uberLuna_spell_05|Starshower|Tähtisuihku|Chuva de Estrelas|Звездный Поток|星雨（被命中后降低150%所有抗性）|星の雨|스타쇼워|Sternenschauer|Pluie d'Étoiles|Lluvia de Estrellas|Deszcz Gwiazd
uberAnubis_spell_01|Crushing Meteor|Murskaava meteori|Meteoro Esmagador|Сокрушительный Метеор|粉碎流星|激突の流星|크러싱 미티어|Zerschmetternder Meteor|Météore Écrasant|Meteoro Aplastante| miażdżący Meteor
uberAnubis_spell_02|Decaying Wall|Rappeutuva muuri|Parede Decadente|Разлагающаяся Стена|腐爛之牆|崩れゆく壁|디케이잉 월|Verfallende Mauer|Mur en Décomposition|Muro en Descomposición|Rozkładająca Się Ściana
uberAnubis_spell_03|Corrupted Sarkofagi|Turmeltunut sarkofagi|Sarkofagi Corrompido|Оскверненный Саркофаг|腐化石棺|堕落したサルコファガイ|커럽티드 사르코파기|Verderbter Sarkophag|Sarkofagi Corrompu|Sarcófagos Corruptos|Skażone Sarkofagi
uberAnubis_spell_04|Amun Ra´s Curse|Amun Ran kirous|Maldição de Amon Ra|Проклятие Амуна Ра|阿蒙拉的詛咒|アムン・ラーの呪い|아문 라의 저주|Amun Ras Fluch|Malédiction d'Amon Rê|Maldición de Amun Ra|Klątwa Amun Ra
