[Video]|[en]|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
loot_filter_preset_hell_midgame|Intended for Hell 3-5, you are climbing through the Incarnation Tree, and at this point will have fully equipped B+ tier Satanics or S tier Mythics. You are looking for very specific Runeword bases to craft on.|Tarkoitettu Hell 3-5:lle, kiipeät Inkarnaatiopuun läpi, ja tässä vaiheessa sinulla on täysin varustettu B+-tason Satanics tai S-tason mythics. Etsit erittäin erityisiä Runeword-pohjaisia ​​​​käsityksiä varten.|Destinado para o Inferno 3-5, você está subindo na Árvore da Incarnação, e neste ponto vai estar completamente equipado com satânicos de tier B+ ou Míticos de tier S. Você está procurando por bases de Runeword bem específicas para criar.| Предназначен для ада 3-5|適用於地獄3-5，你正在配置化身之樹，此時你將裝備滿B+等級的撒旦物品或S級的神話物品。你正在尋找非常特定的符文之語基底來製作。|地獄3-5を目指すためのもので、インカーネーションツリーを登っており、この時点でB+ランクのサタニックアイテムまたはSランクのミシックアイテムを完全に装備しています。非常に特定のルーンワードのベースを探して作成しています。|헬 3-5를 목표로 합니다. 지금은 화신 트리(영웅레벨)를 올라가고 있으며, 이 시점에서 B+ 티어의 사탄 또는 S 티어의 미틱 아이템을 모두 장착하고 있습니다. 매우 특정한 룬워드 베이스를 찾아 소켓을 제작하려고 합니다.|Gedacht für die Hölle 3-5, du kletterst durch den Inkarnationbaum und hast zu diesem Zeitpunkt vollständig mit B+-Satanischen oder S-Mythischen Gegenständen ausgestattet. Du suchst nach sehr spezifischen Runenwort-Basen, um sie herzustellen.|Destiné à l'Enfer 3-5, vous grimpez dans l'Arbre de l'Incarnation et à ce stade, vous aurez entièrement équipé des objets sataniques de niveau B+ ou mythiques de niveau S. Vous cherchez des bases de mots runiques très spécifiques à fabriquer.
loot_filter_preset_hell_endgame|Intended for Hell 5+ speedfarming. At this point you are only looking for the very best Runeword bases, you also only care about A+ Satanics. You will have full charm slots, and are looking for very specific S tier charms.|Tarkoitettu Hell 5+ speedfarmingiin. Tässä vaiheessa etsit vain parhaita Runeword-pohjia, välität myös vain A+ Satanicsista. Sinulla on täysi hurmauspaikka ja etsit hyvin erityisiä S-tason hurmaa.|Destinado para limpeza rápida do Inferno 5+. Neste ponto, você está procurando apenas pelas melhores bases de Runeword, e você também só liga pra Satânicos de tier A+. Você vai ter todos os espaços de talismã, e está procurando por talismãs de tier S específicos.| Предназначен для скоростного фарма уровня Hell 5+. На этом этапе вы ищете только самые лучшие базы рунных слов|適用於地獄5+的快速刷怪。在這個階段，你只尋找最好的符文之語基底，你也只關心A+等級的撒旦物品。你將填滿所有護符槽，並尋找非常特定的S級護符。|地獄5+のスピードファーミングを目的としています。この時点で、最良のルーンワードのベースのみを探しており、A+ランクのサタニックアイテムのみを気にしています。チャームスロットを完全に埋めており、非常に特定のSランクのチャームを探しています。|지옥 5+ 스피드 파밍을 위한 것입니다. 이 시점에서 최고의 룬워드 베이스만을 찾고 있으며, A+ 등급의 사탄 아이템에만 관심이 있습니다. 모든 참 슬롯을 채웠고, 매우 특정한 S 등급 참을 찾고 있습니다. |Gedacht für schnelles Farmen in der Hölle 5+. Zu diesem Zeitpunkt suchst du nur nach den besten Runenwort-Basen und interessierst dich nur für A+-Satanische Gegenstände. Du wirst alle Charmslots füllen und suchst nach sehr spezifischen S-Tier-Charms.|Destiné au speedfarming de l'Enfer 5+. À ce stade, vous ne cherchez que les meilleures bases de mots runiques, vous ne vous souciez que des objets sataniques de niveau A+. Vous aurez tous les emplacements de charmes remplis et cherchez des charmes de niveau S très spécifiques.
loot_filter_preset_hell_endgame_norw|Intended for Hell 5+ speedfarming. You are only looking for A+ tier Satanics and are skipping Runewords.|Tarkoitettu Hell 5+ speedfarmingiin. Etsit vain A+-tason satanismia ja ohitat runewords.|Destinado para limpeza rápida do Inferno 5+. Você está apenas procurando por Satânicos de tier A+ e está pulando runewords.| Предназначено для скоростного фарма уровня Hell 5+. Вы ищете только сатанистов уровня A+ и пропускаете рунные слова.|適用於地獄5+的快速刷怪。你只尋找A+等級的撒旦物品，並且跳過符文之語。|地獄5+のスピードファーミングを目的としています。A+ランクのサタニックアイテムのみを探しており、ルーンワードをスキップしています。|지옥 5+ 스피드 파밍을 위한 것입니다. A+ 등급의 사탄 아이템만을 찾고 있으며 룬워드는 건너뜁니다. |Gedacht für schnelles Farmen in der Hölle 5+. Du suchst nur nach A+-Satanischen Gegenständen und überspringst Runenwörter.|Destiné au speedfarming de l'Enfer 5+. Vous ne cherchez que des objets sataniques de niveau A+ et sautez les mots runiques.
loot_filter_preset_normal|Intended for playing through the campaign on Normal difficulty. Low tier white items and non Runeword bases, such as Rings and Belts are disabled, everything else is enabled encouraging you to pick up items on the ground as you level.|Tarkoitettu kampanjan pelaamiseen normaalilla vaikeusasteella. Matalan tason valkoiset esineet ja muut kuin Runeword-pohjat, kuten sormukset ja vyöt, on poistettu käytöstä. Kaikki muu on käytössä, mikä rohkaisee sinua poimimaan esineitä maasta tasoitessasi.|Destinado para jogar pela campanha na dificuldade Normal. Itens brancos de tier baixo e não-bases de runeword, como anéis e cintos são desativados, todo o resto é ativado te encorajando a pegar itens no chão enquanto passa de nível.| Предназначен для прохождения кампании на уровне сложности Normal. Белые предметы низкого уровня и базы без рунных слов.|適用於在普通難度下進行戰役。低級白色物品和非符文之語基底，如戒指和腰帶被禁用，其他所有物品啟用，鼓勵你在升級時撿起地上的物品。|ノーマル難易度でキャンペーンをプレイするためのものです。低レベルの白いアイテムやルーンワードのベースでないもの（例：リングやベルト）は無効にされており、他のすべてのアイテムは有効にされているため、レベルアップ時に地面のアイテムを拾うことが奨励されています。|일반 난이도로 캠페인을 진행하기 위한 것입니다. 저등급 흰색 아이템과 룬워드 베이스가 아닌 아이템(예: 반지 및 벨트)은 비활성화되고, 다른 모든 것은 활성화되어 레벨업하면서 아이템을 줍는 것을 권장합니다.|Gedacht für das Spielen der Kampagne auf normaler Schwierigkeit. Niedrigstufige weiße Gegenstände und keine Runenwort-Basen wie Ringe und Gürtel sind deaktiviert, alles andere ist aktiviert, was dich ermutigt, Gegenstände auf dem Boden aufzuheben, während du levelst.|Destiné à jouer à la campagne en difficulté Normale. Les objets blancs de bas niveau et les bases non runiques, comme les anneaux et les ceintures, sont désactivés, tout le reste est activé, vous encourageant à ramasser des objets au sol pendant que vous montez en niveau.
loot_filter_title_nightmare|Nightmare|Painajainen|Pesadelo| Кошмар|惡夢|ナイトメア |나이트메어|Albtraum |Cauchemar 
loot_filter_title_hell_early|Early Hell|Varhainen helvetti|Começo no Inferno| Ранний Ад|早期地獄|初期の地獄 |초기 헬|Frühe Hölle |Enfer Débutant 
loot_filter_title_hell_midgame|Midgame Hell|Keskipelin helvetti|Meio de Jogo no Inferno| Ад в середине игры|中期地獄|中期の地獄 |중기 헬|Mittlere Hölle |Enfer Intermédiaire 
loot_filter_title_hell_endgame|Endgame Hell|Loppupelin helvetti|Fim de Jogo no Inferno| Ад в конце игры|後期地獄|後期の地獄 |후기 헬|Endspielhölle |Enfer Final 
loot_filter_title_hell_endgame_norw|Endgame Hell, no RW|Endgame Hell, ei RW|Fim de Jogo no Inferno, sem RW| Ад в конце игры|後期地獄，無符文之語|後期の地獄、ルーンワードなし |후기 헬, 룬워드 없음|Endspielhölle, keine Runenwörter |Enfer Final, sans Mots Runiques 
loot_filter_title_normal|Normal|Normaali |Normal| Нормальный|普通|ノーマル |노멀|Normal |Normal 
|||||||||||
highlight_filter_physical_attacker|Physical Attacker|Fyysinen hyökkääjä|Atacante Físico | Физический атакующий|物理攻擊者|物理アタッカー |물리 어태커|Physischer Angreifer |Attaquant Physique 
highlight_filter_arcane_attacker|Arcane Attacker|Arkaaninen hyökkääjä|Atacante Arcano | Аркан атакующий|奧術攻擊者|アーケインアタッカー |아케인 어태커|Arkaner Angreifer |Attaquant Arcanique 
highlight_filter_poison_attacker|Poison Attacker|Myrkkyhyökkääjä|Atacante de Veneno | Ядовитый атакующий|毒素攻擊者|毒アタッカー |독 어태커|Giftangreifer |Attaquant Toxique 
highlight_filter_lightning_attacker|Lightning Attacker|Salaman hyökkääjä|Atacante de Relâmpago | Молниевый атакующий|閃電攻擊者|雷アタッカー |번개 어태커|Blitzangreifer |Attaquant Éclair 
highlight_filter_cold_attacker|Cold Attacker|Kylmä hyökkääjä|Atacante de Gelo | Холодный атакующий|冰霜攻擊者|冷気アタッカー |냉기 어태커|Kälteangreifer |Attaquant Glacial 
highlight_filter_fire_attacker|Fire Attacker|Palon hyökkääjä|Atacante de Fogo | Огненный атакующий|火焰攻擊者|火炎アタッカー |화염 어태커|Feuerangreifer |Attaquant de Feu 
highlight_filter_physical_caster|Physical Caster|Fyysinen pyörä|Conjurador Físico | Физический заклинатель|物理施法者|物理キャスター |물리 캐스터|Physischer Zauberer |Lanceur Physique 
highlight_filter_arcane_caster|Arcane Caster|Arkaaninen Caster|Conjurador Arcano | Аркан заклинатель|奧術施法者|アーケインキャスター |비전 캐스터|Arkaner Zauberer |Lanceur Arcanique 
highlight_filter_poison_caster|Poison Caster|Poison Caster|Conjurador de Veneno | Ядовитый заклинатель|毒性施法者|毒キャスター |독 캐스터|Giftzauberer |Lanceur Toxique 
highlight_filter_lightning_caster|Lightning Caster|Lightning Caster|Conjurador de Relâmpago | Молниевый заклинатель|閃電施法者|雷キャスター |번개 캐스터|Blitzzauberer |Lanceur d'Éclair 
highlight_filter_cold_caster|Cold Caster|Kylmä Caster|Conjurador de Gelo | Холодный заклинатель|冰霜施法者|冷気キャスター |냉기 캐스터|Kältezauberer |Lanceur Glacial 
highlight_filter_fire_caster|Fire Caster|Tuli Caster|Conjurador de Fogo | Огненный заклинатель|火焰施法者|火炎キャスター |화염 캐스터|Feuerzauberer |Lanceur de Feu 
highlight_filter_life_stacker|Life Stacker|Life Stacker|Acumulador de Vida | Лайфстакер|生命堆疊者|生命スタッカー |생명 스태커|Lebensstapler |Accumulateur de Vie 
highlight_filter_mana_stacker|Mana Stacker|Mana Stacker|Acumulador de Mana | Манастакер|魔法堆疊者|マナスタッカー |마나 스태커|Manastapler |Accumulateur de Mana 
highlight_filter_damage_return|Damage Return|Vahingon palautus |Retorno de Dano | Возврат урона|傷害反彈|ダメージリターン |피해 반환|Schadensrückgabe |Renvoi de Dégâts 
|||||||||||
[Context Menu]|||||||||||
context_inventory|Inventory||Inventário|Инвентарь|背包|インベントリ|인벤토리|Inventar|Inventaire|Inventario|Spis 
context_talents|Attributes & Skills||Atributos e Habilidades|Атрибуты и навыки|屬性與技能|属性とスキル|속성 및 스킬|Attribute & Fertigkeiten|Attributs et compétences|Atributos y habilidades|Atrybuty i umiejętności
context_townportal|Town Portal||Portal da Cidade|Городской портал|城鎮傳送門|タウンポータル|마을 포털|Stadtportal|Portail de la ville|Portal de la ciudad|Portal do miasta
context_lootfilter|Loot Filter||Filtro de Saque|Фильтр добычи|戰利品篩選器|戦利品フィルター|전리품 필터|Beutefilter|Filtre de butin|Filtro de botín|Filtr łupów
context_chat|Chat||Chat|Чат|聊天|チャット|채팅|Chat|Chat|Chat|Czat
context_playerlist|Player List||Lista de Jogadores|Список игроков|玩家列表|プレイヤーリスト|플레이어 목록|Spielerliste|Liste des joueurs|Lista de jugadores|Lista graczy
context_customize|Character Customization||Personalização de Personagem|Настройка персонажа|角色自定義|キャラクターカスタマイズ|캐릭터 꾸미기|Charakteranpassung|Personnalisation du personnage|Personalización de personajes|Personalizacja postaci
context_shop|Shop||Loja|Магазин|商店|ショップ|상점|Shop|Boutique|Tienda|Sklep
context_inventory_loadout|Inventory Loadout||Configuração de Inventário|Набор снаряжения в инвентаре|背包裝備配置|インベントリ装備一覧|인벤토리 장비 구성|Inventar-Ausrüstung|Équipement|Equipamiento del inventario|Zestaw ekwipunku
context_skill_loadout|Skill Loadout||Configuração de Habilidades|Набор навыков|技能配置|スキル装備一覧|스킬 장비 구성|Fähigkeiten-Ausrüstung|Équipement des compétences|Equipamiento de habilidades|Zestaw umiejętności
context_journal|Journal||Diário|Журнал|日誌|ジャーナル|일지|Tagebuch|Journal |Diario|Dziennik 
context_emote|Emote Menu||Menu de Emotes |Меню эмоций |表情選單 |エモートメニュー |감정 표현 메뉴 |Emote-Menü|Menu d'émoticônes |Menú de gestos |Menu emotek 
|||||||||||
input_select|Select||Selecionar|Выбрать|選擇|選択|선택|Auswählen|Sélectionner|Seleccionar|Wybierz
input_remove|Remove||Remover|Удалить|消除|削除|제거|Entfernen|Supprimer|Eliminar|Usuń
input_zoom|Zoom||Zoom|Масштабировать|縮放路徑|ズーム|확대/축소|Zoomen|Zoom|Zoom|Powiększ
input_path|Path||Caminho |Путь |路徑 |パス |경로 |Pfad|Chemin |Ruta |Ścieżka 
|||||||||||
context_maximum_range|Max Range||Alcance máximo|Максимальная дальность|最大攻擊範圍|最大射程|최대 범위|Maximale Reichweite|Portée maximale|Alcance máximo|Maksymalny zasięg
context_minimum_range|Min Range||Alcance mínimo|Минимальная дальность|最小攻擊範圍|最小射程|최소 범위|Minimale Reichweite|Portée minimale|Alcance mínimo|Minimalny zasięg 
context_range_explanation|Adjust your characters action range with your Right Thumbstick||Ajuste o alcance de ação do seu personagem com o analógico direito. |Регулируйте дальность действия вашего персонажа с помощью правого стика |使用右搖桿調整角色的行動範圍。 |右スティックでキャラクターのアクション範囲を調整してください |오른쪽 엄지 스틱으로 캐릭터의 동작 범위를 조정하세요. |Passe die Aktionsreichweite deiner Spielfigur mit dem rechten Analogstick an.|Ajustez la portée d'action de votre personnage avec le joystick droit. |Ajusta el rango de acción de tu personaje con el joystick derecho. |Dostosuj zakres akcji swojej postaci za pomocą prawego drążka analogowego 
context_meter_explanation|Move the DPS Meter around with your Right Thumbstick||||用右搖桿移動DPS計量條||||||
context_meter_boss_explanation|Move the Boss Cooldown Meter around with your Right Thumbstick||||用右搖桿移動Boss冷卻時間條。||||||
context_range|Adjust Action Range||||調整動作範圍||||||
context_meter|Move DPS Meter||||移動DPS計量器||||||
context_meter_boss|Move Boss Cooldown Meter||||移動Boss冷卻時間條||||||
context_meter_boss_resize|Resize the box with your Right Thumbstick||||使用右搖桿調整框的大小||||||
context_inspect_buffs|Inspect Active Buffs||||檢查生效的增益效果||||||
