[quest]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
[TUTORIAL]|||||||||||
quest_name_1|Skills and Stats||Habilidades e Atributos| Навыки и статистика|技能和屬性|スキルとステータス|스킬과 능력치||
quest_objective_1250_1|Dimensional Shards collected||Fragmentos Dimensionais coletados|Пространственные осколки собраны|收集的次元碎片|次元の破片を集めた|차원 파편 수집|Dimensionssplitter gesammelt|Éclats dimensionnels collectés|
quest_objective_1250_2|Shadow Reaper slain||Ceifador das Sombras morto|Shadow Reaper убит|殺死闇影收割者|シャドウ・リーパーを倒した|섀도우 리퍼 처치|Schattenschnitter getötet|Faucheur d'Ombre tué|
quest_name_1251|WANTED: Sung Lee||PROCURA-SE: Sung Lee|РАЗЫСКИВАЕТСЯ: Sung Lee|通緝：李宋|指名手配：ソン・リー|현상 수배: 성 리|GESUCHT: Sung Lee|RECHERCHÉ : Sung Lee|
quest_description_1251|Collect battle fragments around the eternal battle field portal, once you have obtained enough enter the portal and kill sung lee.||Colete fragmentos de batalha ao redor do portal do campo de batalha eterno. Assim que tiver o suficiente, entre no portal e mate Sung Lee.|Соберите фрагменты битвы вокруг портала вечного поля битвы, как только вы соберете достаточно, войдите в портал и убейте Sung Lee.|收集永恆戰場傳送門周圍的戰鬥碎片，收集到足夠的碎片後，進入傳送門並殺死李宋。|永遠の戦場ポータル周辺で戦闘の破片を集め、十分な量を集めたらポータルに入り、ソン・リーを倒せ。|영원한 전장 차원문 주변에서 전투 파편을 모으세요. 충분한 파편을 모으면 차원문으로 들어가 섀도우 리퍼를 처치하세요.|Sammelt Kampffragmente rund um das Portal des ewigen Schlachtfelds. Sobald ihr genug habt, betretet das Portal und tötet Sung Lee.|Récupérez des fragments de combat autour du portail du champ de bataille éternel. Une fois que vous en avez obtenu suffisamment, entrez dans le portail et tuez Sung Lee.|
quest_objective_1251_1|Battle Fragments collected||Fragmentos de Batalha coletados|Фрагменты битвы собраны|收集到的戰鬥碎片|戦闘の破片を集めた|전투 파편 수집|Kampffragmente gesammelt|Fragments de combat collectés|
quest_objective_1251_2|Sung Lee slain||Sung Lee morto|Sung Lee убит|殺死李宋|ソン・リーを倒した|성 리 처치|Sung Lee getötet|Sung Lee tué|
quest_name_1252|WANTED: Chaos Tower||PROCURA-SE: Torre do Caos|РАЗЫСКИВАЕТСЯ: Chaos Tower|通緝：混沌之塔|指名手配：カオスタワー|현상 수배: 카오스 타워|GESUCHT: Chaosturm|RECHERCHÉ : Tour du Chaos|
quest_description_1252|Enter a chaos tower and purge its floors from the undead.||Entre em uma torre do caos e purgue seus andares dos mortos-vivos.|Войдите в башню хаоса и очистите ее этажи от нежити.|進入混沌之塔，清除各樓層的亡靈。|カオスタワーに入り、各階からアンデッドを一掃せよ。|카오스 타워에 들어가 바닥에 있는 언데드를 제거하세요.|Betretet einen Chaosturm und befreit seine Stockwerke von Untoten.|Entrez dans une tour du Chaos et purgez ses étages des morts-vivants.|
quest_objective_1252_1|Chaos Tower floors cleared||Andares da Torre do Caos limpos|Этажи Chaos Tower очищены|已清理的混沌之塔|カオスタワーの各階を制圧した|카오스 타워 바닥 청소|Stockwerke des Chaosturms geräumt|Étages de la tour du Chaos nettoyés|
quest_name_1253|WANTED: Damien||PROCURA-SE: Damien|РАЗЫСКИВАЕТСЯ: Damien|通緝：達米安|指名手配：ダミアン|현상 수배: 데미안|GESUCHT: Damien|RECHERCHÉ : Damien|
quest_description_1253|Collect the parts from Gurag, Grim Reaper, Anubis, Damien, Karp King and Satan. After collecting the parts, craft a key of terror and speak to um in order to open a portal to fallen inoya and slay damien!||Colete as partes de Gurag, Ceifador, Anúbis, Damien, Rei Karp e Satã. Após coletar as partes, crie uma chave do terror e fale com Um para abrir um portal para Inoya caído e matar Damien!|Соберите детали Gurag, Grim Reaper, Anubis, Damien, Karp King и Satan. Собрав детали, создайте ключ ужаса и поговорите с um, чтобы открыть портал к падшей Инойе и убить Damien!|收集古拉格、死神、阿努比斯、達米安、卡普國王和撒旦的部位。收集部位後，製作一把恐怖之鑰，與「um」對話，打開通往陷落的伊諾亞的傳送門，殺死達米安！|グラグ、グリム・リーパー、アヌビス、ダミアン、カープ・キング、サタンのパーツを集めろ。パーツを集めたら恐怖の鍵を作り、ウムに話しかけて堕落したイノヤへのポータルを開き、ダミアンを倒せ！|구라그, 그림 리퍼, 아누비스, 데미안, 카프 킹, 사탄에게서 부품을 수집하세요. 부품을 모은 후, 공포의 열쇠를 제작하고 움과 대화하여 몰락한 이노야로 통하는 차원문을 열고 데미안을 처치하세요!|Sammelt die Teile von Gurag, Sensenmann, Anubis, Damien, Karp King und Satan. Nachdem ihr die Teile gesammelt habt, fertigt einen Schlüssel des Schreckens und sprecht mit Um, um ein Portal zu dem gefallenen Inoya zu öffnen und Damien zu töten!|Récupérez les pièces auprès de Gurag, Faucheur, Anubis, Damien, Roi Karp et Satan. Après avoir récupéré les pièces, fabriquez une clé de terreur et parlez à um afin d'ouvrir un portail vers Inoya déchu et de tuer Damien !|
quest_objective_1253_1|Key of Terror obtained||Chave do Terror obtida|Ключ Ужаса получен|獲得恐怖之鑰|恐怖の鍵を入手|공포의 열쇠 획득|Schlüssel des Schreckens erhalten|Clé de terreur obtenue|
quest_objective_1253_2|Damien slain||Damien morto|Дэмиен убит|殺死達米安|ダミアンを倒す|데미안 처치|Damien getötet|Damien tué|
quest_name_1254|Codex of Eternity||Códice da Eternidade|Кодекс Вечности|永恆法典|永遠のコーデックス|영원의 고서|Kodex der Ewigkeit|Codex d'Éternité|
quest_description_1254|Find a codex of eternity, enter its zone and clear it.||Use o códice da eternidade, entre na zona e limpe-a.|Используйте кодекс Вечности, войдите в его зону и очистите ее.|找到永恆法典，進入其區域並清除它。|永遠のコーデックスを使用し、ゾーンに入りクリアする。|영원의 고서를 사용하여 해당 구역에 진입하고 클리어하세요.|Benutzt den Kodex der Ewigkeit, betretet seine Zone und säubert sie. Kodex der Ewigkeit verwendet|Utilisez le codex d'Éternité, entrez dans sa zone et nettoyez-la.|
quest_objective_1254_1|Codex of Eternity used||Códice da Eternidade usado|Кодекс Вечности использован|使用永恆法典|永遠のコーデックスを使用|영원의 고서 사용|Kodex-Zone geräumt |Codex de l'Éternité utilisé|
quest_objective_1254_2|Codex Zone cleared||Zona do códice limpa |Зона Кодекса очищена |清除永恆法典區域 |コーデックスゾーンをクリア |코덱스 구역 클리어 ||Zone du Codex nettoyée |
|||||||||||
[MAIN INFERNO]|||||||||||
quest_name_1301|The Fall of Darkness||| Падение Тьмы|隕落黑暗|闇の没落|어둠의 몰락||
quest_description_1301|Slay Gabriel in the Circle of Hatred and Amun-Ra within the Tomb of Amun-Ra||| Убейте Гавриила в Круге Ненависти и Амона-Ра в Гробнице Амона-Ра.|殺死仇恨之環中的加百列以及阿蒙拉之墓中的阿蒙拉|憎悪の環にいるガブリエルと、アムン＝ラーの墓で彼を討伐せよ。|증오의 원에서 가브리엘을 처치하고, 아문 라의 무덤에서 아문 라를 처치하십시오||
quest_objective_1301_1|Gabriel Slain||| Габриэль Слейн|擊殺加百列|ガブリエル 討伐|가브리엘 처치||
quest_objective_1301_2|Amun-Ra Slain||| Амон-Ра убит|擊殺阿蒙拉|アムン＝ラー 討伐|아문 라 처치||
quest_name_1302|The Light of Dawn||| Свет зари|黎明之光|暁の光|새벽의 빛||
quest_description_1302|Purge Tarethiel of evil for good..||| Очисти Таретиэль от зла навсегда.|淨化塔雷希爾 ，使之成為善良…|タレシエルの地から悪を完全に浄化せよ。|타레시엘의 악을 완전히 정화하십시오.||
quest_objective_1302_1|Gurag slain||Livre uma Torre do Caos| Очистите Башню Хаоса|擊殺古拉格|グラーグ撃破|구라그 처치|Räume einen Chaosturm.|Débarrassez-vous d'une Tour du Chaos|
quest_objective_1302_2|Grim Reaper slain||Livre um portal do Campo de Batalha Eterno| Очистите портал Вечного поля битвы|擊殺死神|グリムリーパー撃破|그림 리퍼 처치|Räume ein Portal zum Ewigen Schlachtfeld.|Débarrassez-vous d'un portail du Champ de Bataille Éternel|
quest_objective_1302_3|Anubis slain||Mate Monstros Ancestrais| Уничтожьте древних монстров|擊殺阿努比斯|アヌビス撃破|아누비스 처치|Töte uralte Monster.|Tuez des Monstres Anciens|
quest_objective_1302_4|Damien slain||Mate Mevius | Убей Мевиуса|擊殺達米安 |ダミアン撃破|데미언 처치|Töte Mevius. |Tuez Mevius |
quest_objective_1302_5|Karp King slain||||擊殺卡普國王||뫼비우스 처치|||
quest_objective_1302_6|Satan slain||||擊殺撒旦||||
quest_objective_1302_7|Mevius slain||||擊殺梅維烏斯||||
quest_objective_1302_8|Odin slain|||Один убит|擊敗奧丁||오딘 처치|||Odín derrotado|
quest_objective_1302_9|Cthulhu slain|||Ктулху убит|擊敗克蘇魯||크툴루 처치|||Cthulhu derrotado|
|||||||||||
|||||||||||
[Community Quests]||||||||||||
community_quest_header|Community Quest||Missão da Comunidade| Общественный квест|社區任務|コミュニティクエスト|커뮤니티 퀘스트||
community_quest_title_1|Call to Arms||Chamado às Forças Armadas| Призыв к оружию|拿起武器|英雄たちへの招集|무장 집결||
community_quest_desc_1|I, Mayor Kukkonen, hereby issue a request for the heroes of Tarethiel. Purge the lands of the monsters! The massive infestation of dark creatures roaming our lands has gone on long enough. To ensure that these creatures will not overrun us in the future we have to act now! Obliterate as many as you can by next Friday.||Eu, prefeito Kukkonen, faço um pedido aos heróis de Tarethiel. Expurguem as terras dos monstros! A infestação maciça de criaturas das trevas que vagam por nossas terras já durou tempo suficiente. Para garantir que essas criaturas não nos inundem no futuro, precisamos agir agora! Obliterem o máximo que puderem até a próxima sexta-feira.| я|我，Mayor Kukkonen，在此向塔雷希爾的英雄們發出請求。[nl]清除這片土地上的怪物！我們土地上大規模的黑暗生物侵襲已經持續了足夠長的時間。[nl]為了確保這些生物將來不會氾濫成災，我們必須現在就採取行動！[nl]在下週五之前，盡可能消滅它們。|私はタレシエル市長クッコネンとして、全英雄に呼びかけます！我々の土地を荒らす怪物どもを一掃せよ！これ以上好き勝手にさせるわけにはいかん！来週の金曜日までにできるだけ多くの魔物を討伐してくれ！|나, 쿡코넨 시장은 이 땅의 영웅들에게 요청합니다. 타레시엘에 들끓는 어둠의 무리들을 정화해주십시오! 이대로 두면 우리의 미래는 없습니다. 다음 주 금요일 전까지 가능한 많은 수의 몬스터를 처치하십시오!||
community_quest_objective_1|Slay monsters all around Tarethiel||Mate monstros em toda Tarethiel| Уничтожайте монстров вокруг Таретиэль.|殺死塔雷希爾周圍的怪物|タレシエル全域でモンスターを討伐せよ。|타레시엘 전역의 몬스터 처치||
community_quest_title_2|Chaos at the Tower||Caos na Torre| Хаос в Башне|塔樓裡的混亂|混沌の塔の混乱|카오스 앳 더 타워||
community_quest_desc_2|The good warriors of Tarethiel, listen up! Chaos Towers have been running rampant across the lands! Purify these towers on sight! For glory, for honor!||Guerreiros de Tarethiel, prestem atenção! As Torres do Caos estão correndo desenfreadas pelas terras! Purifiquem estas torres imediatamente! Pela glória, pela honra!| Добрые воины Таретиэля|塔雷希爾的勇士們，聽好了！[nl]混沌之塔正在這片土地上橫行！看到塔樓，就淨化它們！為了榮耀，為了榮譽！|タレシエルの戦士たちよ、耳を貸せ！各地に現れる混沌の塔を目にしたら即座に浄化せよ！栄光と名誉のために！|타레시엘의 정의로운 전사들이여, 들으십시오! 카오스 타워가 전역에서 날뛰고 있습니다! 발견 즉시 정화하십시오! 영광과 명예를 위하여!||
community_quest_objective_2|Clear Chaos Towers||Limpe as Torres do Caos| Очистить башни хаоса|清除混沌之塔|混沌の塔を浄化せよ。|카오스 타워 클리어||
community_quest_title_3|Heigh-Ho!||Heigh-Ho!| Хей-хо!|嗨！|ハイホー！|하이호!||
community_quest_desc_3|We are in massive need of resources to build our defenses and ensure the survival of the good people of Tarethiel! This is why I, Dr. Tinker Dink, along with Mayor Kukkonen have started a campaign to get as much minerals as possible to bolster our position on the map. Help us collect as much Ores as possible.||Estamos precisando muito de recursos para construir nossas defesas e garantir a sobrevivência do povo de Tarethiel! É por isso que eu, Dr. Tinker Dink, juntamente com o prefeito Kukkonen, iniciamos uma campanha para obter o máximo possível de minerais para reforçar nossa localização no mapa. Ajude-nos a coletar o máximo possível de minérios.| Нам очень нужны ресурсы, чтобы построить нашу оборону и обеспечить выживание добрых людей Таретиэля! Вот почему я|我們急需資源來建造防禦工事，以確保塔雷希爾善良人民的生存！[nl]這就是為什麼我，Dr. Tinker Dink，和Mayor Kukkonen一起發起了一場運動，以獲得盡可能多的礦產來鞏固我們在地圖上的地位。[nl]幫我們收集盡可能多的礦石|我々には、防衛線を築きタレシエルの人々を守るための資源が必要だ！このため、私ティンカー・ディンク博士は市長クッコネンと協力し、鉱石採取キャンペーンを開始した。できる限り多くの鉱石を採掘してくれ！|방어 시설을 건설하고 시민들을 보호하기 위해 대량의 자원이 필요합니다! 나, 팅커 딩크 박사와 쿡코넨 시장은 자원 확보 작전을 시작합니다. 가능한 많은 광물을 채굴해 주십시오!||
community_quest_objective_3|Mine ore nodes||Minere nodos de minério| Добыча рудных узлов|採集礦石節點|鉱石ノードを採掘せよ。|광석 채굴||
community_quest_title_4|Sonya’s Soldier||Soldado de Sonya| Солдат Сони|Sonya的士兵|ソーニャの兵士|소냐의 병사||
community_quest_desc_4|It’s one thing to face Damien’s troops to purge this land of evil, but to also do it with style? That’s more my style! Bring me proof of completed Challenge Dungeons by opening the Chests at the end, and I shall reward you!||Uma coisa é enfrentar as tropas de Damien para expurgar o mal desta terra, mas também fazer isso com estilo? Esse é mais o meu estilo! Traga-me provas da conclusão de Masmorras de Desafio abrindo os baús no final e eu o recompensarei!|Одно дело — сражаться с войсками Дэмиена, чтобы очистить эту землю от зла.|面對達米安的軍隊來淨化這片邪惡的土地是一回事，但也要有風格地做到這一點？  這更符合我的風格！  在結束時打開寶箱，向我證明你完成了挑戰地牢，我將獎勵你！|ダミアンの軍勢と戦い、この地を浄化するだけでなく、スタイルも重視したい？それが私流よ！チャレンジダンジョンをクリアし、最後の宝箱を開けてその証を持ってきて！|데미언의 군세를 상대하는 것만으로도 대단한데, 스타일까지 살릴 수 있다면 완벽하죠! 열쇠 던전을 완료하고 마지막 보물 상자를 열어 그 증거를 가져오십시오. 보상을 드리겠습니다!||
community_quest_objective_4|Open Challenge Dungeon Chests||Abra Baús de Masmorra de Desafio| Откройте сундуки подземелий испытаний|打開挑戰地牢寶箱|チャレンジダンジョンの宝箱を開けよ。|열쇠 던전 상자 오픈||
community_quest_title_5|Gold Farm||Farm de Ouro| Золотая ферма|黃金農場|ゴールド回収作戦|골드 농장||
community_quest_desc_5|The economy is tanking! The monsters are rampaging through the lands, murdering innocents and robbing our resources, including gold! We have seen an increase of scams and cheated currency ruining our already unstable economy. Please slay monsters and collect [c_yellow]our gold[c_reset] back from their cold dead hands. More gold in circulation is better for everyone!||A economia está afundando! Os monstros estão se alastrando pelas terras, assassinando inocentes e roubando nossos recursos, inclusive o ouro! Temos visto um aumento de fraudes e moeda fraudada arruinando nossa economia já instável. Por favor, mate os monstros e recupere [c_yellow]nosso ouro[c_reset] de suas mãos mortas e frias. Mais ouro em circulação é melhor para todos!| Экономика рушится! Монстры бесчинствуют на землях|經濟正在衰退！怪物正在肆虐大地，殺害無辜者和掠奪我們的資源，包括金幣！[nl]我們看到騙局和假幣的增加，破壞了我們已經不穩定的經濟。[nl]請殺死怪物，從他們冰冷的死亡手中收集[c_yellow]我們的金幣[c_reset]。[nl]流通更多的金幣對每個人都有好處！|経済が崩壊寸前だ！怪物たちは我々の資源を奪い、無実の人々を殺し、金を持ち去っていった！詐欺や偽通貨も横行している！奴らを討ち、我々の金を取り戻せ！金の流通が増えれば、みんなが豊かになる！|경제가 무너지고 있습니다! 몬스터들이 무고한 이들을 학살하고 금을 포함한 자원을 약탈하고 있습니다! 사기와 위조 화폐로 인해 상황은 더욱 악화되고 있습니다. 몬스터들을 처치하고, 그들의 차가운 손에서 [c_yellow]우리의 금[c_reset]을 되찾아주십시오!||
community_quest_objective_5|Pick up gold. A lot of gold.||Pegue ouro. Muito ouro.| Собирай золото. Много золота.|拾取金幣，很多金幣|金を拾え（とにかく大量に）。|골드를 회수하십시오. 아주 많이.||
community_quest_title_6|Uber-Grind||Uber-Grind| Убер-Гринд|碾碎Uber|ウーバー討伐戦|우버 그리드||
community_quest_desc_6|The dark forces are getting stronger and danger looms near every domain. Show them that we are not afraid! [shake_letter][c_red]Slaughter them![c_reset][shake_reset] Destroy the biggest evil creatures you can find.||As forças das trevas estão ficando mais fortes e o perigo se aproxima de cada domínio. Mostre a eles que não temos medo! [letter_shake][c_red]Abata-os![c_reset][shake_reset] Destrua as maiores criaturas malignas que você puder encontrar.| Темные силы становятся сильнее, и опасность нависает над каждым доменом. Покажите им, что мы не боимся! [shake_letter][c_red]Уничтожьте их![c_reset][shake_reset] Уничтожьте самых больших злых существ, которых сможете найти.||闇の軍勢は日に日に力を増している。我々が恐れていないことを示してやろう！|어둠의 세력이 점점 강해지고 있으며, 모든 영역이 위협받고 있습니다. 그들에게 두려움 없는 우리의 힘을 보여줍시다! [shake_letter][c_red]모조리 학살하라![c_reset][shake_reset] 가능한 가장 강력한 악의 존재를 처치하십시오!||
community_quest_objective_6|Slay Uber bosses||Elimine Chefes Uber| Уничтожайте боссов Uber|殺死Uber boss|[赤文字で震える文字]奴らを皆殺しにせよ！|우버 보스 처치||
community_quest_title_7|Dungeon Crawler||Explorador de Masmorras| Подземелье краулер|地牢爬行者||던전 크롤러||
community_quest_desc_7|To further help with purging the infestation of our lands we have to hit them where it hurts. They are below us, crawling through the dungeons. Scheming, getting stronger. Destroy as many of these dungeon dwellers as possible!||Para ajudar ainda mais a eliminar a infestação de nossas terras, temos que atingi-los onde dói. Eles estão abaixo de nós, rastejando pelas masmorras. Planejando, ficando mais fortes. Destrua o maior número possível desses habitantes das masmorra| Чтобы помочь очистить наши земли от заражения, мы должны ударить по их больному месту. Они ниже нас|為了進一步幫助清除我們土地上的侵擾，我們必須擊中他們的痛處。  他們就在我們下面，在地牢裡爬行。  詭計多端，越來越強大。  盡可能摧毀這些地牢居民！|ダンジョンクローラー|이 땅을 완전히 정화하려면 그들의 본거지를 쳐야 합니다. 그들은 지하에서 꿈틀거리며 음모를 꾸미고, 힘을 키우고 있습니다. 가능한 많은 수의 던전 몬스터를 처치하십시오!||
community_quest_objective_7|Slay enemies within Special Dungeons||Elimine monstros dentro de masmorras especiais.| Убивайте врагов в специальных подземельях|在特殊地下城內殺死敵人|怪物どもは地中に潜み、力を蓄えている。我々の土地を浄化するためには、地下から一掃しなければならない！|스페셜 던전내의 적들 처치||
community_quest_title_8|Purge Big Baddies||Expurgue Grandes Vilões| Очистка больших негодяев|清除大壞蛋||우두머리 처단||
community_quest_desc_8|It’s time to show those bastards who is the boss here. For too long has Reaper ruled over Danethorpe, enough for the Reign of Karp King or Satan’s Influence over these holy grounds. Time to purge this land, once and for all.||Está na hora de mostrar a esses bastardos quem é o chefe aqui. Há muito tempo o Ceifador governa Danethorpe, o suficiente para o Reinado do Rei Carpa ou a Influência de Satã sobre essas terras sagradas. É hora de limpar essa terra, de uma vez por todas.| Пора показать этим ублюдкам, кто тут хозяин. Слишком долго Рипер правил Дэнторпом|是時候讓那些混蛋知道誰是這裡的老闆了。  收割者統治丹尼索普太久了，足以讓卡普國王或撒旦的影響力籠罩這片神聖的土地。  是時候徹底淨化這片土地了。|大悪党の粛清|이제 그 악당들에게 누가 주인인지 보여줄 시간입니다. 데인소프를 지배해온 사신, 카프 왕의 폭정, 사탄의 영향력은 이제 끝내야 합니다. 이 땅을 완전히 정화합시다!||
community_quest_objective_8|Kill Act Bosses||Mate Chefes de Ato| Убийственные боссы|殺死章節BOSS|死神リーパーがダネ소프を支配し、カープ王の支配やサタンの影響が我々の聖地を蝕んできた。もう十分だ。今こそ、この地を完全に浄化する時だ！|각 Act 보스 처치||
||||||||||||
[quest casting]||||||||||||
quest_cook_meat|Cook Meat||Cozinhar Carne| Приготовить Мясо|烹調肉|肉を調理する|고기 요리||Cuisiner de la viande
quest_cook_meat_action|Cooking delicious hog meat||Cozinhando carne de porco deliciosa| Готовим вкусную свинину|煮可口的豬肉|おいしいイノシシ肉を調理中|맛있는 돼지고기 요리중||Cuisiner la délicieuse viande de porc
quest_dirt_dig|Dig||Cavar| Копать|挖掘|掘る|땅파기||Creuser
quest_dirt_dig_action|Digging up dirt||Cavando a terra| Копание в грязи|挖出泥土|土を掘っている|흙 파는중||Creuser la terre
quest_lift_water|Use Well||Usar Fonte| Хорошо используйте|好好使用|井戸を使う|우물 사용||Utiliser le puits
quest_lift_water_action|Lifting water from river Gjöll||Pegando água do rio Gjöll| Подъем воды из реки Гьёлль|從吉爾河中取水|ヨル川から水を汲んでいる|욜 강에서 물을 끓어올리는 중||Prélever de l'eau dans la rivière Gjöll
quest_potion_cauldron|Conjure Potion||Conjurando Poção| Зелье колдовства|魔藥|ポーションを錬成する|물약 조합||Concocter une potion
quest_potion_cauldron_action|Boiling ingredients||Fervendo ingredientes| Кипящие ингредиенты|煮沸的配料|材料を煮込んでいる|재료 끓이는중||Faire bouillir les ingrédients
quest_attach_wheel|Attach Wheel||Anexar Roda|Прикрепить колесо|連接輪子|車輪を取り付ける|바퀴 부착하기||Attacher une roue
quest_attach_wheel_action|Attaching wheel||Anexando roda| Крепление колеса|連接車輪|車輪を取り付け中|바퀴를 부착하는중||Fixer la roue
quest_attach_wheel_done|Wheel attached!||Roda Anexada!| Колесо прикреплено!|車輪已連接！|車輪が取り付けられた！|바퀴 부착 완료!||
quest_harvest_pumpkin_action|Harvesting pumpkin||Colher abóbora| Сбор тыквы|收穫南瓜|カボチャを収穫中|호박 수확하기||Moisson de citrouille
quest_harvest_pumpkin|Pumpkin?||Abóbora?| Тыква?|南瓜?|カボチャ？|호박?||Citrouille ?
quest_cook_maggot_stew|Boil the ingredients||Ferva os ingredientes| Отварить ингредиенты.|將食材煮沸|材料を煮込む|재료 끓이기||Faire bouillir les ingrédients
quest_cooking_maggot_stew|Making Maggot stew||Fazendo Ensopado de larva| Приготовление рагу из личинок|做蛆燉肉|ウジ虫シチューを作っている|구더기 스튜 만들기||Faire un ragoût d'asticots
quest_gathering_herb|Gathering herbs...||Colhendo ervas…| Сбор трав...|採集草藥...|ハーブを集めている…|약초 모으기...||Cueillir des herbes...
quest_gather_ginseng|Collect ginseng plant||Coletar planta de Ginseng| Собрать растение женьшень|采集人参植物|朝鮮人参を採取する|인삼 수집||Récolter la racine de ginseng
quest_gather_frost_dill|Collect Frost Dill||Coletar Dill| Собрать замороженный укроп|收集霜花蒔蘿|フロストディルを採取する|프로스트 딜 수집||Cueillir l'aneth givré
quest_gather_loska|Collect Loska||Coletar Loska| Собрать Лоску|收集洛斯卡|ロスカを採取する|로스카 수집||Ramasser la loska
quest_gather_vermroot|Collect Vermroot||Coletar Vermroot| Собрать вермрут|採集蠕蟲根|ヴァームルートを採取する|버름루트 수집||Récolter la racine de Verm
quest_gather_fanglen|Collect Fanglen||Coletar Fanglen| Собрать Фанглен|收集方格倫|ファングレンを採取する|팡글렌 수집||Ramasser la fanglen
quest_inspect_track|Inspect track||Inspecionar rastro| Осмотреть трек|檢查足跡|足跡を調べる|흔적 조사하기||Inspecter la piste
quest_inspecting|Inspecting...||Inspecionando…| Проверка...|正在調查中...|調査中…|조사중...||Inspection...
quest_skin_carnage|Skin Carnage's Hide||Esfolar Pele de Carnificina| Кожа Карнажа|隱藏屠戮者之皮|カーネイジの皮を剥ぐ|카니지 가죽 벗기기||Dépiauter Carnage
quest_skinning|Skinning...||Esfolando…| Снятие шкур...|剝皮...|皮を剥いでいる…|가죽 채취중...||Dépiautage…
quest_gather_devils_cabbage|Collect Devil's Cabbage||Coletar Repolho-do-Diabo| Собрать дьявольскую капусту|收集惡魔高麗菜|悪魔キャベツを採取する|악마의 양배추 수집||Marie-jeanne ?
quest_inspect_cart|Inspect Mining Cart||Inspecionar Carrinho de Mineração| Осмотреть горнодобывающую тележку|檢查採礦車|採掘用トロッコを調べる|광산 수레 조사||Inspecter le chariot minier
quest_mend_hurrdurr|Attempt to heal Hurrdurr||Tentar curar Hurrdurr| Попытка исцелить Хуррдурра|嘗試治療Hurrdurr|ハードゥルを回復させようとしている|후르더르 치료 시도하기||Essayer de soigner Hurrdurr
quest_mending_hurrdurr|Trying to save Hurrdurr||Tentar salvar Hurrdurr| Пытаюсь спасти Хуррдурра|試圖拯救Hurrdurr|ハードゥルを救おうとしている|후르더르 구하려는 중||Tenter de sauver Hurrdurr
quest_collect_bamboo|Rip Bamboo Sticks||Arrancar Vara de Bambu| Бамбуковые палочки Rip|劈开竹竿|竹の棒を引き裂く|대나무 꺽기||Collecter des tiges de bambou
quest_collecting_bamboo|Taking sturdy bamboo||Pegando Bambu Robusto| Взяв крепкий бамбук|選取結實的竹子|丈夫な竹を取っている|튼튼한 대나무 가져오는중||Prendre du bambou robuste
quest_craft_rod|Craft Sturdy Fishing Rod||Criar Vara de Pesca Robusta| Изготовить прочную удочку|精製結實的釣竿|丈夫な釣り竿を作る|튼튼한 낚시대 제작||Fabrication d'une canne à pêche robuste
quest_using_workbench|Crafting...||Criando…| Изготовление...|正在制作...|作成中…|제작중...||Assemblage...
quest_collect_spiderweb|Collect Spiderweb||Coletar Teia de Aranha| Собрать паутину|收集蜘蛛網|蜘蛛の巣を採取する|거미줄 수집||Collecte de toiles d'araignée
quest_collecting|Collecting...||Coletando…| Собираем...|收集...|採取中…|수집중||Collecte...
quest_inspect_metal_hook|Inspect Metal Hook||Inspecionar Gancho de Metal| Осмотрите металлический крючок|檢查金屬鉤|金属フックを調べる|금속 갈고리 조사||Inspecter le crochet en métal
quest_harvest_soul|Harvest Damned Soul||Colher Alma Maldita| Соберите Проклятую Душу|收割該死的靈魂|呪われた魂を収穫する|저주받은 영혼 수확하기||Récolter l'âme damnée
quest_harvesting_soul|Harvesting soul...||Colhendo alma…| Сбор души...|正在收穫靈魂...|魂を収穫中…|영혼을 수확하는중...||Moisson de l'âme...
quest_seal_grave|Bless the Eternal Chalice||Abençoar o Cálice Eterno| Благослови Вечную Чашу|祝福永恆的聖杯|永遠の聖杯を祝福する|영원한 성배에 축복 내리기||Bénir le calice éternel
quest_seal_grave_action|Purifying Damned Souls||Purificando Almas Malditas| Очищение проклятых душ|淨化被詛咒的靈魂|呪われた魂を浄化している|저주받은 영혼을 정화하는중||Purifier les âmes damnées
quest_bag_njals_head|Bagging Njal’s head||Empacotando a cabeça de Vjoll| Голова Ньяла в мешке|裝起尼亞爾的頭|ニヤルの首を袋に入れる|니얄의 머리 담기||
quest_repair_beacon|Repairing security beacon||Reparado farol de segurança| Ремонт охранного маяка|維修安全信標|セキュリティビーコンを修理中|신호탑 수리중||
quest_beacons_up|Turning the security beacon system on||Ligando o sistema do farol de segurança| Включение системы охранных маяков|開啟安全信標系統|セキュリティビーコンシステムを起動中|신호탑 시스템 가동중||
quest_ice_crack|Examining||Examinando| Рассматривание|檢查|調査中|조사중...||
quest_place_explosives_interact|Placing explosives... carefully||Colocando explosivos… cuidadosamente| Размещение взрывчатки... осторожно|小心的放置炸藥...|爆薬を慎重に設置中…|폭탄 설치중...조심스럽게||
quest_detonating|Starting detonator||Iniciando detonador| Пусковой детонатор|啟動雷管|起爆装置を起動する|기폭장치 작동중||
quest_igniting_beacon|Igniting beacon||| Зажигающий маяк|點燃信標|ビーコンに点火する|신호탑 점화중||
|||||||||||
[special cases]|||||||||||
