[npc]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
grind_4_complete|Getting very excited here, [heroname]! Just one more page to go!||Estou ficando muito animado, [heroname]! Só falta mais uma página!||越來越興奮了，[heroname]！  只剩下一頁！||||
grind_5|Great timing! Good news and bad news: The good news is that I know where the last page is. Bad news is that that place is the Seventh Layer of Hell. That's right, Hell! Satan himself has it! I don't know, [heroname]. Is the last page worth it? I completely understand if you have doubts, but the page also contains key information without which the book is useless.||Ótima hora! Boas e más notícias: A boa notícia é que eu sei onde está a última página. A má notícia é que esse lugar é a Sétima Camada do Inferno. É isso mesmo, o inferno! O próprio Satanás a tem! Não sei, [heroname]. Será que a última página vale a pena? Entendo perfeitamente se você tiver dúvidas, mas a página também contém informações importantes sem as quais o livro é inútil.||好時機！  好消息和壞消息：好消息是我知道最後一頁在哪裡。  壞消息是那個地方是地獄的第七層。沒錯，見鬼！撒旦自己也擁有它！我不知道，[heroname]。  如果您有疑問，我完全理解，但是該頁面還包含關鍵信息，沒有這些信息這本書就沒用。||||
grind_5_complete|YOU BEATIFUL BASTARD! YOU DID IT! With the Book of Soulforge now complete I can not wait to learn what secrets it reveals! Here, I made you a little something as a reward for helping me. It's not that impressive, but once I learn the secrets in this book I will enchant it for you!||SEU BELO DESGRAÇADO! VOCÊ CONSEGUIU! Com o Livro da Forja da Alma agora completo, mal posso esperar para saber quais segredos ele revela! Aqui, eu fiz uma coisinha para você como recompensa por me ajudar. Não é tão impressionante, mas assim que eu descobrir os segredos desse livro, vou encantá-lo para você!||你這個美麗的混蛋！  你做到了！  隨著《靈魂之書》的完成，我迫不及待想知道它揭示了什麼秘密！！  在這裡，我為你做了一些小東西，作為我幫助的獎勵。  這並不是那麼令人印象深刻，但是一旦我了解了這本書中的秘密，我就會為你著迷！||||
grind_6|Like I promised you, I can make you a ring more powerful than any man has ever worn! As per the instructions in the Book of Soulforge, I have gathered all the materials I need, except for one: Soul essence. Soul essence can be harvested from powerful creatures all over Tarethiel, although it's very rare to find on the mostly soulless creatures that infest these lands. Anyway, I need a lot of it. A lot. Return to me with a big pile of it and the ring shall be yours!||Como prometi a você, posso fazer um anel mais poderoso do que qualquer outro que o homem já usou! De acordo com as instruções do Livro da Forja da Alma, reuni todos os materiais necessários, exceto um: Essência da alma. A essência da alma pode ser colhida de criaturas poderosas em toda Tarethiel, embora seja muito raro encontrá-la nas criaturas sem alma que infestam essas terras. De qualquer forma, preciso de muita. Muito mesmo. Volte para mim com uma grande pilha dela e o anel será seu!||就像我答應過你的那樣，我可以為你打造一枚比任何男人戴過的戒指都更強大的戒指！  按照靈魂之書的指示，我已經收集了所有我需要的材料，除了一個：靈魂精華。  靈魂精華可以從Tarethiel各地的強大生物身上採集，儘管在這些土地上幾乎沒有靈魂的生物身上很少能找到。  無論如何，我需要很多。  很多。  帶著一大堆回到我身邊，戒指就屬於你了！||||
grind_6_complete|I am sorry [heroname], I completely forgot about one more ingredient. But for a champ like you, that should be easy to handle thought!||Desculpe-me [heroname], esqueci completamente de mais um ingrediente. Mas para um campeão como você, isso deve ser fácil de lidar!||對不起 [heroname]，我完全忘了還有一種成分。  但對於像你這樣的冠軍來說，這應該很容易處理！||||
grind_7|By my hammer! I completely forgot! Maybe my old head is going soft in this cave… The ring still needs something. Souls. Not just essence, the actual souls. Not too much, but a couple of them. Ideally some strong, raw souls that once had a strong will and heart for battle. You know those piles you see laying around? Maybe, just maybe, you might find what is needed from those. Well, off you go. I’ll see you when you have them!||Pelo meu martelo! Eu me esqueci completamente! Talvez minha velha cabeça esteja ficando mole nesta caverna... O anel ainda precisa de algo. Almas. Não apenas a essência, mas as almas de fato. Não muitas, mas algumas delas. De preferência, algumas almas fortes e cruas que já tiveram vontade e coração para a batalha. Sabe aquelas pilhas que você vê por aí? Talvez, apenas talvez, você possa encontrar o que precisa nelas. Bem, vá em frente. Eu o verei quando as tiver!||用我的錘子！  我完全忘記了！  也許我這老腦袋在這個山洞裡變蠢了……  戒指還需要一些東西。  靈魂。  不只是本質，而是真正的靈魂。  不是太多，但有幾個。  理想的情況是一些堅強、原始的靈魂，曾經有堅強的意志和戰鬥的心。  你知道你看到的那些堆在周圍的東西嗎？  也許，只是也許，你可能會從中找到你需要的東西。  好吧，你走吧。當你擁有它們時我會見到你！||||
grind_7_complete|Now we are ready! Let me finish that ring for you!||Agora estamos prontos! Deixe-me terminar este anel para você!||現在我們準備好了！  讓我為你完成那枚戒指吧！||||
|||||||||||
morski_alive_dialog|Vuh! I can assure that I am quite alive and definitely not a dead pile of bones. Vuh!||Vuh! Posso garantir que estou bem vivo e definitivamente não sou uma pilha de ossos mortos. Vuh!|Вух! Я могу заверить, что я вполне жив и определенно не мертвая груда костей. Вух!|嗚嗚！我可以保證我還活著，絕對不是一堆白骨。  嗚嗚！||||Wouf ! Je peux vous assurer que je suis bien vivant et que je ne suis certainement pas un tas d'os morts. Wouf !
grind_inprogress_0|My associates are searching for the location of the next page. Come back later!||Meus associados estão procurando a localização da próxima página. Volte mais tarde!|Привет, дууде!|我的同事正在尋找下一頁的位置。  稍後回來！||||Saluuuuuuut poto !
grind_inprogress_1|My loyal dog [c_red]Mörski[c_reset] has been a bit quiet lately. I guess its the cave depressing him. Say hello to the nice Hero, [c_red]Mörski![c_white]||Meu fiel cão [c_red]Mörski[c_reset] tem estado um pouco quieto ultimamente. Acho que é a caverna que o está deprimindo. Diga olá para o simpático herói, [c_red]Mörski![c_white]|Мой верный пес [c_red] Мерски [c_reset] в последнее время стал немного тихим. Я думаю, это пещера угнетает его. Поздоровайся с милым Героем, [c_red]Мерски![c_white]|我的忠犬Mörski最近有點安靜。  我猜是洞穴讓他感到沮喪。  向善良的英雄打個招呼[c_red]Mörski[c_white]！||||Mon fidèle chien [c_lime]Mörski[c_reset] est un peu silencieux ces derniers temps. Je suppose que c'est la grotte qui le déprime. Dites bonjour au gentil Héros, [c_lime]Mörski ![c_reset]
grind_inprogress_2|Just search a couple more piles! I think those souls are quite common, but what would I know?||Basta procurar em mais algumas pilhas! Acho que essas almas são bastante comuns, mas como eu poderia saber?|[c_yellow] сущность богов[c_reset] очень редка, но я доверяю вашей способности получить ее без ааааа каких-либо проблем.|再搜幾堆就好了！  我認為那些靈魂很常見，但我為什麼知道呢？？||||L'[c_yellow]essence des dieux[c_reset] est très rare, mais j'ai confiance en votre capacité à l'obtenir sans problème.
grind_inprogress_3|How do you like that ring, [heroname]?||O que você acha do anel, [heroname]?|Ну, ты уже хорошенько рассмотрел свиток?|你覺得那枚戒指怎麼樣，[heroname]？||||Eh bien, avez-vous bien regardé le parchemin ?
grind_inprogress_4|So excited! I'm going to be the greatest blacksmith ever!||Muito animado! Vou ser o maior ferreiro de todos os tempos!||太激動了！我要成為有史以來最偉大的鐵匠！||||
grind_ring_lost|You managed to lose your Ring? Damn it, [heroname]. You have to be more careful. I had some leftover materials from the previous crafting, which I was hoping to save for later, but I guess I can help you out. Do you need a new [c_aqua]Soulforged Ring[c_reset]?||Você conseguiu perder seu anel? Droga, [heroname]. Você precisa ser mais cuidadoso. Eu tinha algumas sobras de materiais da fabricação anterior, que eu esperava guardar para mais tarde, mas acho que posso ajudá-lo. Você precisa de um novo [c_aqua]Anel Forjado da Alma[c_reset]?|Интересно, что случилось с моим сводным братом Хуррдурром. Может быть, мне стоит пойти поискать его.|你把戒指弄丟了？該死[heroname]。你必須更加小心。我有一些以前手工製作的剩餘材料，我希望留著以後用，但我想我可以幫你。你需要一個新的[c_aqua]魂鑄戒指[c_reset]嗎？求你了，Örre。再給我一個！不是現在。祝您今天過得愉快。什麼都沒有，[heroname]！迪迪迪。 。 。拉 lal laaaa見證我的鐵匠技能||||Je me demande ce qui est arrivé à mon demi-frère [c_lime]Hurrdurr[c_reset]. Je devrais peut-être partir à sa recherche.
grind_craft_new|Please, Örre. Make me another!||Por favor, Örre. Faça outro para mim!||拜託，Örre。給我再做一個||||
grind_nocraft|Not now. Have a good day.||Agora não. Tenha um bom dia.||不是現在。祝你有美好的一天||||
grind_craft_1|Here goes nothing, [heroname]!||Aqui vai, [heroname]!||這裡什麼都沒有，[heroname]！||||
grind_craft_2|Dididii... La lal laaaa||Dididii... La lal laaaa||||||
grind_craft_3|Witness my skills in BS!||Testemunhe minhas habilidades em Ferraria!||見證我的 鐵匠 技能||||
|||||||||||
hurnir_grind_dialog|Örre sent you to look for me? How sweet. I just need a short rest and I'll be good to go. I found the page, but I was overwhelmed by these damn monsters. I barely escaped, but they took the page and I am sure it's now in the posession of [c_red]Anubis[c_reset] himself. Go get your page, [heroname]. I'll be fine.||Örre o enviou para me procurar? Que fofo. Só preciso descansar um pouco e estarei pronto para ir. Encontrei a página, mas fui dominado por esses malditos monstros. Escapei por pouco, mas eles levaram a página e tenho certeza de que agora ela está em poder do próprio Deus do Sol [c_red]Anubis[c_reset]. Vá buscar sua página, [heroname]. Eu ficarei bem.||Örre你來找我？  多麼甜蜜啊。  我只需要短暫休息一下就可以出發了.. 我找到了這個頁面，但我被這些該死的怪物淹沒了。  我勉強逃脫，但他們拿走了這頁，我確信它現在由太陽神[c_red]阿努比斯[c_reset]擁有。  去獲取你的頁面吧，[heroname]。  我會沒事的。||||
hurnir_grind_dialog_2|Go on to defeat [c_red]Anubis[c_reset] and find the page, I'll be fine.||Vá em frente para derrotar [c_red]Anubis[c_reset] e encontre a página, eu ficarei bem.||繼續擊敗[c_red]阿努比斯[c_reset]並找到頁面，我會沒事的。||||
|||||||||||
[valhalla raven statues]|||||||||||
valhalla_lore_valkyrie|[c_yellow]Valkyries[c_reset] are the ones who guide the souls of fallen Heroes into one of two realms. Half of those who die in battle are taken to Freyas afterlife, [c_lime]Fólkvangr[c_reset]. The other half go to Gods hall called [c_lime]Valhalla[c_reset]. ||As [c_yellow]Valquírias[c_reset] são aquelas que guiam as almas dos heróis caídos para um de dois reinos. Metade dos que morrem em batalha são levados para a vida após a morte de Freyas, [c_lime]Fólkvangr[c_reset]. A outra metade vai para o salão dos deuses chamado [c_lime]Valhalla[c_reset].|[c_yellow] Валькирии[c_reset] - это те, кто направляет души павших Героев в одно из двух царств. Половина тех, кто погибает в битве, попадает в загробную жизнь Фрейи, [c_lime]Фолквангр[c_reset]. Другая половина отправляется в зал Богов под названием [c_lime] Валгалла[c_reset]. |[c_yellow]女武神[c_reset]是引導墮落英雄靈魂進入兩個領域之一的人。  在戰鬥中死亡的人中有一半會被帶到弗雷亞斯的死後之地，[clime]Fólkvangr[c_reset]。  另一半去了名為[clime]Valhalla[c_reset]的眾神大廳。||||Les [c_red]Valkyries[c_reset] sont celles qui guident les âmes des héros tombés au combat vers l'un des deux royaumes. La moitié de ceux qui meurent au combat sont emmenés dans l'au-delà de Freyas, [c_aqua]Fólkvangr[c_reset]. L'autre moitié va dans la salle des Dieux appelée [c_aqua]Valhalla[c_reset]. 
valhalla_lore_huginn|[c_aqua]Huginn[c_reset], ''Thought'', is the brother of [c_red]Muninn[c_reset]. As one of the Odin's ravens he travels around the world, reporting back to Odin.||[c_aqua]Huginn[c_reset], ''Pensamento'', é o irmão de [c_red]Muninn[c_reset]. Como um dos corvos de Odin, ele viaja pelo mundo, reportando-se a ele.|"[c_aqua]Хьюгинн[c_reset], ""Мысль"", является братом [c_red]Мунинна[c_reset]. Как один из воронов Одина, он путешествует по всему миру, отчитываясь перед Одином."|[c_aqua]Huginn[c_reset]，“應該”，是[c_red]Muninn[c-reset]的兄弟。  作為奧丁的渡鴉之一，他週遊世界，向奧丁報告。||||[c_red]Hugin[c_reset], ''Pensée'', est le frère de [c_red]Munin[c_reset]. Il est l'un des corbeaux d'[c_red]Odin[c_reset] et voyage à travers le monde pour lui rapporter ses observations.
valhalla_lore_muninn|[c_aqua]Muninn[c_reset], ''Memory'', is the brother of [c_red]Huginn[c_reset]. As one of the Odin's ravens he travels around the world, reporting back to Odin.||[c_aqua]Muninn[c_reset], ''Memória'', é o irmão de [c_red]Huginn[c_reset]. Como um dos corvos de Odin, ele viaja pelo mundo, reportando-se a ele.|"[c_aqua]Мунинн[c_reset], ""Память"", является братом [c_red]Хьюгинна[c_reset]. Как один из воронов Одина, он путешествует по всему миру, отчитываясь перед Одином."|[c_aqua]Muninn[c_reset]，“記憶”，是[c_red]Huginn[c-reset]的兄弟。  作為奧丁的渡鴉之一，他週遊世界，向奧丁報告。||||"[c_red]Munin[c_reset], ""Mémoire"", est le frère de [c_red]Hugin[c_reset]. Il est l'un des corbeaux d'[c_red]Odin[c_reset] et voyage à travers le monde pour lui faire part de ce qu'il a entendu."
valhalla_lore_trolls|[c_aqua]Trolls[c_reset] are creatures of the forest, who live under the rocks and caves. They are known for being quite dumb and very hostile against humans.||Os [c_aqua]Trolls[c_reset] são criaturas da floresta que vivem sob as rochas e cavernas. Eles são conhecidos por serem bastante burros e muito hostis contra os humanos.|[c_aqua] Тролли[c_reset] - это лесные существа, которые живут под камнями и пещерами. Они известны тем, что довольно тупы и очень враждебны по отношению к людям.|[c_aqua]巨魔[c_reset]是森林中的生物，生活在岩石和洞穴下。  眾所周知，他們以非常愚蠢和對人類充滿敵意而聞名。||||[c_red]Les trolls[c_reset] sont des créatures de la forêt, qui vivent sous les rochers et les grottes. Ils sont connus pour être assez stupides et très hostiles aux humains.
valhalla_lore_naga|[c_aqua]Naga[c_reset] are human-snake hybrids which prefer to live near or in water. They usually live in hiding at the eastern kingdoms and it is not yet known how they traveled to and infested [c_lime]Valhalla[c_reset]. All the heroes are adviced to kill them on sight.||Os [c_aqua]Naga[c_reset] são híbridos humano-cobra que preferem viver perto ou na água. Eles geralmente vivem escondidos nos reinos do leste e ainda não se sabe como viajaram e infestaram [c_lime]Valhalla[c_reset]. Todos os heróis são aconselhados a matá-los logo de cara.|[c_aqua] Наги [c_reset] - гибриды человека и змеи, которые предпочитают жить вблизи воды или в ней. Обычно они скрываются в восточных королевствах, и пока неизвестно, как они добрались до [c_lime] Валгаллы и заразились ею [c_reset]. Всем героям рекомендуется убивать их на месте.|[c_aqua]Naga[c_reset]是人蛇雜交體，喜歡生活在水附近或水中。  他們通常躲藏在東部王國，目前尚不清楚他們如何前往並感染[c_lime]Valhalla[c_reset]。  建議所有英雄一看到他們就殺死他們。||||[c_red]Les nagas[c_reset] sont des hybrides humains-serpents qui préfèrent vivre près de l'eau ou dans l'eau. Ils se cachent généralement dans les royaumes de l'est et on ne sait pas encore comment ils ont voyagé jusqu'au [c_aqua]Valhalla[c_reset] et l'ont infesté. Il est conseillé à tous les héros de les tuer à vue.
valhalla_lore_surtur|Warning: [c_red]Surtur[c_reset] has been imprisoned in this here cave. DO NOT APPROACH!||Aviso: [c_red]Surtur[c_reset] foi aprisionado nesta caverna. NÃO SE APROXIME!|Предупреждение: [c_red] Суртур [c_reset] заключен в тюрьму в этой пещере. НЕ ПРИБЛИЖАЙТЕСЬ!|警告：[c_red]Surtur[c_reset]已被囚禁在這個洞穴中。  不要靠近！||||Avertissement : [c_red]Surt[c_reset] a été emprisonné dans cette grotte. N'APPROCHEZ PAS !
valhalla_lore_jormungandr|[c_aqua]Jormungandr, the World Serpent[c_reset], born of [c_red]Loki's[c_reset] mischief, stretches his massive coils around the realms, filling oceans and swallowing storms. Bound to the prophecy of Ragnarok, his hunger for destruction lies coiled in the depths. When he rises, gods will tremble, the skies will split, and his venom will seep into the world.||||[c_aqua]耶夢加得, 世界之蛇[c_reset], 因[c_red]洛基[c_reset]惡作劇而誕生, 將他巨大的螺旋伸展到諸國度周圍, 填滿海洋併吞噬風暴. 受到諸神黃昏的預言的束縛, 他對毀滅的渴望盤踞在深處. 當他崛起時, 眾神將顫抖, 蒼穹將裂開, 他的毒液將滲透到人間。||||
|||||||||||
ahriman_npc_name|Ahriman||Ahriman|Ариман|||||Ahriman
ahriman_npc_title|Crow Keeper||Guardião dos Corvos|Хранитель Ворон|烏鴉飼養員||||Gardien des corbeaux
ahriman_chain_1|You there! You look like a tough adventurer ready to slay some monsters! I am Ahriman, the keeper of Crows. I have a problem, there is a large rat bastard I've named [c_red]Fragrat[c_reset] who murdered and ate one of my beloved crows. I want you to find and kill Fragrat! I'll pay you handsomely. Last time I saw the bastard he took shelter in a Rat Den. Help me out, will you?||Você aí! Você parece um aventureiro durão pronto para matar alguns monstros! Eu sou Ahriman, o guardião dos Corvos. Estou com um problema: há um grande rato bastardo que chamei de [c_red]Fragrat[c_reset] que assassinou e comeu um dos meus corvos. Quero que você encontre e mate Fragrat! Eu lhe pagarei muito bem. Da última vez que vi o bastardo, ele se abrigou em uma Toca de Ratos. Poderia me ajudar?| Эй, ты там! Ты выглядишь как крутой искатель приключений, готовый убить несколько монстров! Я Ариман|嘿！你看起來像個身手不凡的冒險家，準備好大殺四方！  我是 Ahriman 烏鴉的守護者。  有個叫[c_red]弗拉格拉特[c_reset]的大老鼠混蛋，它殺了我心愛的一隻烏鴉，還把牠吃了。  我要你找到並殺死弗拉格拉特！  我會給你豐厚的報酬。  我上次見到這混蛋的時候，它躲在鼠洞裡。  幫幫我，好嗎？|そこの君！ 君はモンスターを倒す準備ができた強そうな冒険者に見える！私はカラスの番人、アーリマンだ。困っているんだ、大きなネズミの奴、名前は[c_red]フラグラット[c_reset]。こいつが愛するカラスの一羽を殺して食べてしまったんだ。フラグラットを見つけて殺してほしい！報酬はたっぷり払うよ。最後に見たときはネズミの巣穴に隠れていた。助けてくれないか？|너! 맞아 너 말이야. 몬스터 잡을 준비가 된 모험가처럼 보이네. 난 아리만, 까마귀지기야. 문제 하나 있어. [c_red]프래그 랫[c_reset]이라는 큰 쥐 놈이 내 소중한 까마귀 중 하나를 죽이고 잡아먹었어! 놈을 찾아내서 죽여줘! 보상은 두둑히 줄게. 마지막으로 본 건 쥐굴이었어.|Hey! Du siehst aus wie ein tapferer Abenteurer, bereit, Monster zu erlegen! Ich bin Ahriman, der Hüter der Krähen. Ich habe ein Problem: Ein riesiger Rattenbastard namens Fragrat hat eine meiner Krähen ermordet und gefressen. Du sollst Fragrat finden und töten! Ich werde dich fürstlich belohnen. Als ich den Bastard das letzte Mal sah, hatte er sich in einem Rattenbau versteckt. Hilfst du mir bitte?|Vous êtes là ! Vous avez l'air d'un aventurier coriace prêt à tuer des monstres ! Je suis [c_lime]Ahriman[c_reset], le gardien des corbeaux. J'ai un problème : un gros rat que j'ai appelé [c_red]Fragrat[c_reset] a tué et mangé l'un de mes corbeaux. Je veux que vous trouviez et tuiez [c_red]Fragrat[c_reset] ! Je vous paierai grassement. La dernière fois que je l'ai vu, il s'est réfugié dans le [c_aqua]Repaire des rats[c_reset]. Aidez-moi, voulez-vous ?|¡Eh, tú! ¡Pareces un aventurero duro, listo para aniquilar monstruos! Soy Ahriman, el guardián de los Cuervos. Tengo un problema, hay una gran rata bastarda que he llamado [c_red]Fragrat[c_reset] que asesinó y se comió a uno de mis queridos cuervos. ¡Quiero que encuentres y aniquiles a Fragrat! Te pagaré generosamente. La última vez que vi al bastardo se refugió en una Madriguera de Ratas. Ayúdame, ¿quieres?|Ty tam! Wyglądasz na twardego poszukiwacza przygód gotowego zabijać potwory! Jestem Ahriman, strażnik Kruków. Mam problem, jest duży szczurzy drań, którego nazwałem [c_red]Fragrat[c_reset], który zamordował i zjadł jednego z moich ukochanych kruków. Chcę, żebyś znalazł i zabił Fragrata! Zapłacę ci hojnie. Ostatnio widziałem tego drania, jak schronił się w Szczurzej Norze. Pomóż mi, dobrze?
ahriman_chain_1_complete|Thank you, [heroname]. Here is your handsome reward! I also have another task for you, should you be interested…||Obrigado, [heroname]. Aqui está sua bela recompensa! Também tenho outra tarefa para você, caso esteja interessado...|Спасибо, [имя героя]. Вот твоя солидная награда! У меня также есть для тебя другое задание, если тебе будет интересно…|謝謝你，[heroname]。這是你的豐厚獎勵！我  還有另一個任務給你，如果你有興趣的話…||||Merci, [heroname]. Voici votre belle récompense ! J'ai une autre tâche à vous confier, si cela vous intéresse...
ahriman_chain_2|My birds are hungry! After the incident with Fragrat, they deserve a proper feast! Collect me some maggots and [c_red]crimson pumpkins[c_reset] and make some nice maggot stew to feed them. Should you accept, I'll meet you at my house in [c_yellow]The Dark Woods[c_reset]!||Meus pássaros estão com fome! Depois do incidente com o Fragrat, eles merecem um banquete adequado! Pegue algumas larvas e [c_red]abóboras carmesim[c_reset] e faça um bom ensopado de larvas para alimentá-los. Caso aceite, eu o encontrarei na minha casa nos [c_yellow]Bosques Sombrios[c_reset]!|Мои птички голодны! После инцидента с Fragrat'ом они заслуживают настоящего угощения! Собери мне немного личинок и [c_red] малиновых тыкв[c_reset] и приготовь вкусное рагу из личинок, чтобы накормить их. Если ты согласишься, я встречу тебя в моем доме в [c_yellow] Темном лесу [c_reset]!|我的鳥兒餓了！  在與弗拉格拉特事件發生後，他們應該得到一場真正的盛宴！  給我收集一些蛆和[c_red]深紅色南瓜[c_reset]，然後做一些美味的蛆燉菜來餵牠們。  如果你接受，我會在位於[c_yellow]黑暗森林[c_reset]的家裡與你見面！||||Mes oiseaux ont faim ! Après l'incident avec [c_red]Fragrat[c_reset], ils méritent un bon festin ! Récupérez-moi des [c_yellow]asticots[c_reset] et des [c_yellow]citrouilles cramoisies[c_reset] et préparez un bon ragoût d'asticots pour les nourrir. Si vous acceptez, je vous retrouverai chez moi, dans les [c_aqua]Bois sombres[c_reset] !
ahriman_chain_2_complete|This is delicious. With this stew my crows will be re-energized and ready to work! There is still one thing I require from you.||É uma delícia. Com esse ensopado, meus corvos ficarão reenergizados e prontos para trabalhar! Ainda há uma coisa que preciso de você.|Это восхитительно. С этим рагу мои вороны наберутся сил и будут готовы к работе! Есть еще одна вещь, которая мне от вас нужна.|這太美味了。  有了這道燉菜，我的烏鴉將重新振作起來，準備工作！  我這邊仍然需要你做一件事。||||C'est délicieux. Avec ce ragoût, mes corbeaux seront ragaillardis et prêts à travailler ! J'ai encore une chose à vous demander.
ahriman_chain_3|I used to have a spellbook called ''Murder of Crows'' which allowed me to have full control of my flock. It was stolen by one of Gurag's minions a long time ago. If you can find it and bring it back to me I shall be the most powerful Crow Keeper Tarethiel has ever seen! I am quite confident that the book is hidden somewhere in the Gurag's dungeons. Find it and bring it to me, and I will forever be in your debt.||"Eu costumava ter um livro de feitiços chamado ""Murder of Crows"" que me permitia ter controle total do meu bando. Ele foi roubado por um dos lacaios de Gurag há muito tempo. Se você conseguir encontrá-lo e trazê-lo de volta para mim, serei o mais poderoso Guardião de Corvos que Tarethiel já viu! Tenho certeza de que o livro está escondido em algum lugar nas masmorras de Gurag. Encontre-o e traga-o para mim, e eu ficarei eternamente em dívida com você."|"Раньше у меня была книга заклинаний под названием ""Убийство ворон"", которая позволяла мне полностью контролировать свою стаю. Она была украдена одним из приспешников Гурага давным-давно. Если ты сможешь найти ее и вернуть мне, я стану самым могущественным Хранителем Ворона, которого Таретиэль когда-либо видел! Я совершенно уверен, что книга спрятана где-то в подземельях Гурага. Найди это и принеси мне, и я навсегда буду у тебя в долгу."|我曾經有一本叫做《烏鴉謀殺案》的法術書，它让我能够完全控制我的羊群。  很久以前被古拉格的一個僕從偷走了。  如果你能找到它並把它帶回來給我，我將成為Tarethiel有史以來最強大的烏鴉守護者！  我非常有信心這本書就藏在古拉格地牢的某個地方。  找到它並把它帶給我，我將永遠欠你這份恩情。||||"J'avais un livre de sorts appelé ""[c_yellow]Meurtre des corbeaux[c_reset]"" qui me permettait de contrôler entièrement mon élevage. Il a été volé par l'un des sbires de Gurag il y a longtemps. Si tu parviens à le retrouver et à me le ramener, je serai le plus puissant gardien de corbeaux que Tarethiel ait jamais vu ! Je suis persuadé que le livre est caché quelque part dans [c_aqua]les donjons de Gurag[c_reset]. Trouvez-le et rapportez-le moi, et je vous serai éternellement redevable."
ahriman_chain_3_complete|The [c_aqua]MURDER OF CROWS[c_reset]! Wait… this is not the right spellbook. This is something else entirely. I can't understand anything written here. A fair attempt, hero, but this is not what I wanted. You can keep it, maybe it will be useful to you… I'll see you around.||O [c_aqua]MURDER OF CROWS[c_reset]! Espere... este não é o livro de feitiços correto. É algo completamente diferente. Não consigo entender nada do que está escrito aqui. Foi uma boa tentativa, herói, mas não era isso que eu queria. Pode ficar com ele, talvez lhe seja útil... Até mais.|[c_aqua] УБИЙСТВО ВОРОН [c_reset]! Подождите ... это неправильная книга заклинаний. Это что-то совершенно другое. Я ничего не могу понять из того, что здесь написано. Честная попытка, герой, но это не то, чего я хотел. Ты можешь оставить это себе, может быть, это тебе пригодится… Увидимся.|[c_aqua]烏鴉謀殺案[c_reset]！等等…這不是我要的法術書。  這完全是另一種東西。  我看不懂這裡寫的任何東西。  這是一次公平的嘗試，英雄，但這不是我想要的。  你可以保留它，也許它對你有用……我會再見。||||Enfin, le [c_yellow]Meurtre des cor[c_reset]... Attendez... Ce n'est pas le bon livre de sorts. C'est tout à fait autre chose. Je ne comprends rien à ce qui est écrit ici. C'est une bonne tentative, héros, mais ce n'est pas ce que je voulais. Vous pouvez le garder, il vous sera peut-être utile... A bientôt.
|||||||||||
ahriman_chain_inprogress|Go on, stranger!||Vá em frente, forasteiro!|Продолжай, незнакомец!|繼續，陌生人！||||Continue, étranger !
ahriman_bless|Blessed be [heroname]!||||祝福你[heroname]!||||
|||||||||||
anita_npc_name|Anita||Anita|Анита|||||Anita
anita_npc_title|Herbalist||Herbalista|Травник|草藥師||||Herboriste
anita_chain_1|Help! My name is Anita, I'm a herbalist from Danethorpe. I was on my regular path collecting herbs, but I got attacked and mauled by a grizzly bear. I don't have long, the wounds are going to take me soon, unless you help me! Bring me some Ginseng and I can heal my wounds! Please, help me...||Ajude-me! Meu nome é Anita, sou uma herbalista de Danethorpe. Eu estava em meu caminho habitual coletando ervas, mas fui atacada e maltratada por um urso pardo. Não tenho muito tempo, as feridas vão me levar logo, a menos que você me ajude! Traga-me um pouco de Ginseng para que eu possa curar minhas feridas! Por favor, me ajude...|Помогите! Меня зовут Анита, я травница из Данеторпа. Я шла своим обычным путем, собирая травы, но на меня напал и растерзал медведь гризли. У меня мало времени, раны скоро затянутся, если ты мне не поможешь! Принеси мне немного женьшеня, и я смогу залечить свои раны! Пожалуйста, помоги мне...|幫幫我!  我是Anita，是來自鄧恩斯洛普的草藥師.. 我在平常的道路上採集草藥，但我遭到了灰熊的攻擊和毆打。  我的時間不多了。  傷口很快就會奪走我的生命，除非你幫我！ 給我一些人參，我可以治癒我的傷口！  請幫我…||||Aidez-moi ! Je m'appelle [c_lime]Anita[c_reset], je suis herboriste à [c_aqua]Danethorpe[c_reset]. J'allais cueillir des herbes quand j'ai été attaquée et gravement blessée par un grizzli. iIl ne me reste plus beaucoup de temps à vivre, les blessures vont bientôt m'emporter, à moins que vous ne m'aidiez ! Apportez-moi de la [c_yellow]racine de ginseng [c_reset] et je pourrai soigner mes blessures ! Je vous en prie, aidez-moi...
anita_chain_1_complete|You did it! Thank you so much. I'll be heading back to Danathorpe to fully recover, but I have another task for you later, if you don't mind helping a lady in distress a little bit more.||Você conseguiu! Muito obrigada. Vou voltar para Danethorpe para me recuperar totalmente, mas tenho outra tarefa para você mais tarde, se não se importar em ajudar um pouco mais uma dama em perigo.|У тебя получилось! Большое тебе спасибо. Я возвращаюсь в Данаторп, чтобы полностью восстановиться, но позже у меня есть для вас другое задание, если вы не возражаете еще немного помочь даме, попавшей в беду.|你做到了！  非常感谢。  我將返​​回鄧恩斯洛普完全康復，  但稍後我還有另一項任務交給你，  如果你不介意多幫助一位陷入困境的女士的話。||||Vous avez réussi ! Merci beaucoup. Je vais rentrer à [c_aqua]Danathorpe[c_reset] pour me rétablir, mais j'ai une autre tâche à vous confier plus tard, si vous voulez bien aider un peu plus une dame en détresse.
