|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
inc_armor_break_onhit|Armor Break Inflicted on hit||Quebra de armadura aplicada ao atingir.|Наложение эффекта пробития брони при попадании|命中時造成護甲破壞|アーマーブレイク効果付與命中|적중 시 방어구 감소 효과 부여|Rüstungsbruch beim Treffer|Brise-armure appliquée à l'impact.|Ruptura de armadura aplicada al golpear|Przebicie Pancerza zadawane przy trafieniu
inc_elemental_break_onhit|Elemental Break Inflicted on hit||Quebra elemental aplicada ao atingir.|Наложение эффекта пробития стихии при попадании|命中時造成元素破壞|命中時に属性破壊を付與|적중 시 속성 파괴 효과 부여|Elementarbruch beim Treffer|Brise-élément appliquée à l'impact.|Ruptura elemental aplicada al golpear|Przebicie Żywiołowe zadawane przy trafieniu
inc_poisoned_chance_onhit|Chance to inflict Poisoned on hit||Chance de infligir envenenamento ao atingir.|Шанс наложить эффект отравления при попадании|機率命中時造成中毒|命中時に毒を付與する確率|적중 시 일정 확률로 중독 효과 부여|Chance, bei Treffer Vergiftung zu verursachen|Chance d'empoisonner à l'impact.|Probabilidad de infligir veneno al golpear|Szansa na zadanie Zatrucia przy trafieniu
inc_poisoned_damage|Increased Poisoned Damage||Aumento do dano de envenenamento.|Увеличенный урон от отравления|中毒傷害|毒ダメージ増加|중독 데미지 증가|Erhöhter Vergiftungsschaden|Dégâts de poison augmentés.|Daño por veneno aumentado|Zwiększone Obrażenia Zatrucia
inc_poisoned_stacks|to Maximum Poisoned Stacks||Até o máximo de acúmulos de envenenamento.|до максимального количества стаков отравления|最大中毒層數|毒スタック最大数増加 |최대 중독 중첩까지|bis zu maximalen Vergiftungsstapeln|Jusqu'au maximum des cumuls de poison.|a las acumulaciones máximas de veneno|do Maksymalnej Liczby Stacków Zatrucia
inc_poisoned_frequency|Increased Poisoned Frequency||Aumento da frequência de envenenamento.|Увеличенная частота отравления|中毒頻率|毒付與頻度増加|중독 빈도 증가|Erhöhte Vergiftungshäufigkeit|Fréquence d'empoisonnement augmentée.|Frecuencia de veneno aumentada|Zwiększona Częstotliwość Zatrucia
inc_burning_chance_onhit|Chance to inflict Burning on hit||Chance de infligir queimadura ao atingir.|Шанс наложить эффект горения при попадании|機率命中時造成燃燒|命中時に燃焼を付與する確率増加|적중 시 일정 확률로 화상 효과 부여|Chance, bei Treffer Verbrennung zu verursachen|Chance d'infliger des brûlures à l'impact.|Probabilidad de infligir quemadura al golpear|Szansa na zadanie Palenia przy trafieniu
inc_burning_damage|Increased Burning Damage||Aumento do dano de queimadura.|Увеличенный урон от горения|燃燒傷害|燃焼ダメージ増加|화상 데미지 증가|Erhöhter Verbrennungsschaden|Dégâts de brûlure augmentés.|Daño por quemadura aumentado|Zwiększone Obrażenia Palenia
inc_burning_stacks|to Maximum Burning Stacks||Aumento do acúmulo de queimadura.|до максимального количества стаков горения|最大燃燒層數|燃焼スタック最大数増加|최대 화상 중첩까지|bis zu maximalen Verbrennungsstapeln|Cumul de brûlure augmenté.|a las acumulaciones máximas de quemadura|do Maksymalnej Liczby Stacków Palenia
inc_stasis_chance_onhit|Chance to inflict Stasis on hit||Chance de infligir estase ao atingir.|Шанс наложить эффект стазиса при попадании|機率命中時造成静滞|命中時に静止状態を付與する確率増加|적중 시 일정 확률로 정체 효과 부여|Chance, bei Treffer Stasis zu verursachen|Chance d'infliger la stase à l'impact.|Probabilidad de infligir estasis al golpear|Szansa na zadanie Stasis przy trafieniu
inc_stasis_damage|Increased Stasis Damage||Aumento do dano de estase.|Увеличенный урон от стазиса|静滞傷害|静止ダメージ増加|정체 데미지 증가|Erhöhter Stasisschaden|Dégâts de stase augmentés.|Daño por estasis aumentado|Zwiększone Obrażenia Stasis
inc_stasis_stacks|to Maximum Stasis Stacks||Aumento do acúmulo de estase.|до максимального количества стаков стазиса|最大静滞層數|静止スタック最大数増加|최대 정체 중첩까지|bis zu maximalen Stasisstapeln|Cumul de stase augmenté.|a las acumulaciones máximas de estasis|do Maksymalnej Liczby Stacków Stasis
inc_ailment_damage|Increased Ailment Damage||Aumento do dano de aflição.|Увеличенный урон от негативных эффектов|持續傷害|状態異常ダメージ増加|상태 이상 데미지 증가|Erhöhter Leidensschaden|Dégâts d'affaiblissement augmentés.|Daño de estados alterados aumentado|Zwiększone Obrażenia Dolegliwości
inc_ailment_frequency|Increased Ailment Tick Frequency||Aumento da frequência de aplicação de aflição.|Увеличенная частота срабатывания негативных эффектов|持續傷害跳動頻率|状態異常ティック頻度増加|상태 이상 틱 빈도 증가|Erhöhte Leidens-Tick-Frequenz|Fréquence d'application d'affaiblissement augmentée.|Frecuencia de estados alterados aumentada|Zwiększona Częstotliwość Ticków Dolegliwości
inc_forking_projectile_chance|Chance for Projectiles to Fork||Chance de projéteis se bifurcarem.|Шанс на разветвление снарядов|投射物有機率分裂|投射物が分岐する確率増加|투사체 갈래 확률|Chance, dass sich Projektile verzweigen|Chance de division des projectiles.|Probabilidad de que los proyectiles se bifurquen|Szansa na Rozwidlenie Pocisków
inc_forking_projectile_extra|Extra Forking Projectile||Projétil bifurcado extra.|Дополнительное разветвление Снаряд|額外分裂投射物|分岐する投射物追加|추가 갈래 투사체|Zusätzliches verzweigendes Projektil|Projectile divisé supplémentaire.|Proyectil bifurcado adicional|Dodatkowy Rozwidlający Się Pocisk
inc_extra_projectile_ranged|Extra Projectile Fired with Ranged Attacks||Projétil extra disparado com ataques à distância.|Дополнительный снаряд, выпущенный при атаках дальнего боя|遠程攻擊額外發射投射物|遠距離攻撃で発射される投射物追加|원거리 공격 시 추가 투사체 발사|Zusätzliches Projektil bei Fernkampfangriffen|Projectile supplémentaire tiré avec les attaques à distance.|Proyectil adicional disparado con ataques a distancia.|Dodatkowy Pocisk Wystrzeliwany przy Atakach Dystansowych
inc_combat_mitigation_struck|Damage Mitigation for a short duration when struck||Redução de dano por um curto período ao ser atingido.|Снижение урона на короткое время при попадании|受到攻擊時短暫獲得的傷害減免|被弾時に短時間ダメージ軽減|피격 시 짧은 시간 동안 데미지 감소 효과 부여|Schadensreduktion für kurze Zeit bei Treffer|Réduction des dégâts pendant une courte période à l'impact.|Mitigación de daño durante un breve periodo al ser golpeado|Łagodzenie Obrażeń na krótki czas przy trafieniu
inc_combat_mitigation_stacks|to Maximum Combat Mitigation Stacks||Até o máximo de acúmulos de redução de dano em combate.|до максимального количества стаков снижения урона в бою|最大戰鬥減免層數|戦闘軽減スタック最大数増加|최대 전투 데미지 감소 중첩|bis zu maximalen Kampfreduktionsstapeln|Jusqu'au maximum des cumuls de réduction des dégâts en combat.|a las acumulaciones máximas de mitigación de combate|do Maksymalnej Liczby Stacków Łagodzenia Walki
inc_all_attributes_p|Increased All Attributes||Aumento de todos os atributos.|Увеличение всех характеристик|全属性提高|全属性増加|모든 능력치 증가|Erhöhte Attribute|Augmentation de toutes les caractéristiques. |Todos los atributos aumentados|Zwiększone Wszystkie Atrybuty
inc_vampiric_touch|Chance to replenish 150 life and 75 mana on hit with ranged attacks||Chance de recuperar 150 de vida e 75 de mana ao acertar com ataques à distância|Шанс восстановить 150 здоровья и 75 маны при попадании атаками дальнего боя|機率遠程攻擊命中時回復150生命與75法力|遠距離攻撃命中時にライフ150とマナ75を回復する確率増加|원거리 공격 적중 시 일정 확률로 생명력 150, 마나 75 회복|Chance, bei Treffer mit Fernkampfangriffen 150 Leben und 75 Mana wiederherzustellen|Chance de récupérer 150 points de vie et 75 points de mana lors d'attaques à distance réussies.|Probabilidad de recuperar 150 de vida y 75 de maná al golpear con ataques a distancia|Szansa na uzupełnienie 150 życia i 75 many przy trafieniu atakiem dystansowym
inc_ramping_pulse|Chance on explosion or area of effect skill to gain a stack of Ramping Pulse increasing the radius of area of effect and explosion skills||Chance de habilidades de explosão ou área de efeito ganhar um acúmulo de Pulso Acelerado, aumentando o raio de habilidades de área de efeito e explosão|Шанс получить стак «Ускоряющегося импульса» при взрыве или использовании навыка области действия, увеличивающий радиус действия навыков области действия и взрыва|機率爆炸或範圍效果技能命中時有獲得一層脈衝增强，提高範圍效果與爆炸技能的半徑|爆発または範囲攻撃スキル命中時に、範囲攻撃と爆発スキルの半徑を拡大する「ランピングパルス」スタックを獲得する確率増加|폭발 또는 범위 스킬 사용 시 범위 및 폭발 스킬의 반경을 증가시키는 램핑 펄스 중첩 획득|Chance bei Explosionen oder Flächenangriffen, einen Stapel von „Ansteigender Impuls“ zu erhalten, der den Radius von Flächen- und Explosionsfertigkeiten erhöht|Chance pour les compétences de zone de gagner un effet d'Impulsion accélérée, augmentant leur rayon d'action. |Probabilidad de obtener Pulso Creciente al usar habilidades de área o explosión, aumentando su radio|Szansa przy wybuchu lub umiejętności obszarowej na zyskanie stacka Ramping Pulse zwiększającego promień umiejętności obszarowych i wybuchowych
inc_maximum_stacks|Maximum Stacks||Acúmulos Máximos|Максимальное количество стаков|最大層數|最大スタック|최대 중첩|Maximale Stapel|Accumulation maximale. |Máximo de acumulaciones|Maksymalna Liczba Stacków
inc_ethers_pull|Chance on hit for Area of Effect skills to pull monsters in||Chance de habilidades de área de efeito puxarem monstros ao acertar|Шанс при попадании навыками области действия притягивать монстров|機率範圍效果技能命中時將怪物拉向自己|範囲攻撃スキル命中時にモンスターを引き寄せる確率増加|광역 스킬 적중 시 몬스터 끌어당기기 확률|Chance bei Treffern mit Flächenangriffen, Monster heranzuziehen in|Chance d'attirer les monstres à l'impact avec les capacités de zone.|Probabilidad de que las habilidades de área atraigan monstruos al golpear|Szansa przy trafieniu umiejętnościami obszarowymi na przyciągnięcie potworów
inc_orbital_damage|Increased Orbiting Skill Damage||Aumento do dano de habilidades orbitais|Увеличение урона от навыка «Орбитальный удар»|環繞技能傷害|オービティングスキルダメージ増加|선회 스킬 데미지 증가|Erhöhter Schaden der Orbit-Fertigkeit|Dégâts accrus des capacités orbitales.|Daño de habilidades orbitales aumentado|Zwiększone Obrażenia Umiejętności Orbitalnych
inc_orbital_speed|Increased Orbiting Skill Speed||Aumento da velocidade de habilidades orbitais|Увеличение скорости навыка «Орбитальный удар»|環繞技能速度|オービティングスキル速度増加|선회 스킬 속도 증가|Erhöhte Geschwindigkeit der Orbit-Fertigkeit|Vitesse accrue des capacités orbitales. |Velocidad de habilidades orbitales aumentada|Zwiększona Prędkość Umiejętności Orbitalnych
inc_orbital_size|Increased Orbiting Skill Size||Aumento do tamanho da habilidade orbital|Увеличение размера навыка «Орбитальный удар»|環繞技能大小|増加オービティングスキルのサイズ増加|선회 스킬 사이즈 증가|Erhöhte Größe der Orbit-Fertigkeit|Augmentation de la taille de la capacité orbitale.|Tamaño de habilidades orbitales aumentado|Zwiększony Rozmiar Umiejętności Orbitalnych
inc_orbital_duration|Increased Orbiting Skill Duration||Aumento da duração da habilidade orbital|Увеличение длительности навыка «Орбитальный удар»|環繞技能持續時間|オービティングスキルの持續時間増加|선회 스킬 지속 시간 증가|Erhöhte Dauer der Orbit-Fertigkeit|Augmentation de la durée de la capacité orbitale. |Duración de habilidades orbitales aumentada|Zwiększony Czas Trwania Umiejętności Orbitalnych
inc_total_attack_speed_crit_chance_below|Increased Total Attack Speed when Critical Strike Chance is below 40%||Aumento da velocidade de ataque total quando a chance de acerto crítico for inferior a 40%|Увеличение общей скорости атаки, когда шанс критического удара ниже 40%|總攻擊速度，當暴擊率低於40%時。|クリティカル発生率が40%未満の場合、総攻撃速度増加|치명타 확률이 40% 이하일 때 총 공격 속도 증가 |Erhöhte Gesamtangriffsgeschwindigkeit, wenn die kritische Trefferchance unter 40 % liegt|Vitesse d'attaque totale augmentée lorsque les chances de coup critique sont inférieures à 40 %|Velocidad de ataque total aumentada con menos del 40% de probabilidad de crítico|Zwiększona Całkowita Szybkość Ataku gdy Szansa na Trafienie Krytyczne jest poniżej 40%
inc_ranged_projectile_damage_crit_chance_below|Increased Ranged Projectile Damage when Critical Strike Chance is below 40%||Aumento do dano de projéteis à distância quando a chance de acerto crítico for inferior a 40%|Увеличение урона от снарядов дальнего боя, когда шанс критического удара ниже 40%|遠程投射物傷害，當暴擊幾率低於40%時|クリティカル発生率が40%未満の場合、遠距離投射物のダメージ増加|치명타 확률이 40% 이하일 때 원거리 투사체 데미지 증가|Erhöhter Fernkampfschaden, wenn die kritische Trefferchance unter 40 % liegt|Dégâts des projectiles à distance augmentés lorsque les chances de coup critique sont inférieures à 40 %|Daño de proyectiles a distancia aumentado con menos del 40% de probabilidad de crítico|Zwiększone Obrażenia Pocisków Dystansowych gdy Szansa na Trafienie Krytyczne jest poniżej 40%
inc_risky_hunting|Increased Attack Speed & Damage and Decreased Damage Reduction & All Resistances||Aumento da velocidade e do dano de ataque e redução da redução de dano e de todas as resistências|Увеличение скорости и урона атаки и снижение снижения урона и всех сопротивлений|攻擊速度與傷害，傷害減免與全抗性降低|攻撃速度とダメージ増加、ダメージ軽減と全耐性減少|공격 속도 및 데미지 증가, 데미지 감소 및 모든 저항 감소|Erhöhte Angriffsgeschwindigkeit und -schaden sowie verringerte Schadensreduktion und alle Resistenzen|Vitesse d'attaque et dégâts augmentés, réduction des dégâts et de toutes les résistances|Velocidad y daño de ataque aumentados; mitigación y resistencias reducidas|Zwiększona Szybkość Ataku & Obrażenia oraz Zmniejszone Zmniejszenie Obrażeń & Wszystkie Odporności
inc_hunters_resilience|Increased Attack Speed & Damage and Increased Damage Reduction & All Resistances||Aumento da velocidade e do dano de ataque e aumento da redução de dano e de todas as resistências|Увеличение скорости и урона атаки и Увеличенное снижение урона и все сопротивления|攻擊速度、傷害、傷害減免、全抗性|攻撃速度とダメージ増加、ダメージ軽減と全耐性増加|공격 속도 및 데미지 증가, 데미지 감소 및 모든 저항 증가|Erhöhte Angriffsgeschwindigkeit und -schaden sowie erhöhte Schadensreduktion und alle Resistenzen|Vitesse d'attaque et dégâts augmentés, réduction des dégâts et de toutes les résistances augmentées|Velocidad, daño de ataque, mitigación y resistencias aumentadas|Zwiększona Szybkość Ataku & Obrażenia oraz Zwiększone Zmniejszenie Obrażeń & Wszystkie Odporności
inc_jump_power|Increased Jump Power||Aumento do poder de salto|Увеличенная сила прыжка|跳躍力量提高|ジャンプ力増加|점프력 증가|Erhöhte Sprungkraft|Puissance de saut augmentée|Potencia de salto aumentada|Zwiększona Moc Skoku
inc_double_jump|Extra Jump that can be performed mid air||Salto extra que pode ser realizado no ar|Дополнительный прыжок, который можно выполнить в воздухе|可在空中額外進行一次跳躍|空中での追加ジャンプ|공중에서 추가 점프 가능|Zusätzlicher Sprung, der in der Luft ausgeführt werden kann|Saut supplémentaire possible en l'air|Salto adicional en el aire|Dodatkowy Skok wykonywany w powietrzu
inc_stun_duration|Stun Duration||Duração do atordoamento|Длительность оглушения|昏迷持續時間|スタン持續時間|기절 지속 시간|Betäubungsdauer|Durée d'étourdissement |Duración del aturdimiento|Czas Ogłuszenia
inc_hit_recovery|Increased Hit Recovery||Aumento da recuperação de acerto|Увеличенное восстановление после удара|擊中回復|ヒットリカバリー増加|피격 후 빠른 회복 시간 증가|Erhöhte Treffererholung|Récupération après coup améliorée|Recuperación tras golpe aumentada|Zwiększone Odzyskanie po Trafieniu
inc_evasion_chance_struck|Chance to gain 100% Evasion for a short duration after being hit||Chance de ganhar 100% de evasão por um curto período após ser atingido|Шанс получить 100% уклонения на короткое время после получения удара|機率在受到攻擊後短暫獲得100%的閃避率|被弾後、短時間回避率100%を獲得する確率|피격 후 짧은 시간 동안 100% 회피 확률 증가|Chance, nach einem Treffer für kurze Zeit 100 % Ausweichen zu erhalten|Chance d'obtenir 100 % d'esquive pendant une courte période après avoir été touché|Probabilidad de obtener 100% de evasión brevemente tras ser golpeado|Szansa na uzyskanie 100% Uniku na krótki czas po trafieniu
inc_evasion_duration|Evasion Duration||Duração da evasão|Длительность уклонения|閃避持續時間|回避持續時間|회피 지속 시간|Ausweichdauer|Durée de l'esquive|Duración de la evasión|Czas Trwania Uniku
inc_phys_conv_poison|of Physical Damage converted to Poison||de dano físico convertido em veneno|от физического урона, преобразованного в яд|物理傷害轉為毒素|物理ダメージの一定割合を毒に変換|물리 데미지를 독으로 전환|von physischem Schaden in Giftschaden umgewandelt|Dégâts physiques convertis en poison|de daño físico convertido en veneno|Część Obrażeń Fizycznych przekonwertowana na Truciznę
inc_phys_conv_cold|of Physical Damage converted to Cold||de Dano Físico convertido para Frio|от физического урона, преобразованного в холод|物理傷害轉為冰霜|物理ダメージの一定割合を冷気に変換|물리 데미지를 냉기로 전환|von physischem Schaden in Kälteschaden umgewandelt|Dégâts physiques convertis en froid|de daño físico convertido en frío|Część Obrażeń Fizycznych przekonwertowana na Zimno
inc_phys_conv_fire|of Physical Damage converted to Fire||Dano Físico convertido para Fogo|от физического урона, преобразованного в огонь|物理傷害轉為火焰|物理ダメージの一定割合を炎に変換 |물리 데미지를 불로 전환|von physischem Schaden in Feuerschaden umgewandelt|Dégâts physiques convertis en feu |de daño físico convertido en fuego|Część Obrażeń Fizycznych przekonwertowana na Ogień
inc_phys_conv_lightning|of Physical Damage converted to Lightning||Dano Físico convertido para Relâmpago|от физического урона, преобразованного в молнию|物理傷害轉為閃電|物理ダメージの一定割合を雷に変換 |물리 데미지를 번개로 전환|von physischem Schaden in Blitzschaden umgewandelt|Dégâts physiques convertis en foudre|de daño físico convertido en rayo|Część Obrażeń Fizycznych przekonwertowana na Błyskawice
inc_phys_conv_arcane|of Physical Damage converted to Arcane||Dano Físico convertido para Arcano|от физического урона, преобразованного в магию|物理傷害轉為奥術|物理ダメージの一定割合を秘術に変換 |물리 데미지를 아케인으로 전환|von physischem Schaden in Arkanschaden umgewandelt|Dégâts physiques convertis en arcanes|de daño físico convertido en arcano|Część Obrażeń Fizycznych przekonwertowana na Arkaniczne
inc_projectile_damage_ranged_bow|Increased Ranged Projectile Damage when using a Bow||Aumento do Dano de Projéteis à Distância ao usar um Arco|Увеличенный урон от дальнобойных снарядов при использовании лука|使用弓箭時遠程投射物傷害|弓使用時、遠距離投射ダメージ増加|활 사용 시 원거리 투사체 데미지 증가|Erhöhter Fernkampfschaden mit Bogen|Dégâts des projectiles à distance augmentés avec un arc|Daño de proyectiles a distancia aumentado al usar un arco|Zwiększone Obrażenia Pocisków Dystansowych przy użyciu Łuku
inc_enhanced_damage_ranged_bow|to Enhanced Damage when using Bow||Dano Aprimorado ao usar um Arco|до усиленного урона при использовании лука|增强傷害，當使用弓箭時|弓使用時、強化ダメージに変換|활 사용 시 강화된 데미지로 전환|zu erhöhtem Schaden mit Bogen|Dégâts augmentés avec un arc|al daño mejorado al usar un arco|do Zwiększonych Obrażeń przy użyciu Łuku
inc_projectile_damage_ranged_gun|Increased Projectile Damage when using a Gun||Dano de Projéteis aumentado ao usar uma Arma de Fogo|Увеличенный урон от снарядов при использовании огнестрельного оружия|投射物傷害，當使用槍械時|銃使用時、投射ダメージ増加|총 사용 시 투사체 데미지 증가|Erhöhter Projektilschaden mit Schusswaffe|Dégâts des projectiles augmentés avec une arme à feu|Daño de proyectiles aumentado al usar un arma de fuego|Zwiększone Obrażenia Pocisków przy użyciu Broni Palnej
inc_enhanced_damage_ranged_gun|to Enhanced Damage when using Gun||Dano Aprimorado ao usar uma Arma de Fogo|до усиленного урона при использовании огнестрельного оружия|增强傷害，當使用槍械時|銃使用時、強化ダメージに変換|총 사용 시 강화된 데미지로 전환|zu erhöhtem Schaden mit Schusswaffe|Dégâts augmentés avec une arme à feu|al daño mejorado al usar un arma de fuego|do Zwiększonych Obrażeń przy użyciu Broni Palnej
inc_projectile_damage_ranged_throwing|Increased Projectile Damage when using a Throwing Weapon||Dano de Projéteis aumentado ao usar uma Arma de Arremesso|Увеличенный урон от снарядов при использовании метательного оружия|投射物傷害，當使用投擲武器時|投擲武器使用時、投射ダメージ増加|투척 무기 사용 시 투사체 데미지 증가|Erhöhter Projektilschaden mit Wurfwaffe|Dégâts des projectiles augmentés avec une arme de jet|Daño de proyectiles aumentado al usar un arma arrojadiza|Zwiększone Obrażenia Pocisków przy użyciu Broni Miotanej
inc_enhanced_damage_ranged_throwing|to Enhanced Damage when using Throwing Weapon||Dano Aprimorado ao usar uma Arma de Arremesso|до усиленного урона при использовании метательного оружия|增强傷害，當使用投擲武器時|投擲武器使用時、強化ダメージに変換|투척 무기 사용 시 강화된 데미지로 전환|zu erhöhtem Schaden mit Wurfwaffe|Dégâts augmentés avec une arme de jet |al daño mejorado al usar un arma arrojadiza|do Zwiększonych Obrażeń przy użyciu Broni Miotanej
inc_explosion_aoe|Increased Explosion area of effect radius||Raio da área de efeito da explosão aumentado|Увеличенный радиус зоны поражения взрыва|爆炸範圍效果半徑|爆発範囲効果半徑増加|폭발 범위 증가|Vergrößerter Wirkungsbereich der Explosion|Rayon de la zone d'explosion augmenté|Radio de área de explosión aumentado|Zwiększony promień obszaru wybuchu
inc_explosion_damage|Increased Explosion damage||Dano da explosão aumentado|Увеличенный урон от взрыва|爆炸傷害|爆発ダメージ増加|폭발 데미지 증가|Erhöhter Explosionsschaden|Dégâts de l'explosion augmentés|Daño de explosión aumentado|Zwiększone obrażenia wybuchu
inc_extra_explosion_chance|Chance to cause monsters damaged by an explosion to unleash an additional explosion||Chance de fazer com que monstros atingidos por uma explosão liberem uma explosão adicional|Шанс заставить монстров, получивших урон от взрыва, произвести дополнительный взрыв|機率被爆炸傷害的怪物會釋放額外的爆炸|爆発でダメージを受けたモンスターに追加爆発を起こさせる確率|폭발로 인한 피해를 입은 몬스터들이 추가 폭발 확률|Chance, dass von einer Explosion getroffene Monster eine zusätzliche Explosion auslösen|Chance de déclencher une explosion supplémentaire sur les monstres touchés par une explosion|Probabilidad de que una explosión genere una explosión adicional al golpear|Szansa na to, że potwory uszkodzone wybuchem wyzwolą dodatkowy wybuch
inc_explosion_aoe_conv_explosion_damage|of Explosion Area of Effect radius converted to Explosion Damage||Raio da área de efeito da explosão convertido para Dano da explosão|радиус зоны поражения взрыва, преобразованный в урон от взрыва |爆炸範圍效果半徑轉為爆炸傷害|爆発範囲効果半徑が爆発ダメージに変換|폭발 범위를 폭발 데미지로 전환|von Explosionswirkungsbereich in Explosionsschaden umgewandelt|Rayon de la zone d'explosion converti en dégâts d'explosion|del radio de explosión convertido en daño de explosión|Część Promienia Obszaru Wybuchu konwertowana na Obrażenia Wybuchu
inc_ranged_physical_damage_per_mana|Increased Ranged Physical Damage per 500 mana||Dano Físico à Distância aumentado por 500 de mana|Увеличение физического урона от дальнего боя за каждые 500 маны|遠程物理傷害，當法力每500數值時|500マナごとに遠距離物理ダメージ増加|마나 500당 원거리 물리 데미지가 증가|Erhöhter Fernkampfschaden pro 500 Mana|Dégâts physiques à distance augmentés de 500 mana|Daño físico a distancia aumentado por cada 500 de maná|Zwiększone Obrażenia Fizyczne Dystansowe na 500 many
inc_energy_added_ranged_physical_damage|of Energy is Added as Ranged Physical Damage||Energia adicionada como Dano Físico à Distância|энергия добавляется в качестве физического урона от дальнего боя|的能量值增加為遠程物理傷害|エネルギーが遠距離物理ダメージとして追加|에너지의 일부가 원거리 물리 데미지로 추가|von Energie wird als Fernkampfschaden hinzugefügt|Énergie ajoutée aux dégâts physiques à distance|de energía añadida como daño físico a distancia|Energii dodawanej jako Obrażenia Fizyczne Dystansowe
inc_homing_missile_chance|Chance when attacking to fire a homing missile||Chance de disparar um míssil teleguiado ao atacar|Шанс при атаке выпустить самонаводящуюся ракету|攻擊時有幾率發射追蹤導彈|攻撃時にホーミングミサイルを発射する確率|공격 시 유도 미사일을 발사할 확률|Chance, beim Angriff eine zielsuchende Rakete abzufeuern|Chance de tirer un missile à tête chercheuse lors d'une attaque|Probabilidad de disparar un misil teledirigido al atacar|Szansa przy atakowaniu na wystrzelenie samonaprowadzającego się pocisku
inc_homing_missile_damage|Increased Homing Missile Damage||Dano do míssil teleguiado aumentado|Увеличенный урон от самонаводящихся ракет|追蹤導彈傷害提高|ホーミングミサイルダメージ増加|유도 미사일 데미지 증가|Erhöhter Schaden zielsuchender Raketen|Dégâts du missile à tête chercheuse augmentés |Daño de misil teledirigido aumentado|Zwiększone Obrażenia Samonaprowadzającego Się Pocisku
inc_homing_missile_shockwave_chance|Chance for homing missiles to unleash a shockwave of explosions||Chance de mísseis teleguiados liberarem uma onda de choque de explosões|Шанс на то, что самонаводящиеся ракеты вызовут ударную волну взрывов|機率追蹤導彈會释放爆炸衝擊波|ホーミングミサイルが爆発の衝撃波を放つ確率|유도 미사일이 폭발 충격파를 발생시킬 확률|Chance, dass zielsuchende Raketen eine Schockwelle von Explosionen auslösen|Chance pour les missiles à tête chercheuse de déclencher une onde de choc explosive|Probabilidad de que los misiles teledirigidos desaten una onda de explosiones|Szansa na wyzwolenie fali uderzeniowej wybuchów przez samonaprowadzające się pociski
inc_homing_missile_extra|additional Homing Missile||Míssil teleguiado adicional|дополнительная самонаводящаяся ракета|額外追蹤導彈|追加ホーミングミサイル|추가 유도 미사일|zusätzliche zielsuchende Rakete|Missile à tête chercheuse supplémentaire|misil teledirigido adicional|dodatkowy Samonaprowadzający Się Pocisk
inc_homing_missile_aoe|Increased Homing Missile Explosion area of effect radius||Raio da área de efeito da explosão do míssil teleguiado aumentado|Увеличен радиус поражения взрыва самонаводящейся ракеты|追蹤導彈爆炸範圍效果半徑提高|ホーミングミサイル爆発範囲効果半徑増加|유도 미사일 폭발 범위 효과 반경 증가|Erhöhte Explosionskraft zielsuchender Raketen Wirkungsbereichsradius|Rayon de la zone d'effet de l'explosion du missile à tête chercheuse augmenté|Radio de explosión del misil teledirigido aumentado|Zwiększony promień obszaru wybuchu samonaprowadzającego się pocisku
inc_evasion_chance|Chance to Evade incoming damage||Chance de evadir ataques recebidos dano|Шанс уклониться от входящего урона|機率閃避來襲傷害|被ダメージを回避する確率|받는 데미지 회피 확률|Chance, eingehendem Schaden auszuweichen|Chance d'esquiver les dégâts des attaques entrantes|Probabilidad de esquivar el daño recibido|Szansa na Unik przychodzących obrażeń
inc_life_replenish_evasion|of Maximum Life replenished when evading||de Vida Máxima restaurada ao se esquivar |максимальное количество здоровья, восстанавливаемое при уклонении|閃避時回復的最大生命|回避時に最大ライフが回復|회피 시 최대 생명력 회복|Maximales Leben wird beim Ausweichen wiederhergestellt|Vie maximale restaurée lors d'une esquive|de vida máxima restaurada al esquivar|Część Maksymalnego Życia odnawiana przy unikaniu
inc_evasive_tactics|of physical damage as Arrow Damage||de dano físico como Dano de Flecha|физический урон в виде урона от стрел|的物理傷害值增加為箭矢傷害|物理ダメージが矢ダメージとして増加|물리 데미지가 화살 데미지로 전환|Physischer Schaden wird als Pfeilschaden umgewandelt|Dégâts physiques (flèches, etc.)|de daño físico como daño de flecha|Część obrażeń fizycznych jako Obrażenia Strzału
inc_magic_damage_total|Increased Total Magic Skill Damage||Aumento do Dano Total de Habilidade Mágica|Увеличен общий урон от магических навыков|總魔法技能傷害|合計魔法スキルダメージ増加|총 마법 스킬 데미지 증가|Erhöhter Gesamtschaden der Magiefertigkeit|Dégâts magiques totaux augmentés|Daño total de habilidades mágicas aumentado|Zwiększone Całkowite Obrażenia Umiejętności Magicznych
inc_magic_damage_p|Increased Magic Skill Damage||Aumento do Dano de Habilidade Mágica|Увеличенный урон от магических навыков|魔法技能傷害提高|魔法スキルダメージ増加|마법 스킬 데미지 증가|Erhöhter Magiefertigkeitsschaden|Dégâts magiques augmentés|Daño de habilidades mágicas aumentado|Zwiększone Obrażenia Umiejętności Magicznych
inc_magic_damage_f|to Magic Skill Damage||para Dano de Habilidade Mágica|в виде урона от магических навыков|魔法技能傷害|魔法スキルダメージに|마법 스킬 데미지|zu Magiefertigkeitsschaden|Dégâts magiques augmentés |al daño de habilidades mágicas|do Obrażeń Umiejętności Magicznych
