|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
talent_desc_lethalTempo|Increases your attack speed and critical strike damage for a short period|Increases your attack speed and critical strike damage for a short period|Aumenta sua velocidade de ataque e dano de acerto crítico por um curto período.| Увеличивает скорость атаки и критический урон на короткий период.|短時間內提升你的攻擊速度與暴擊傷害. |攻撃速度とクリティカルヒットダメージが短時間上昇します。|짧은 시간 동안 공격 속도와 치명타 데미지가 증가합니다.|Erhöht kurzzeitig deine Angriffsgeschwindigkeit und deinen kritischen Trefferschaden.|Appelle l'artillerie et fait pleuvoir des flèches sur les monstres autour de la cible initiale, infligeant des dégâts physiques.|Aumenta tu velocidad de ataque y daño crítico durante un breve período|Przywołuje ogromną strzałę która wystrzeliwuje do przodu po krótkim opóźnieniu zadającą obrażenia Fizyczne obszarowe
talent_desc_artilleryAid|Call for the artillery, raining arrows to monsters around the initial target dealing physical damage|Call for the artillery, raining arrows to monsters around the initial target dealing physical damage|Chama a artilharia, lançando flechas em direção aos monstros ao redor do alvo inicial, causando dano físico.| Вызовите артиллерию|召喚大砲,向初始目標周圍的敵人發射雨一般的炮擊, 造成物理傷害|砲兵を呼び出し、最初のターゲットの周囲のモンスターに矢を降らせ、物理ダメージを与えます。|포병을 호출하여 초기 대상 주변의 몬스터에게 화살비를 쏟아부어 물리 데미지를 줍니다.|Ruft die Artillerie herbei und lasst Pfeile auf Monster um das ursprüngliche Ziel regnen, die physischen Schaden verursachen.|Lance un énorme baril de poudre à canon qui explose à l'atterrissage, infligeant des dégâts de feu et laissant le sol en feu. |Llama a la artillería, haciendo llover flechas sobre los monstruos alrededor del objetivo inicial infligiendo daño físico|Zwiększa twoją prędkość ataku i obrażenia krytyczne na krótki czas
talent_desc_powderKeg|Throw a huge keg of gunpowder exploding upon landing dealing fire damage and leaving the ground burning.|Throw a huge keg of gunpowder exploding upon landing dealing fire damage and leaving the ground burning.|Lança um enorme barril de pólvora que explode ao atingir o alvo, causando dano de fogo e deixando o chão em chamas. | Бросьте огромную бочку с порохом, которая взорвется при приземлении, нанося урон от огня и оставляя землю горящей.|投擲一大桶火藥, 落地時爆炸造成火焰傷害, 並使地面燃燒|巨大な火薬樽を投げ、着地時に爆発させて火炎ダメージを与え、地面を燃え上がらせます。 |화약통을 던져 착지 시 폭발하며 화염 데미지를 주고 땅을 불태웁니다.|Wirft ein riesiges Fass Schießpulver, das bei der Landung explodiert, Feuerschaden verursacht und den Boden in Flammen aufgehen lässt.||Lanza un enorme barril de pólvora que explota al aterrizar infligiendo daño de fuego y dejando el suelo ardiendo.|Wezwij artylerię deszczującą strzałami na potwory wokół początkowego celu zadającą obrażenia fizyczne
talent_desc_mageFury|Chance on cast to unleash arcane explosions on monsters around you dealing arcane damage.|Chance on cast to unleash arcane explosions on monsters around you dealing arcane damage.|Libera explosões arcanas em monstros ao redor do alvo inicial, causando dano arcano.| Выпускайте магические взрывы на монстров вокруг первоначальной цели, нанося урон магией арканы.|施法時，有機率使你周圍的怪物引爆奧術爆炸，造成奧術傷害。|初期ターゲットの周囲のモンスターに秘術の爆発を放ち、秘術ダメージを与える。|초기 대상 주변의 몬스터에게 아케인 폭발을 일으켜 아케인 데미지를 줍니다.|Entfesselt arkane Explosionen auf Monster im Umkreis des ursprünglichen Ziels und verursacht arkanen Schaden.|Déchaîne des explosions arcaniques sur les monstres autour de la cible initiale, infligeant des dégâts arcaniques.|Probabilidad al lanzar de liberar explosiones arcanas sobre los monstruos a tu alrededor que infligen daño arcano.|Rzuć ogromnym keg prochu eksplodującym przy lądowaniu zadającym obrażenia fire i zostawiającym ziemię palącą się.
talent_desc_conjuredHex|Curses all monsters in target location to be Hexed and Breaking their Arcane Resistances|Curses all monsters in target location to be Hexed and Breaking their Arcane Resistances|Amaldiçoa todos os monstros no local alvo, fazendo-os enfeitiçar e quebrando suas resistências arcanas.| Проклинает всех монстров в указанном месте, накладывая проклятие и разрушая их сопротивление тайной магии.|詛咒目標位置的所有怪物, 使其受到詛咒, 並降低其奧術抗性|ターゲット地点にいる全てのモンスターに呪いをかけ、秘術耐性を破壊させる。|대상 지역의 모든 몬스터에게 저주를 걸어 헥스 상태로 만들고, 아케인 저항력을 감소시킵니다.|Verflucht alle Monster im Zielgebiet und zerstört ihre arkanen Resistenzen.|Maudit tous les monstres à l'emplacement ciblé, les ensorcelle et brise leurs résistances aux arcanes.|Maldice a todos los monstruos en la ubicación objetivo para que estén Hexeados y Rompe sus Resistencias Arcanas|Szansa przy rzuceniu na uwolnienie eksplozji arcane na potworach wokół ciebie zadających obrażenia arcane.
talent_desc_wizardsWrath|Increases your cast rate and arcane damage for a short period|Increases your cast rate and arcane damage for a short period|Aumenta sua taxa de conjuração e dano arcano por um curto período.| Увеличивает скорость произнесения заклинаний и урон от тайной магии на короткий период.|短時間內提高你的施法速度和奧術傷害|詠唱速度と秘術ダメージを短時間増加させる。|짧은 시간 동안 시전 속도와 아케인 데미지가 증가합니다.|Erhöht eure Zauberrate und euren arkanen Schaden für kurze Zeit.|Augmente votre taux d'incantation et vos dégâts arcaniques pendant une courte période.|Aumenta tu velocidad de lanzamiento y daño arcano durante un breve período|Przeklnij wszystkie potwory w miejscu celu aby były Hexed i Przełamywały ich Odporności Arcane
talent_desc_mysticOrb|Summon a Mystic Orb which pulsates dealing arcane damage to monsters and Replenishing Mana for allies|Summon a Mystic Orb which pulsates dealing arcane damage to monsters and Replenishing Mana for allies|Invoca um Orbe Místico que pulsa, causando dano arcano a monstros e reabastecendo Mana para aliados.| Призывает мистическую сферу, которая пульсирует, нанося магический урон монстрам и восполняя ману союзникам.|召喚一個神秘球, 它會向敵人造成奧術傷害, 並為隊友恢復法力|脈動しながらモンスターに秘術ダメージを与え、味方のマナを回復するミスティックオーブを召喚する。|미스틱 오브를 소환하여 주기적으로 아케인 데미지를 입히고 아군의 마나를 회복시킵니다.|Beschwört eine mystische Kugel, die pulsiert, Monstern arkanen Schaden zufügt und Verbündeten Mana regeneriert.|Invoque un orbe mystique qui vibre, infligeant des dégâts arcaniques aux monstres et réapprovisionnant le mana de vos alliés.|Invoca un Orbe Místico que pulsa infligiendo daño arcano a los monstruos y Reabasteciendo Maná a los aliados|Zwiększa twoją szybkość rzucania i obrażenia arcane na krótki czas
talent_desc_deathsAnguish|Summons a malevolent Skull from a corpse, homing into the nearest monster dealing Arcane area of effect damage|Summons a malevolent Skull from a corpse, homing into the nearest monster dealing Arcane area of effect damage|Invoca uma Caveira malévola de um cadáver, mirando no monstro mais próximo, causando dano de área de efeito arcano.| Вызывает злобный Череп из трупа.|從屍體中召喚一個邪惡骷髏, 朝最近的敵人發射, 成奧術範圍傷害|死体から悪意に満ちた髑髏を召喚し、最も近いモンスターにホーミングして秘術範囲ダメージを与える。|시체에서 악의적인 해골을 소환해 가장 가까운 몬스터에게 유도되어 날아가 아케인 광역 데미지를 줍니다.|Beschwört einen bösartigen Schädel aus einer Leiche, der sich auf das nächstgelegene Monster konzentriert und arkanen Flächenschaden verursacht.|Invoque un crâne malveillant depuis un cadavre, se dirigeant vers le monstre le plus proche et infligeant des dégâts de zone arcaniques.|Invoca un Cráneo malévolo desde un cadáver que se dirige al monstruo más cercano infligiendo daño arcano en área|Przywołaj Mystic Orb która pulsuje zadając obrażenia arcane potworom i Replenishing Manę dla sojuszników
talent_desc_touchOfDeath|Unleash the plague on monsters around target location dealing poison damage.|Unleash the plague on monsters around target location dealing poison damage.|Libera a praga em monstros ao redor do local alvo, causando dano de veneno.| Выпустите чуму на монстров вокруг выбранной локации, нанося урон ядом.|向目標位置周圍的敵人釋放瘟疫, 造成毒素傷害|ターゲット地点周辺のモンスターに疫病を放ち、毒ダメージを与える。|대상 지역 주변의 몬스터에게 역병을 퍼뜨려 독 데미지를 줍니다.|Entfesselt die Seuche auf Monster im Umkreis des Zielgebiets und verursacht Giftschaden.|Déchaîne la peste sur les monstres autour de l'emplacement ciblé, infligeant des dégâts de poison. Déchaîne des flammes infernales se propageant vers l'avant, infligeant des dégâts de feu.|Libera la plaga sobre los monstruos alrededor de la ubicación objetivo infligiendo daño de veneno.|Przywołuje złowrogą Czaszka z trupa naprowadzającą się na najbliższego potwora zadającą obrażenia Arcane obszarowe
talent_desc_hellFire|Unleash flames of hell fire traveling forward dealing fire damage|Unleash flames of hell fire traveling forward dealing fire damage|Liberta chamas de fogo infernal que se propagam para a frente, causando dano de fogo.| Выпустите пламя адского огня, движущееся вперед и наносящее урон от огня.|釋放一道向前移動的地獄之火, 造成火焰傷害|前方に地獄の炎を放ち、炎ダメージを与えます。|지옥불의 화염을 앞으로 발사해 불 데미지를 줍니다.|Entfesselt Höllenfeuerflammen, die sich vorwärts bewegen und Feuerschaden verursachen.|Lance un champignon toxique rebondissant sur les champignons existants et infligeant des dégâts de zone de poison aux monstres.|Libera llamas del infierno que viajan hacia adelante infligiendo daño de fuego|Uwolnij plagę na potworach wokół miejsca celu zadającą obrażenia trucizną.
talent_desc_shroomOfDoom|Throw a toxic shroom bouncing from existing shrooms and dealing Poison area of effect damage to monsters|Throw a toxic shroom bouncing from existing shrooms and dealing Poison area of effect damage to monsters|Lança um cogumelo tóxico que ricocheteia nos cogumelos existentes e causa dano de área de efeito de Veneno aos monstros.| Бросить ядовитый гриб, который отскакивает от существующих грибов и наносит урон по области действия яда монстрам.|投擲一個劇毒蘑菇, 會從現有的蘑菇上彈起, 對怪物造成範圍毒素傷害|毒キノコを投げ、既存のキノコから跳ね返らせ、モンスターに毒の範囲ダメージを与えます。|기존의 버섯들 사이에서 튕기는 독 버섯을 던져 독 광역 데미지를 줍니다.|Wirft einen giftigen Pilz, der von vorhandenen Pilzen abprallt und Monstern giftigen Flächenschaden zufügt.|Lance un barrage de traits d'ombre infligeant des dégâts arcaniques.|Lanza un hongo tóxico que rebota entre hongos existentes e inflige daño de veneno en área a los monstruos|Uwolnij płomienie piekielnego ognia podróżujące do przodu zadające obrażenia fire
talent_desc_shadowBarrage|Unleash a barrage of Shadow Bolts dealing arcane damage|Unleash a barrage of Shadow Bolts dealing arcane damage|Libera uma barragem de Raios Sombrios, causando dano arcano.| Выпустите шквал Теневых стрел, наносящих урон тайной магией.|釋放一連串的暗影箭, 造成奧術傷害|シャドウボルトの弾幕を放ち、秘術ダメージを与えます。|아케인 데미지를 주는 섀도우 볼트 연사를 퍼붓습니다.|Entfesselt eine Salve von Schattenblitzen, die arkanen Schaden verursachen.|Invoque une anomalie d'ombre qui combattra à vos côtés pendant une courte période.|Libera una ráfaga de Rayos de Sombra que infligen daño arcano|Rzuć toksycznym shroom odbijającym się od istniejących shroom i zadającym obrażenia Poison obszarowe potworom
talent_desc_gravesGrasp|Summon a shadow anomaly to fight for you for a short period|Summon a shadow anomaly to fight for you for a short period|Invoca uma anomalia sombria para lutar por você por um curto período.| Призовите теневую аномалию, которая будет сражаться за вас в течение короткого периода времени.|召喚一個影子為你戰鬥一小段時間|影の異常体を召喚し、短時間だけ味方として戦わせます。|그림자 이형체를 소환하여 짧은 시간 동안 함께 싸웁니다.|Beschwört eine Schattenanomalie, die kurzzeitig für euch kämpft.|Plante la graine de destruction sur tous les monstres autour de la cible, explosant après un certain temps, infligeant des dégâts de zone de type arcanique.|Invoca una anomalía sombría para que luche por ti durante un breve período|Uwolnij salwę Shadow Bolts zadającą obrażenia arcane
talent_desc_seedOfDestruction|Plant the seed of destruction on all monsters around the target location exploding after a delay dealing Arcane area of effect damage|Plant the seed of destruction on all monsters around the target location exploding after a delay dealing Arcane area of effect damage|Planta a semente da destruição em todos os monstros ao redor do local alvo, explodindo após um atraso, causando dano de área de efeito Arcano.| Посадите семя разрушения на всех монстров вокруг выбранной локации, которое взорвется после задержки, нанося урон по области действия тайной магии.|在目標位置周圍的怪物身上種下毀滅種子, 在一定延遲後爆炸, 造成奧術範圍傷害|指定地点の周囲のすべてのモンスターに破壊の種を植え、一定時間後に爆発させ、秘術の範囲ダメージを与えます。|대상 지역 주변의 모든 몬스터에게 파괴의 씨앗을 심고, 잠시 후 폭발시켜 아케인 광역 데미지를 줍니다.|Sät den Samen der Zerstörung auf alle Monster im Zielgebiet, der nach einer Verzögerung explodiert und arkanen Flächenschaden verursacht.|Invoque une onde de choc de mains avides infligeant des dégâts arcaniques.|Planta la semilla de la destrucción en todos los monstruos alrededor de la ubicación objetivo que explota tras un retraso infligiendo daño arcano en área|Przywołaj cieniową anomalię aby walczyła dla ciebie na krótki czas
talent_desc_shadowsGrasp|Summon a shockwave of grasping hands dealing arcane damage|Summon a shockwave of grasping hands dealing arcane damage|Invoca uma onda de choque de mãos agarradoras, causando dano arcano.| Вызвать ударную волну цепких рук, наносящих урон тайной магией.|召喚出一只會釋放奧術傷害沖擊波的抓握之手|掴みかかる手の衝撃波を召喚し、秘術ダメージを与えます。|붙잡는 손의 충격파를 소환하여 아케인 데미지를 줍니다.|Beschwört eine Schockwelle greifender Hände, die arkanen Schaden verursacht.|Lance un puissant sort de zone sur la cible, infligeant des dégâts de froid et gelant les monstres.|Invoca una onda de choque de manos agarradoras que inflige daño arcano|Zasadź nasienie zniszczenia na wszystkich potworach wokół miejsca celu eksplodujące po opóźnieniu zadające obrażenia Arcane obszarowe
talent_desc_freezingEnchant|Chance on spell hit to unleash a powerful area of effect spell on target location dealing cold damage and Freezing monsters|Chance on spell hit to unleash a powerful area of effect spell on target location dealing cold damage and Freezing monsters|Libera uma poderosa magia de área de efeito no local alvo, causando dano de gelo e congelando monstros.| Высвободите мощное заклинание, действующее по области, в указанном месте, нанося урон холодом и замораживая монстров.|法術擊中時，有機率在目標位置釋放強大的範圍法術，造成冰霜傷害並冰凍怪物. |指定地点に強力な範囲魔法を放ち、冷気ダメージとモンスターの凍結を与えます。|대상 지역에 강력한 광역 주문을 시전하여 냉기 데미지를 주고 몬스터를 얼립니다.|Entfesselt einen mächtigen Flächenzauber am Zielort, der Kälteschaden verursacht und Monster einfriert.|Augmente vos chances d'ignorer la défense de la cible.|Probabilidad al golpear con hechizo de liberar un poderoso hechizo en área en la ubicación objetivo que inflige daño de frío y Congela a los monstruos|Przywołaj falę uderzeniową chwytających rąk zadającą obrażenia arcane
talent_desc_glyphPrecision|Increases your chance to ignore target defense.|Increases your chance to ignore target defense.|Aumenta sua chance de ignorar a defesa do alvo.| Увеличивает ваш шанс игнорировать защиту цели.|增加你無視目標防禦的機率。|対象の防御力を無視する確率が上昇します。|상대의 방어를 무시할 확률이 증가합니다.|Erhöht eure Chance, die Verteidigung des Ziels zu ignorieren.|Vos sorts peuvent désormais infliger des coups critiques. Augmentez vos chances de coup critique et vos dégâts critiques.|Aumenta tu probabilidad de ignorar la defensa del objetivo.|Szansa przy trafieniu zaklęciem na uwolnienie potężnego zaklęcia obszarowego w miejscu celu zadającego obrażenia zimna i Zamrażającego potwory
talent_desc_glyphMysticInsight|Your spells can now critically strike. Gain critical spell chance and increased critical spell damage.|Your spells can now critically strike. Gain critical spell chance and increased critical spell damage.|Suas magias agora podem causar acerto crítico. Ganha chance de acerto crítico e dano de área de efeito de Veneno aumentado.| Ваши заклинания теперь могут наносить критический удар. Получите шанс критического заклинания и увеличенный критический урон заклинания.|你的法術現在可以造成暴擊. 獲得暴擊法術幾率並增加暴擊法術傷害|呪文がクリティカルヒットするようになります。呪文のクリティカル率と呪文のクリティカルダメージが増加します。|주문이 치명타로 적중할 수 있으며, 주문 치명타 확률과 데미지가 증가합니다.|Ihre Zauber können jetzt kritisch treffen. Erhöht die Chance auf kritische Zauber und den Schaden kritischer Zauber.|Augmentez les dégâts de vos compétences magiques. Augmentez votre taux d'incantation pour une partie de vos dégâts de compétences magiques. |Tus hechizos ahora pueden golpear críticamente. Obtienes probabilidad de golpe crítico de hechizos y daño crítico de hechizos aumentado.|Zwiększa twoją szansę na ignorowanie obrony celu.
talent_desc_glyphSpellSlinger|Increases your magic skill damage. Gain increased cast rate for a portion of your magic skill damage.|Increases your magic skill damage. Gain increased cast rate for a portion of your magic skill damage.|Aumenta seu dano de habilidade mágica. Ganha taxa de conjuração aumentada para uma parte do seu dano de habilidade mágica. | Увеличивает урон от магических навыков. Получите повышенную скорость каста для части урона от магических навыков.|增加你的魔法技能傷害. 提高部分魔法技能傷害的施法速度 |魔法スキルのダメージが上昇します。魔法スキルのダメージの一部に対して、詠唱速度が上昇します。 |마법 스킬 데미지가 증가하며, 그 일부 비율만큼 시전 속도도 증가합니다.|Erhöht euren Zauberschaden. Erhöht die Zauberrate für einen Teil eures Zauberschadens.|Augmente les dégâts de vos compétences magiques. Augmentez votre vitesse d'incantation pour une partie de vos dégâts.|Aumenta tu daño de habilidades mágicas. Obtienes velocidad de lanzamiento aumentada por una porción de tu daño de habilidades mágicas.|Twoje zaklęcia mogą teraz trafiać krytycznie. Zyskaj szansę krytycznego zaklęcia i zwiększone obrażenia krytyczne zaklęcia.
talent_desc_glyphTempestStrikes|Striking monsters grant you a stack of Tempest. Each stack of Tempest increases your attack speed and movement speed. When you reach max stacks, become empowered doubling the effect for a short period and dropping the stacks.|Striking monsters grant you a stack of Tempest. Each stack of Tempest increases your attack speed and movement speed. When you reach max stacks, become empowered doubling the effect for a short period and dropping the stacks.|Monstros que atacam concedem a você um acúmulo de Tempestade. Cada acúmulo de Tempestade aumenta sua velocidade de ataque e velocidade de movimento. Ao atingir o máximo de acúmulos, você se torna fortalecido, dobrando o efeito por um curto período e eliminando os acúmulos.| Удары монстров дают вам стек Tempest. Каждый стек Tempest увеличивает вашу скорость атаки и скорость передвижения. Когда вы достигаете максимальных стеков|攻擊擊中怪物會為你提供一層暴風. 每層暴風都會增加你的攻擊速度和移動速度. 當你達到最大層數時, 會獲得短暫的加倍效果, 並減少疊層數.|モンスターを攻撃すると「テンペスト」がスタックされます。「テンペスト」がスタックされるごとに、攻撃速度と移動速度が向上します。スタックが最大に達すると強化され、効果が短期間2倍になり、スタックが解除されます。|몬스터를 공격할 때마다 템페스트 중첩을 얻고, 중첩마다 공격 속도와 이동 속도가 증가합니다. 최대 중첩에 도달하면 짧은 시간 동안 강화 상태가 되어 효과가 두 배로 적용되고 중첩이 초기화됩니다.|Das Schlagen von Monstern gewährt dir einen Stapel Sturm. Jeder Stapel Sturm erhöht deine Angriffs- und Bewegungsgeschwindigkeit. Wenn du die maximale Anzahl an Stapeln erreichst, wirst du gestärkt, was den Effekt für kurze Zeit verdoppelt und die Stapel fallen lässt.|Attaquer des monstres vous confère un effet de Tempête. Chaque effet de Tempête augmente vos vitesses d'attaque et de déplacement. Lorsque vous atteignez le maximum de charges, vous gagnez en puissance, doublant l'effet pendant une courte période et réduisant les charges.|Golpear a los monstruos te otorga una pila de Tempestad. Cada pila de Tempestad aumenta tu velocidad de ataque y velocidad de movimiento. Al alcanzar el máximo de pilas, te empoderas duplicando el efecto durante un breve período y descartando las pilas.|Zwiększa twoje obrażenia umiejętności magicznych. Zyskaj zwiększoną szybkość rzucania za część twoich obrażeń umiejętności magicznych.
talent_desc_glyphCorrosion|Your damage over time effects last longer. Every second a monster is affected by damage over time the damage they take from that element is increased.|Your damage over time effects last longer. Every second a monster is affected by damage over time the damage they take from that element is increased.|Seus efeitos de dano ao longo do tempo duram mais. A cada segundo que um monstro é afetado por dano ao longo do tempo, o dano que ele recebe daquele elemento aumenta.| Ваши эффекты урона с течением времени длятся дольше. Каждую секунду, когда монстр подвергается урону с течением времени, урон, который он получает от этого элемента, увеличивается.|你造成的持續傷害時間會持續更長. 每秒受到持續傷害的怪物, 他們從該元素中受到的傷害都會增加.|継続ダメージ効果の持続時間が長くなります。モンスターが継続ダメージを受けている間、1秒ごとにその属性から受けるダメージが増加します。|지속 데미지 효과가 더 오래 유지되며, 몬스터가 지속 데미지를 받을수록 그 원소 데미지를 더 많이 받습니다.|Deine Schaden-über-Zeit-Effekte halten länger an. Jede Sekunde, die ein Monster von Schaden-über-Zeit betroffen ist, erhöht sich der Schaden, den es durch dieses Element erleidet.|Vos effets de dégâts sur la durée durent plus longtemps. Chaque seconde où un monstre est affecté par des dégâts sur la durée, les dégâts qu'il subit de cet élément augmentent.|Tus efectos de daño con el tiempo duran más. Cada segundo que un monstruo está afectado por daño con el tiempo, el daño que recibe de ese elemento aumenta.|Trafianie potworów daje ci stack Tempest. Każdy stack Tempest zwiększa twoją prędkość ataku i ruchu. Gdy osiągniesz max stacki zostań wzmocniony podwójnie efektem na krótki czas i zrzuć stacki.
talent_desc_glyphSingularity|Every 7 seconds your next projectile will pull nearby monsters to it when destroyed.|Every 7 seconds your next projectile will pull nearby monsters to it when destroyed.|A cada 7 segundos, sua próxima instância de dano atrairá monstros próximos para si quando destruída.| Каждые 7 секунд ваш следующий случай нанесения урона будет притягивать к себе находящихся поблизости монстров после его уничтожения.|每 7 秒，你的下一個投射物在摧毀時會將周圍怪物拉引至其位置. |7秒ごとに、次のダメージ発生時に近くのモンスターが引き寄せられます。|7초마다 다음 데미지 인스턴스가 파괴 시 주변 몬스터를 끌어당깁니다.|Alle 7 Sekunden zieht dein nächster Schadensfall nahe Monster an, wenn er zerstört wird.|Toutes les 7 secondes, votre prochain effet de dégâts attirera les monstres proches lorsqu'il sera détruit.|Cada 7 segundos tu próximo proyectil atraerá a los monstruos cercanos hacia él al ser destruido.|Twoje efekty obrażeń w czasie trwają dłużej. Każda sekunda gdy potwór jest dotknięty obrażeniami w czasie zwiększa obrażenia które otrzymuje od tego elementu.
talent_desc_glyphEcho|Every 30 seconds cast your last used skill dealing increased damage. The cooldown is reduced by 0.5 seconds after each kill.|Every 30 seconds cast your last used skill dealing increased damage. The cooldown is reduced by 0.5 seconds after each kill.|A cada 30 segundos, conjure sua última habilidade usada, causando dano aumentado. O tempo de recarga é reduzido em 0,5 segundo após cada abate.| Каждые 30 секунд вы применяете последний использованный навык, нанося повышенный урон. Время восстановления сокращается на 0,5 секунды после каждого убийства.|每30秒施放你最後使用的技能, 造成更大的傷害. 每次擊殺後冷卻時間減少0.5秒.|30秒ごとに、最後に使用したスキルを発動し、ダメージが増加します。モンスターを倒すたびにクールダウンが0.5秒短縮されます。|30초마다 마지막으로 사용한 스킬을 자동으로 시전하며, 처치 시마다 쿨다운이 0.5초 감소합니다.|Wirke alle 30 Sekunden deine zuletzt verwendete Fertigkeit und verursache erhöhten Schaden. Die Abklingzeit verringert sich nach jedem Kill um 0,5 Sekunden.|Toutes les 30 secondes, lancez votre dernière compétence utilisée, infligeant des dégâts accrus. Le temps de recharge est réduit de 0,5 seconde après chaque élimination.|Cada 30 segundos lanza tu última habilidad usada infligiendo daño aumentado. El tiempo de reutilización se reduce 0,5 segundos tras cada muerte.|Co 7 sekund twój następny pocisk przyciągnie pobliskie potwory do siebie gdy zostanie zniszczony
talent_desc_glyphSurvivorsShield|When losing 35% of your maximum life become immune to all damage and healing for a short period.|When losing 35% of your maximum life become immune to all damage and healing for a short period.|Ao perder 35% da sua vida máxima, você se torna imune a todo dano e cura por um curto período.| При потере 35% от максимального количества здоровья вы на короткое время становитесь невосприимчивы ко всем видам урона и исцеления.|當失去最大生命的35%時, 會在短時間內免疫所有傷害和治療.|最大ライフの35%を失うと、短期間、すべてのダメージと回復を受けなくなります。|최대 생명력의 35%를 잃을 경우, 짧은 시간 동안 모든 데미지와 치유에 면역이 됩니다.|Wenn du 35 % deines maximalen Lebens verlierst, wirst du für kurze Zeit immun gegen jeglichen Schaden und Heilung.|Lorsque vous perdez 35 % de votre vie maximale, vous êtes immunisé contre tous les dégâts et soins pendant une courte période.|Al perder el 35% de tu vida máxima te vuelves inmune a todo daño y curación durante un breve período.|Co 30 sekund rzuć swoją ostatnią używaną umiejętnością strażniczą zadającą zwiększone obrażenia. Cooldown jest zmniejszany o 0.5 sekundy po każdym zabiciu.
talent_desc_glyphMagistriker|Your magic skill damage is increased based on your total attacks per second.|Your magic skill damage is increased based on your total attacks per second.|O dano da sua habilidade mágica aumenta com base no seu total de ataques por segundo.| Урон от ваших магических навыков увеличивается в зависимости от общего количества атак в секунду.|你的魔法技能傷害會根據你每秒鐘的總攻擊次數而增加. |魔法スキルのダメージは、1秒あたりの攻撃回数に応じて増加します。|초당 총 공격 횟수에 비례하여 마법 스킬 데미지가 증가합니다.|Der Schaden deiner magischen Fertigkeit erhöht sich basierend auf deinen gesamten Angriffen pro Sekunde.|Les dégâts de vos compétences magiques augmentent en fonction de votre total d'attaques par seconde.|Tu daño de habilidades mágicas se aumenta basado en tu total de ataques por segundo.|Obrażenia zadawane przez umiejętności magiczne rosną w zależności od łącznej liczby ataków na sekundę.
talent_desc_glyphAvarice|Picking up gold grants you a stack of Avarice. Each stack increases your Magic Find and Gold Find.|Picking up gold grants you a stack of Avarice. Each stack increases your Magic Find and Gold Find.|Coletar ouro concede a você um acúmulo de Avareza. Cada acúmulo aumenta sua Achado Mágico e Achado de Ouro.| Подбор золота дает вам стак Avarice. Каждый стак увеличивает ваш Magic Find и Gold Find.|拾取黃金會為你帶來一層貪婪. 每層都會增加你的物品稀有度和金幣掉落.|金を拾うと「アヴァライス」がスタックされます。スタックごとに「マジックファインド」と「ゴールドファインド」が増加します。|골드를 획득할 때마다 탐욕 중첩을 얻으며, 중첩마다 매직 아이템 확률과 골드 찾기가 증가합니다.|Das Aufheben von Gold gewährt dir einen Stapel Habgier. Jeder Stapel erhöht deinen Magischen Fund und deinen Goldfund.|Ramasser de l'or vous confère un effet d'Avarice. Chaque effet augmente vos découvertes de magie et d'or.|Recoger oro te otorga una pila de Avaricia. Cada pila aumenta tu probabilidad de encontrar objetos mágicos y oro.|Zbieranie złota zapewnia ładunek Chciwości. Każdy ładunek zwiększa zasięg znajdowania magii i złota.
talent_desc_glyphTitansPower|Every 30 seconds your attack for the next two seconds gains increased area of effect, projectile speed and damage. Cooldown is reduced by 0.5 seconds each time you stun a target.|Every 30 seconds your attack for the next two seconds gains increased area of effect, projectile speed and damage. Cooldown is reduced by 0.5 seconds each time you stun a target.|A cada 30 segundos, seu ataque pelos próximos dois segundos aumenta a área de efeito, a velocidade do projétil e o dano. O tempo de recarga é reduzido em 0,5 segundo cada vez que você atordoa um alvo.| Каждые 30 секунд ваша атака в течение следующих двух секунд получает увеличенную область действия.|每30秒, 你的攻擊在接下來的兩秒內都會增加範圍效果、投射物速度和傷害. 每擊暈一個目標, 冷卻時間就會減少0.5秒.|30秒ごとに、次の2秒間、攻撃の範囲、弾速、ダメージが増加します。対象をスタンさせるたびにクールダウンが0.5秒短縮されます。|30초마다 다음 2초 동안의 공격이 광역 범위, 투사체 속도, 데미지가 증가합니다. 대상 기절 시마다 쿨다운이 0.5초 감소합니다.|Alle 30 Sekunden erhöht sich der Wirkungsbereich, die Projektilgeschwindigkeit und der Schaden deines Angriffs für die nächsten zwei Sekunden. Die Abklingzeit verringert sich jedes Mal um 0,5 Sekunden, wenn du ein Ziel betäubst.|Toutes les 30 secondes, votre attaque augmente sa zone d'effet, sa vitesse de projectile et ses dégâts pendant les deux secondes suivantes. Le temps de recharge est réduit de 0,5 seconde à chaque étourdissement. |Cada 30 segundos tu ataque durante los próximos dos segundos obtiene área de efecto, velocidad de proyectil y daño aumentados. El tiempo de reutilización se reduce 0,5 segundos cada vez que aturdes a un objetivo.|Co 30 sekund Twój atak przez kolejne dwie sekundy zyskuje zwiększony obszar działania, prędkość pocisku i obrażenia. Czas odnowienia skraca się o 0,5 sekundy za każdym razem, gdy ogłuszysz cel.
