[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
coffeeClub_desc|Join Sarcaster's Coffee Club!|Liity Sarcaster's Coffee Clubiin!|Junte-se ao Clube de Café do Sarcaster!|Присоединяйся к Клубу Кофе Саркастера!|加入薩卡斯特咖啡俱樂部|サルカスターのコーヒー クラブに参加しましょう!|사캐스터의 커피 클럽에 가입하세요!|Tritt Sarcasters Kaffeeclub bei!|Rejoignez le Sarcaster's Coffee Club !|¡Únete al Club de Café de Sarcaster!|Dołącz do Sarcaster's Coffee Club!
sheepLevel_desc|Enter the gate's of Sheeponia!|Sisään Sheeponian portista!|Entrar nos portões de Ovelândia!|Войти в ворота Овечьей Земли!|進入綿羊之地的大門|シーポニアの門をくぐりましょう!|시포니아의 문으로 들어가세요!|Betrete die Tore von Sheeponia!|Entrez par les portes de Sheeponia !|¡Entra por las puertas de Ovejonia!|Wejdź do bram Sheeponia!
normalSC_desc|Complete normal difficulty on Softcore|Täydellinen normaali vaikeusaste Softcorella|Completar a dificuldade Normal no Softcore|Пройти обычную сложность в режиме Softcore|在一般模式上完成普通難度|ソフトコアでノーマル難易度をクリア|소프트코어에서 일반 난이도 완료|Schließe den normalen Schwierigkeitsgrad auf Softcore ab|Difficulté normale complète sur Softcore|Completa la dificultad Normal en Softcore|Ukończ normal difficulty na Softcore
nightmareSC_desc|Complete nightmare difficulty on Softcore|Täydellinen painajainen vaikeus Softcorella |Completar a dificuldade Pesadelo no Softcore|Пройти сложность Кошмар в режиме Softcore|在一模式上完成噩梦難度|ソフトコアでナイトメア難易度をクリア|소프트코어에서 악몽 난이도 완료|Schließe den Albtraum-Schwierigkeitsgrad auf Softcore ab|Difficulté cauchemar complète sur Softcore|Completa la dificultad Pesadilla en Softcore|Ukończ nightmare difficulty na Softcore
hellSC_desc|Complete hell difficulty on Softcore|Täydellinen helvetin vaikeus Softcorella|Completar a dificuldade Inferno no Softcore|Пройти сложность Ад в режиме Softcore|在一般模式上完成地獄難度|ソフトコアでヘル難易度をクリア|소프트코어에서 지옥 난이도 완료|Schließe den Höllen-Schwierigkeitsgrad auf Softcore ab|Difficulté enfer complète sur Softcore|Completa la dificultad Infierno en Softcore|Ukończ hell difficulty na Softcore
hellSC05_desc|Complete hell 5 difficulty on Softcore|Täydellinen helvetin 5 vaikeusaste Softcorella|Completar a dificuldade Inferno 5 no Softcore|Пройти сложность Ад 5 в режиме Softcore|在一般模式上完成地獄5難度|ソフトコアでヘル難易度 5 をクリア|소프트코어에서 지옥 5 난이도 완료|Schließe den Höllen-Schwierigkeitsgrad 5 auf Softcore ab|Difficulté enfer complète 5 sur Softcore|Completa la dificultad Infierno 5 en Softcore|Ukończ hell 5 difficulty na Softcore
normalHC_desc|Complete normal difficulty on Hardcore|Täydellinen normaali vaikeusaste Hardcorella|Completar a dificuldade Normal no Hardcore|Пройти обычную сложность в режиме Hardcore|在專家模式下完成普通難度|ハードコアでノーマル難易度をクリア|하드코어에서 일반 난이도 완료|Schließe den normalen Schwierigkeitsgrad auf Hardcore ab|Difficulté normale complète sur Hardcore|Completa la dificultad Normal en Hardcore|Ukończ normal difficulty na Hardcore
nightmareHC_desc|Complete nightmare difficulty on Hardcore|Täydellinen painajainen vaikeus Hardcorella|Completar a dificuldade Pesadelo no Hardcore|Пройти сложность Кошмар в режиме Hardcore|在專家模式下完成噩梦難度|ハードコアでナイトメア難易度をクリア|하드코어에서 악몽 난이도 완료|Schließe den Albtraum-Schwierigkeitsgrad auf Hardcore ab|Difficulté cauchemar complète sur Hardcore|Completa la dificultad Pesadilla en Hardcore|Ukończ nightmare difficulty na Hardcore
hellHC_desc|Complete hell difficulty on Hardcore|Täydellinen helvetin vaikeus Hardcorella|Completar a dificuldade Inferno no Hardcore|Пройти сложность Ад в режиме Hardcore|在專家模式下完成地獄難度|ハードコアでヘル難易度をクリア|하드코어에서 지옥 난이도 완료|Schließe den Höllen-Schwierigkeitsgrad auf Hardcore ab|Difficulté enfer complète sur Hardcore|Completa la dificultad Infierno en Hardcore|Ukończ hell difficulty na Hardcore
hellHC05_desc|Complete hell 5 difficulty on Hardcore|Täydellinen Hell 5 -vaikeusaste Hardcorella|Completar a dificuldade Inferno 5 no Hardcore|Пройти сложность Ад 5 в режиме Hardcore|在專家模式下完成地獄5難度|ハードコアでヘル難易度 5 をクリア|하드코어에서 지옥 5 난이도 완료|Schließe den Höllen-Schwierigkeitsgrad 5 auf Hardcore ab|Difficulté enfer complète 5 sur Hardcore|Completa la dificultad Infierno 5 en Hardcore|Ukończ hell 5 difficulty na Hardcore
normalSsfSC_desc|Complete normal difficulty on Odyssey Softcore|Täydellinen normaali vaikeusaste Odyssey Softcorella|Completar a dificuldade Normal no Odyssey Softcore|Пройти обычную сложность в режиме Odyssey Softcore|在奧德賽一般模式上完成普通難度|Odyssey Softcore でノーマル難易度をクリア|오디세이 소프트코어에서 일반 난이도 완료|Schließe den Schwierigkeitsgrad „Normal“ auf Odyssey Softcore ab|Difficulté normale complète sur Odyssey Softcore|Completa la dificultad Normal en Odisea Softcore|Ukończ normal difficulty na Odyssey Softcore
nightmareSsfSC_desc|Complete nightmare difficulty on Odyssey Softcore|Täydellinen painajainen Odyssey Softcoressa|Completar a dificuldade Pesadelo no Odyssey Softcore|Пройти сложность Кошмар в режиме Odyssey Softcore|在奧德賽一般模式上完成噩梦難度|Odyssey Softcore でナイトメア難易度をクリア|오디세이 소프트코어에서 악몽 난이도 완료|Schließe den Schwierigkeitsgrad „Albtraum“ auf Odyssey Softcore ab|Difficulté cauchemar complète sur Odyssey Softcore|Completa la dificultad Pesadilla en Odisea Softcore|Ukończ nightmare difficulty na Odyssey Softcore
hellSsfSC_desc|Complete hell difficulty on Odyssey Softcore|Täydellinen helvetin vaikeus Odyssey Softcorella|Completar a dificuldade Inferno no Odyssey Softcore|Пройти сложность Ад в режиме Odyssey Softcore|在奧德賽一般模式上完成地獄難度|Odyssey Softcore でヘル難易度をクリア|오디세이 소프트코어에서 지옥 난이도 완료|Schließe den Schwierigkeitsgrad „Hölle“ auf Odyssey Softcore ab|Difficulté enfer complète sur Odyssey Softcore|Completa la dificultad Infierno en Odisea Softcore|Ukończ hell difficulty na Odyssey Softcore
hellSsfSC05_desc|Complete hell 5 difficulty on Odyssey Softcore|Täydellinen helvetin vaikeusaste Odyssey Softcorella|Completar a dificuldade Inferno 5 no Odyssey Softcore|Пройти сложность Ад 5 в режиме Odyssey Softcore|在奧德賽一般模式上完成地獄5難度|Odyssey Softcore でヘル 5 難易度をクリア|오디세이 소프트코어에서 지옥 5 난이도 완료|Schließe den Schwierigkeitsgrad „Hölle 5“ auf Odyssey Softcore ab|Difficulté enfer complète 5 sur Odyssey Softcore|Completa la dificultad Infierno 5 en Odisea Softcore|Ukończ hell 5 difficulty na Odyssey Softcore
normalSsfHC_desc|Complete normal difficulty on Odyssey Hardcore|Täydellinen normaali vaikeusaste Odyssey Hardcoressa|Completar a dificuldade Normal no Odyssey Hardcore|Пройти обычную сложность в режиме Odyssey Hardcore|在奧德賽專家模式下完成普通難度|Odyssey Hardcore でノーマル難易度をクリア|오디세이 하드코어에서 일반 난이도 완료|Schließe den Schwierigkeitsgrad „Normal“ auf Odyssey Hardcore ab|Difficulté normale complète sur Odyssey Hardcore|Completa la dificultad Normal en Odisea Hardcore|Ukończ normal difficulty na Odyssey Hardcore
nightmareSsfHC_desc|Complete nightmare difficulty on Odyssey Hardcore|Täydellinen painajainen Odyssey Hardcoressa|Completar a dificuldade Pesadelo no Odyssey Hardcore|Пройти сложность Кошмар в режиме Odyssey Hardcore|在奧德賽專家上完成噩梦難度|Odyssey Hardcore でナイトメア難易度をクリア|오디세이 하드코어에서 악몽 난이도 완료|Schließe den Schwierigkeitsgrad „Albtraum“ auf Odyssey Hardcore ab|Difficulté cauchemar complète sur Odyssey Hardcore|Completa la dificultad Pesadilla en Odisea Hardcore|Ukończ nightmare difficulty na Odyssey Hardcore
hellSsfHC_desc|Complete hell difficulty on Odyssey Hardcore|Täydelliset helvetin vaikeudet Odyssey Hardcoressa|Completar a dificuldade Inferno no Odyssey Hardcore|Пройти сложность Ад в режиме Odyssey Hardcore|在奧德賽專家模式下完成地獄難度|Odyssey Hardcore でヘル難易度をクリア|오디세이 하드코어에서 지옥 난이도 완료|Schließe den Schwierigkeitsgrad „Hölle“ auf Odyssey Hardcore ab|Difficulté enfer complète sur Odyssey Hardcore|Completa la dificultad Infierno en Odisea Hardcore|Ukończ hell difficulty na Odyssey Hardcore
hellSsfHC05_desc|Complete hell 5 difficulty on Odyssey Hardcore|Täydellinen helvetin vaikeusaste Odyssey Hardcorella|Completar a dificuldade Inferno 5 no Odyssey Hardcore|Пройти сложность Ад 5 в режиме Odyssey Hardcore|在奧德賽專家中完成地獄5難度|Odyssey Hardcore でヘル 5 難易度をクリア |오디세이 하드코어에서 지옥 5 난이도 완료 |Schließe den Schwierigkeitsgrad „Hölle 5“ auf Odyssey Hardcore ab|Difficulté enfer complète 5 sur Odyssey Hardcore |Completa la dificultad Infierno 5 en Odisea Hardcore|Ukończ hell 5 difficulty na Odyssey Hardcore
infernoSC_desc|Complete inferno difficulty on Softcore|Täydellinen helvetin vaikeus Softcorella|Completar a dificuldade Infernal no Softcore|Пройти сложность Инферно в режиме Softcore|一般模式完成煉獄難度|ソフトコアでインフェルノ難易度をクリア|소프트코어에서 인페르노 난이도 완료|Schließe den Inferno-Schwierigkeitsgrad auf Softcore ab|Difficulté complète de l'enfer sur Softcore|Completa la dificultad Averno en Softcore|Ukończ inferno difficulty na Softcore
infernoSsfSC_desc|Complete inferno difficulty on Odyssey Softcore|Täydellinen helvetin vaikeus Odyssey Softcoressa|Completar a dificuldade Infernal no Odyssey Softcore|Пройти сложность Инферно в режиме Odyssey Softcore|在奧德賽一般模式中完成煉獄難度|オデッセイ ソフトコアでインフェルノ難易度をクリア|오디세이 소프트코어에서 인페르노 난이도 완료|Schließe den Inferno-Schwierigkeitsgrad auf Odyssey Softcore ab|Difficulté complète de l'enfer sur Odyssey Softcore|Completa la dificultad Averno en Odisea Softcore|Ukończ inferno difficulty na Odyssey Softcore
infernoHC_desc|Complete inferno difficulty on Hardcore|Täydellinen helvetin vaikeus Hardcorella|Completar a dificuldade Infernal no Hardcore|Пройти сложность Инферно в режиме Hardcore|專家模式完成煉獄難度|ハードコアでインフェルノ難易度をクリア|하드코어에서 인페르노 난이도 완료|Schließe den Inferno-Schwierigkeitsgrad auf Hardcore ab|Difficulté complète de l'enfer sur Hardcore|Completa la dificultad Averno en Hardcore|Ukończ inferno difficulty na Hardcore
infernoSsfHC_desc|Complete inferno difficulty on Odyssey Hardcore|Täydellinen helvetin vaikeus Odyssey Hardcoressa|Completar a dificuldade Infernal no Odyssey Hardcore|Пройти сложность Инферно в режиме Odyssey Hardcore|在奧德賽專家模式中完成煉獄難度|オデッセイ ハードコアでインフェルノ難易度をクリア |오디세이 하드코어에서 인페르노 난이도 완료 |Schließe den Inferno-Schwierigkeitsgrad auf Odyssey Hardcore ab|Difficulté complète de l'enfer sur Odyssey Hardcore |Completa la dificultad Averno en Odisea Hardcore|Ukończ inferno difficulty na Odyssey Hardcore
monstersKilled100_desc|Slay 100 Monsters|Tapa 100 hirviötä|Matar 100 Monstros|Убить 100 монстров|殺死100個怪物|モンスター100体を倒す|몬스터 100마리 처치|Töte 100 Monster|Tuez 100 monstres|Mata 100 monstruos|Zabij 100 potworów
monstersKilled400_desc|Slay 400 Monsters|Tapa 400 hirviötä|Matar 400 Monstros|Убить 400 монстров|殺死400個怪物|モンスター400体を倒す|몬스터 400마리 처치|Töte 400 Monster|Tuez 400 monstres|Mata 400 monstruos|Zabij 400 potworów
monstersKilled1600_desc|Slay 1600 Monsters|Tapa 1600 hirviötä|Matar 1600 Monstros|Убить 1600 монстров|殺死1600個怪物|モンスター1600体を倒す|몬스터 1600마리 처치|Töte 1600 Monster|Tuez 1600 monstres|Mata 1600 monstruos|Zabij 1600 potworów
monstersKilled6400_desc|Slay 6400 Monsters|Tapa 6400 Monsters|Matar 6400 Monstros|Убить 6400 монстров|殺死6400只怪物|モンスター6400体を倒す|몬스터 6400마리 처치|Töte 6400 Monster|Tuez 6400 monstres|Mata 6400 monstruos|Zabij 6400 potworów
monstersKilled25400_desc|Slay 25400 Monsters|Tapa 25400 hirviötä|Matar 25400 Monstros|Убить 25400 монстров|殺死25400個怪物|モンスター25400体を倒す|몬스터 25400마리 처치|Töte 25400 Monster|Tuez 25400 monstres|Mata 25400 monstruos|Zabij 25400 potworów
monstersKilled50000_desc|Slay 50000 Monsters|Tapa 50 000 hirviötä|Matar 50000 Monstros|Убить 50000 монстров|殺死50000個怪物|モンスター50000体を倒す|몬스터 50000마리 처치|Töte 50000 Monster|Tuez 50000 monstres|Mata 50000 monstruos|Zabij 50000 potworów
gold01_desc|Collect 100,000 Gold|Kerää 100 000 kultaa|Coletar 100.000 de Ouro|Собрать 100000 золота|收集100,000黄金|ゴールド10万を集める|골드 100,000개 수집|Sammle 100.000 Gold|Récupérez 100 000 pièces d'or|Consigue 100.000 de Oro|Zbierz 100,000 złota
gold02_desc|Collect 1,000,000 Gold|Kerää 1 000 000 kultaa |Coletar 1.000.000 de Ouro|Собрать 1000000 золота|收集1,000,000金幣|ゴールド100万を集める|골드 1,000,000개 수집|Sammle 1.000.000 Gold|Récupérez 1 000 000 pièces d'or|Consigue 1.000.000 de Oro|Zbierz 1,000,000 złota
allHeroes100_desc|Obtain level 100 with Viking, Pyromancer, Marksman, Pirate, Nomad, Redneck and Necromancer|Hanki taso 100 Vikingillä, Pyromancerilla, Marksmanilla, Piratella, Nomadilla, Redneckillä ja Necromancerilla|Alcançar Nível 100 com Viking, Piromante, Atirador, Pirata, Nômade, Caipira e Necromante|Достичь 100 уровня персонажами Викинг, Пиромант, Стрелок, Пират, Кочевник, Деревенщина и Некромант|用維京人、火法師、神射手、海盜、遊牧者、鄉巴佬和亡靈巫師獲得100級|バイキング、パイロマンサー、マークスマン、パイレーツ、ノマド、レッドネック、ネクロマンサーでレベル100に到達する|바이킹, 파이로맨서, 사수, 해적, 유목민, 레드넥, 네크로맨서로 레벨 100 달성|Erreiche Level 100 mit Wikinger, Pyromant, Scharfschütze, Pirat, Nomade, Hinterwäldler und Totenbeschwörer|Obtenez le niveau 100 avec Viking, Pyromancien, Tireur d'élite, Pirate, Nomade, Plouc et Nécromancien|Alcanza el nivel 100 con el Vikingo, Piromante, Tirador, Pirata, Nómada, Palurdo y Nigromante|Osiągnij poziom 100 z Viking, Pyromancer, Marksman, Pirate, Nomad, Redneck i Necromancer
level10_desc|Reach Level 10 with a Hero|Saavuta taso 10 sankarilla|Alcançar Nível 10 com um Herói|Достичь 10 уровня героем|達到英雄等级 10 级|ヒーローでレベル10に到達する|영웅으로 레벨 10 달성|Erreiche Level 10 mit einem Helden|Atteignez le niveau 10 avec un héros|Alcanza el nivel 10 con un héroe|Osiągnij poziom 10 z bohaterem
level20_desc|Reach Level 20 with a Hero|Saavuta taso 20 sankarilla|Alcançar Nível 20 com um Herói|Достичь 20 уровня героем|達到英雄等级 20 级|ヒーローでレベル20に到達する|영웅으로 레벨 20 달성|Erreiche Level 20 mit einem Helden|Atteignez le niveau 20 avec un héros|Alcanza el nivel 20 con un héroe|Osiągnij poziom 20 z bohaterem
level30_desc|Reach Level 30 with a Hero|Saavuta taso 30 sankarilla|Alcançar Nível 30 com um Herói|Достичь 30 уровня героем|達到英雄等级 30 级|ヒーローでレベル30に到達する|영웅으로 레벨 30 달성|Erreiche Level 30 mit einem Helden|Atteignez le niveau 30 avec un héros|Alcanza el nivel 30 con un héroe|Osiągnij poziom 30 z bohaterem
level40_desc|Reach Level 40 with a Hero|Saavuta taso 40 sankarilla|Alcançar Nível 40 com um Herói|Достичь 40 уровня героем|達到英雄等级 40 级|ヒーローでレベル40に到達する|영웅으로 레벨 40 달성|Erreiche Level 40 mit einem Helden|Atteignez le niveau 40 avec un héros|Alcanza el nivel 40 con un héroe|Osiągnij poziom 40 z bohaterem
level50_desc|Reach Level 50 with a Hero|Saavuta taso 50 sankarilla|Alcançar Nível 50 com um Herói|Достичь 50 уровня героем|達到英雄等级 50 级|ヒーローでレベル50に到達する|영웅으로 레벨 50 달성|Erreiche Level 50 mit einem Helden|Atteignez le niveau 50 avec un héros|Alcanza el nivel 50 con un héroe|Osiągnij poziom 50 z bohaterem
level60_desc|Reach Level 60 with a Hero|Saavuta taso 60 sankarilla|Alcançar Nível 60 com um Herói|Достичь 60 уровня героем|達到英雄等级 60 级|ヒーローでレベル60に到達する|영웅으로 레벨 60 달성|Erreiche Level 60 mit einem Helden|Atteignez le niveau 60 avec un héros|Alcanza el nivel 60 con un héroe|Osiągnij poziom 60 z bohaterem
level70_desc|Reach Level 70 with a Hero|Saavuta taso 70 sankarilla|Alcançar Nível 70 com um Herói|Достичь 70 уровня героем|達到英雄等级 70 级|ヒーローでレベル70に到達する|영웅으로 레벨 70 달성|Erreiche Level 70 mit einem Helden|Atteignez le niveau 70 avec un héros|Alcanza el nivel 70 con un héroe|Osiągnij poziom 70 z bohaterem
level80_desc|Reach Level 80 with a Hero|Saavuta taso 80 sankarilla|Alcançar Nível 80 com um Herói|Достичь 80 уровня героем|達到英雄等级 80 级|ヒーローでレベル80に到達する|영웅으로 레벨 80 달성|Erreiche Level 80 mit einem Helden|Atteignez le niveau 80 avec un héros|Alcanza el nivel 80 con un héroe|Osiągnij poziom 80 z bohaterem
level90_desc|Reach Level 90 with a Hero|Saavuta taso 90 sankarilla|Alcançar Nível 90 com um Herói|Достичь 90 уровня героем|達到英雄等级 90 级|ヒーローでレベル90に到達する|영웅으로 레벨 90 달성|Erreiche Level 90 mit einem Helden|Atteignez le niveau 90 avec un héros|Alcanza el nivel 90 con un héroe|Osiągnij poziom 90 z bohaterem
level100_desc|Reach Level 100 with a Hero|Saavuta taso 100 sankarilla|Alcançar Nível 100 com um Herói|Достичь 100 уровня героем|到英雄等级 100 级|ヒーローでレベル100に到達する|영웅으로 레벨 100 달성|Erreiche Level 100 mit einem Helden|Atteignez le niveau 100 avec un héros|Alcanza el nivel 100 con un héroe|Osiągnij poziom 100 z bohaterem
chaosTower_desc|Clear a Chaos Tower|Tyhjennä Chaos Tower|Completar uma Torre do Caos|Пройти одну Башню Хаоса|通關一次混沌塔|カオスタワーをクリアする|카오스 타워 클리어|Räume einen Chaosturm|Terminez une tour du chaos|Completa una Torre del Caos|Wyczyść Chaos Tower
angelicRealm_desc|Enter the Angelic Realm|Astu enkelimaailmaan|Entrar na Região Angélica|Войти в Ангельскую Область|進入天使領域|天使の領域に入る|천사의 영역 진입|Betrete das Reich der Engel|Entrez dans le royaume angélique|Entra en el Reino Angelical|Wejdź do Anielskiego Królestwa
valhallaRiver_desc|Slay the Jörmundgar in the Valhalla River|Tapa Jörmundgar Valhalla-joessa|Matar Jörmungandr no Rio Valhalla|Убить Ёрмунганда в Реке Вальгаллы|在瓦尔哈拉河中殺死耶夢加德|ヴァルハラ川のヨルムンドガル|발할라 강의 요르문드가르|Töte den Jörmundgar in Walhalla Fluss|Tuez les Jörmundgar dans le Rivière Valhalla|Asesina al Jörmundgar en el Río Valhalla|Zabij Jörmundgar w Valhalla River
valhallaRing_desc|Obtain the Soulforged Ring|Hanki Soulforged-sormus|Obter o Anel Forjado em Almas|Получить Кольцо, выкованное из Душ|獲得魂鑄戒指|魂の指輪を手に入れる|영혼 단련 반지 획득|Erhalte den seelengeschmiedeten Ring|Obtenez l'anneau forgé par l'âme|Consigue el Anillo Forjado de Almas|Uzyskaj Soulforged Ring
valhallaValkyrie_desc|Slay the Valkyrie in the Plains of Ida|Tapa Valkyrie Idan tasangoilla|Matar a Valquíria nas Planícies de Ida|Убить Валькирию на Равнинах Иды|在伊達平原殺死瓦爾基里|イダ平原のヴァルキュリーを倒す|이다 평원에서 발키리 처치|Töte die Walküre in den Ebenen von Ida|Tuez la Valkyrie dans les plaines d'Ida|Asesina a la Valquiria en las Llanuras de Ida|Zabij Valkyrie na Plains of Ida
elemelon_desc|Obtain the Supreme Elemelon|Hanki Korkein Elemelon|Obter o Elemelon Supremo|Получить Высший Элемелон|獲得至尊元素瓜|至高のエレメロンを手に入れる|최고의 엘레멜론 획득|Erhalte die höchste Elementarmelone|Obtenez l'élément suprême|Consigue el Elemelón Supremo|Uzyskaj Supreme Elemelon
seasonalHalloween_desc|Complete the Halloween quest chain|Täydennä Halloween-tehtäväketju|Completar a cadeia de missões do Halloween|Завершить цепочку заданий Хэллоуина|完成萬聖節系列任務|ハロウィンクエストチェーンを完了する|할로윈 퀘스트 체인 완료|Schließe die Halloween-Questreihe ab|Terminez la chaîne de quêtes d'Halloween|Completa la cadena de misiones de Halloween|Ukończ łańcuch zadań Halloween
seasonalChristmas_desc|Complete the Christmas quest chain|Täydennä joulutehtäväketju |Completar a cadeia de missões do Natal|Завершить цепочку заданий Рождества|完成聖誕節系列任務|クリスマスクエストチェーンを完了する |크리스마스 퀘스트 체인 완료|Schließe die Weihnachts-Questreihe ab|Terminez la chaîne de quêtes de Noël |Completa la cadena de misiones de Navidad|Ukończ łańcuch zadań Bożego Narodzenia
seasonFirst100SC|Reach level 100 in Softcore faster than everyone else!|Saavuta taso 100 Softcoressa nopeammin kuin muut!|Alcançar nível 100 no Softcore mais rápido que todo mundo!|Достичь 100 уровня в режиме Softcore быстрее всех!|在SC模式比所有人更快達到一百級|誰よりも早くソフトコアでレベル 100 に到達しましょう!|소프트코어에서 다른 사람보다 빠르게 레벨 100에 도달하세요!|Erreiche Level 100 in Softcore schneller als alle anderen!|Atteignez le niveau 100 en Softcore plus rapidement que tout le monde !|¡Alcanza el nivel 100 en Softcore antes que nadie!|Osiągnij poziom 100 na Softcore szybciej niż wszyscy inni!
seasonFirst100HC|Reach level 100 in Hardcore faster than everyone else!|Saavuta taso 100 Hardcoressa nopeammin kuin muut!|Alcançar nível 100 no Hardcore mais rápido que todo mundo!|Достичь 100 уровня в режиме Hardcore быстрее всех!|在HC模式比所有人更快達到一百級|誰よりも早くハードコアでレベル 100 に到達しましょう!|하드코어에서 다른 사람보다 빠르게 레벨 100에 도달하세요!|Erreiche Level 100 in Hardcore schneller als alle anderen!|Atteignez le niveau 100 en Hardcore plus rapidement que tout le monde !|¡Alcanza el nivel 100 en Hardcore antes que nadie!|Osiągnij poziom 100 na Hardcore szybciej niż wszyscy inni!
seasonFirst100SCOdyssey|Reach level 100 in Softcore Odyssey faster than everyone else!|Saavuta taso 100 Softcore Odysseyssa nopeammin kuin muut!|Alcançar nível 100 no Odyssey Softcore mais rápido que todo mundo!|Достичь 100 уровня в режиме Odyssey Softcore быстрее всех!|在奧德賽SC模式比所有人更快達到一百級|誰よりも早くソフトコア オデッセイでレベル 100 に到達しましょう!|소프트코어 오디세이에서 다른 사람보다 빠르게 레벨 100에 도달하세요!|Erreiche Level 100 in Softcore Odyssey schneller als alle anderen!|Atteignez le niveau 100 en Softcore Odyssey plus rapidement que tout le monde !|¡Alcanza el nivel 100 en Odisea Softcore antes que nadie!|Osiągnij poziom 100 na Softcore Odyssey szybciej niż wszyscy inni!
seasonFirst100HCOdyssey|Reach level 100 in Hardcore Odyssey faster than everyone else!|Saavuta taso 100 Hardcore Odysseyssa nopeammin kuin muut! |Alcançar nível 100 no Odyssey Hardcore mais rápido que todo mundo!|Достичь 100 уровня в режиме Odyssey Hardcore быстрее всех!|在奧德賽HC模式比所有人更快達到一百級|誰よりも早くハードコア オデッセイでレベル 100 に到達しましょう! |하드코어 오디세이에서 다른 사람보다 빠르게 레벨 100에 도달하세요!|Erreiche Level 100 in Hardcore Odyssey schneller als alle anderen!|Atteignez le niveau 100 en Hardcore Odyssey plus rapidement que tout le monde ! |¡Alcanza el nivel 100 en Odisea Hardcore antes que nadie!|Osiągnij poziom 100 na Hardcore Odyssey szybciej niż wszyscy inni!
infernoGurag_desc|Kill Gurag on inferno difficulty|Tapa Gurag inferno-vaikeusasteessa|Matar Gurag na dificuldade Infernal|Убить Гурага на сложности Инферно|在煉獄難度下殺死古拉格|難易度インフェルノでグラグを倒す|인페르노 난이도에서 구라그 처치|Töte Gurag im Schwierigkeitsgrad Inferno|Tuer Gurag en difficulté Enfer|Mata a Gurag en dificultad Averno|Zabij Gurag na trudności inferno
infernoReaper_desc|Kill Grim Reaper on inferno difficulty|Tapa Grim Reaper helvetin vaikeusasteessa|Matar Ceifador Sombrio na dificuldade Infernal|Убить Мрачного Жнеца на сложности Инферно|在煉獄難度擊殺死神|難易度インフェルノでグリムリーパーを倒す|인페르노 난이도에서 사신 처치|Töte den Sensenmann im Schwierigkeitsgrad Inferno|Tuer la Faucheuse en difficulté Enfer|Mata al Grim Reaper en dificultad Averno|Zabij Grim Reaper na trudności inferno
infernoAnubis_desc|Kill Anubis on inferno difficulty|Tapa Anubis helvetin vaikeusasteessa|Matar Anúbis na dificuldade Infernal|Убить Анубиса на сложности Инферно|在煉獄難度擊殺阿努比斯|難易度インフェルノでアヌビスを倒す|인페르노 난이도에서 아누비스 처치|Töte Anubis im Schwierigkeitsgrad Inferno|Tuer Anubis en difficulté Enfer|Mata a Anubis en dificultad Averno|Zabij Anubis na trudności inferno
infernoDamien_desc|Kill Damien on inferno difficulty|Tapa Damien helvetin vaikeuksissa|Matar Damião na dificuldade Infernal|Убить Дамиана на сложности Инферно|在煉獄難度擊殺達米安|難易度インフェルノでダミアンを倒す|인페르노 난이도에서 데미언 처치|Töte Damien im Schwierigkeitsgrad Inferno|Tuer Damien en difficulté Enfer|Mata a Damien en dificultad Averno|Zabij Damien na trudności inferno
infernoKarpKing_desc|Kill Karp King on inferno difficulty|Tapa Karp King helvetin vaikeusasteessa|Matar Rei Karp na dificuldade Infernal|Убить Короля Карпа на сложности Инферно|在煉獄難度殺死卡普王|難易度インフェルノでカープキングを倒す|인페르노 난이도에서  잉어왕 처치|Töte Karp King im Schwierigkeitsgrad Inferno|Tuer Karp King en difficulté Enfer|Mata al Rey Karp en dificultad Averno|Zabij Karp King na trudności inferno
infernoSatan_desc|Kill Satan on inferno difficulty|Tapa Saatana helvetin vaikeuksissa|Matar Satã na dificuldade Infernal|Убить Сатану на сложности Инферно|在煉獄難度擊殺撒旦|難易度インフェルノでサタンを倒す|인페르노 난이도에서 사탄 처치|Töte Satan im Schwierigkeitsgrad Inferno|Tuer Satan en difficulté Enfer|Mata a Satán en dificultad Averno|Zabij Satan na trudności inferno
infernoMevius_desc|Kill Mevius on inferno difficulty|Tapa Mevius inferno-vaikeusasteessa|Matar Mevius na dificuldade Infernal|Убить Мевиуса на сложности Инферно|在煉獄難度擊殺梅維烏斯|難易度インフェルノでメビウスを倒す|인페르노 난이도에서 뫼비우스 처치|Töte Mevius im Schwierigkeitsgrad Inferno|Tuer Mevius en difficulté Enfer|Mata a Mevius en dificultad Averno|Zabij Mevius na trudności inferno
infernoOdin_desc|Kill Corrupted Odin on inferno difficulty|Tapa Corrupted Odin inferno-vaikeusasteessa |Matar Odin Corrompido na dificuldade Infernal|Убить Падшего Одина на сложности Инферно|在煉獄難度擊殺墮落奧丁|難易度インフェルノでコラプトオーディンを倒す |인페르노 난이도에서 부패한 오딘 처치|Töte den verdorbenen Odin im Schwierigkeitsgrad Inferno|Tuer Odin corrompu en difficulté Enfer |Mata a Odín Corrupto en dificultad Averno|Zabij Corrupted Odin na trudności inferno
gamba100_desc|Destroy 100 slot machines|Tuhoa 100 kolikkopelikonetta|Destruir 100 máquinas caça-níqueis|Уничтожить 100 игровых автоматов|摧毀100台拉霸機 |スロットマシンを100台破壊する |슬롯 머신 100개를 파괴하라|Zerstöre 100 Spielautomaten|Détruisez 100 machines à sous |Destruye 100 máquinas tragaperras|Zniszcz 100 automatów do gry
